ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,пелети-от-кравешки-тор,Пелети от кравешки тор,"<p>Пелетите от кравешки тор 3в1 са изключително подходящи като тор за засаждане за декоративни градини, бордюри, тревни площи, луковични и грудкови растения, зеленчукови градини, рози, саксийни растения и овощни дървета. Тези пелети подобряват структурата на почвата и нейната способност да задържа вода, насърчават плодородна почвена среда и осигуряват естествено обогатяване на почвата за поддържане на дългосрочен баланс. Те са универсален тор, който е подходящ за всички видове почви и може да бъде използван перфектно като тор за засаждане и основен тор за тревни площи, бордюри, зеленчукови градини, пасища и овощни градини. Освен това, пелетите могат да се използват като почвен активатор, като бързо стимулират положителната почвена активност.</p>"
gid://shopify/Collection/657054204228,есенен-тор,Есенен тор,"<p>Този професионален есенен тор е много богат на калий и предоставя допълнителна защита срещу студената зима за тревни площи, треви и растения. Торът увеличава устойчивостта към директните ефекти от замръзване. Освен това, минерали и микроелементи са добавени към гранулите на тора. Есенните торни гранули All-In-One осигуряват, че вашата морава и растения са тъмнозелени, здрави и устойчиви на зимата. Това висококачествено хранене има индиректен ефект върху мъховете и плевелите. Безмирисните торни гранули са обогатени с лесно усвоим азот и калий (NPK 6-2-12). Благодарение на дълготрайния ефект (+100 дни), ще има достатъчно хранителни вещества за добро възстановяване на тревата и формиране на силен, плътен тревен килим, в който мъховете и плевелите нямат шанс, дори след скарифициране. Това води до здрав, силен тревен килим, който е по-способен да устои на износване, суша и замръзване. Ефективността на есенния тор често е подценявана. Чрез осигуряване, че тревата влиза в зимата силна и закалена, се предотвратяват проблеми през пролетта.</p>"
gid://shopify/Collection/657054236996,тор-за-пасища,Тор за пасища,"<p>All-In-One Тор за Пасища е най-добрият избор за оптимално торене на конюшен пасищен тревен килим. Той е също много подходящ за косене на пасища и пасищни терени за хоби животновъдство. Този пълен всичко-в-едно тор за пасища се основава на хигиенизиран тор, обогатен с естествени минерали и микроелементи за равномерен растеж и здрав тревен килим. Резултатът е висококачествена и вкусна трева/фураж и естествено плодородна почва.</p>"
gid://shopify/Collection/657054302532,веган-тор-на-растителна-основа,Веган Тор на Растителна Основа,"<p>Веган Тор на Растителна Основа е 100% растителен органичен тор, който е напълно свободен от животински суровини като тор. Този професионален тор е подходящ за всички видове почви и е отличен като тор за засаждане и основен тор за тревни площи, цветни лехи, зеленчукови градини, овощни градини и стайни растения. Веган Тор на Растителна Основа е много добър почвен активатор и стимулира почвения живот. Поради високото си съдържание на органична материя, торът подобрява структурата на почвата и задържането на влага. Освен това, веганският растителен тор осигурява плодороден почвен живот и гарантира естествено обогатяване на почвата, за да я поддържа постоянно балансирана. Веган Тор на Растителна Основа има благоприятно NPK съотношение (6-3-2) и особено богата композиция. Хранителните вещества се усвояват отлично от растенията и се освобождават дозирано. Този растителен тор е универсално приложим, има приятен аромат и е безопасен за хора и животни.</p>"
gid://shopify/Collection/657054335300,тор-за-тревни-площи-all-in-one,Тор за тревни площи All-In-One,"<p>Торът за тревни площи All-In-One е разработен за създаване и поддържане на дълбоко зелена трева без мъх и плевели.</p>
<p>Висококачествен органично-минерален тор, подходящ за торене на всякакъв тип трева и почва. Благодарение на наличието на допълнителен магнезий, всяка морава придобива интензивен зелен цвят. Подходящ за нови инсталации и поддържащо торене. Уникалната комбинация от бързодействащи и бавноосвобождаващи компоненти позволява бърз старт на растежа заедно с 100 дни пълно хранене. Торът All-In-One положително стимулира живота в почвата и увеличава естествената плодородност на почвата при всяко приложение. Резултатът е здрава, гъста морава без място за мъх и плевели.</p>
<p>Торът All-In-One съдържа високо ниво на калий за силна трева, която е по-устойчива на износване, суша и студ. Торът е отличен за прилагане както през пролетта, така и през есента, което позволява целогодишно торене на тревни площи със същия продукт. Висококачествената смес от микрогранули осигурява постепенен растеж, стимулира здрава, силна морава и подобрява почвата. Бавноосвобождаващите гранули бързо започват действие, като същевременно поддържат дълготрайни ефекти.</p>
<p>Уникалната смес от хранителни вещества се освобождава постепенно от живота в почвата. Формирането на хумус, минерали и микроелементи насърчава по-добро развитие на корените и предотвратява измиването. Този професионален тор е идеално подходящ за тревни площи, спортни терени и голф игрища, където се желае силна, гъста морава.</p>"
gid://shopify/Collection/657054368068,градински-тор,Градински тор,"<p>Градински тор All-In-One е разработен за оптимална работа на цъфтящите растения, храсти, дървета, рози, многогодишни растения, луковици, овощни дървета, ягоди, плодови и кореноплодни зеленчуци. Наслаждавайте се на повече и по-вкусни плодове, красиви растения, по-ярки и повече цветове. Подобрява структурата на почвата и активира положителния почвен живот. Високото съдържание на калий осигурява силни и устойчиви растения. Освен това, този тор е изключително богат на магнезий за оптимална фотосинтеза и по-дълбоки цветове. Градинският тор All-In-One не влияе на киселинността на почвата, което го прави безопасен за използване и подходящ за растения, обичащи кисели почви. Този професионален тор е универсално приложим във всяка зеленчукова и декоративна градина.</p>"
gid://shopify/Collection/657054499140,варовиков-гранулиран-тор,Варовиков гранулиран тор,"<p>Този уникален варовиков тор за всички сезони от Organifer е обогатен с магнезий. Идеален е за защита на почвата от прекомерно подкисляване. Той действа и индиректно срещу мъх. Прилагането на варовик е от съществено значение за коригиране на нивото на киселинност (pH стойността) в тревните площи или зеленчуковите градини. За всяко растение е много важно почвата да има правилната pH стойност. Поради усвояването на хранителни вещества, които обикновено също се добавят към градината и тревната площ, почвата става кисела. С изключение на ""киселолюбивите"" растения, това е всичко друго, но не и идеално за добър и здравословен растеж на култивираните растения и треви. Добавеният магнезий осигурява дълбокозелен цвят и допринася за оптимална фотосинтеза и почвено плодородие.</p>"
gid://shopify/Collection/657054728516,прах-от-скална-лава,Прах от скална лава,"<p>Organifer Primordial Rock Lavameal е най-висококачественият лавов прах от първична скала на пазара. Това е уникален продукт с най-висока концентрация на усвоими минерали и най-добри обработващи способности. Широко универсален, той е идеален за разпръскване, разстилане или смесване. Органифер Primordial Rock Lavameal се използва обширно в градините като почвен подобрител и е отличен за защита на растения, като чемшир, от вредители. Освен това, този богат лавов прах косвено се бори с полски хвощ и други плевели.</p>"
gid://shopify/Collection/657054826820,саксийни-растения-и-хидропоника,Саксийни растения и хидропоника,"<p>Хидрогранулите Organifer са подходящи както за хидропоника, така и като дренажен слой на дъното на саксии и контейнери за растения. Хидрогранулите гарантират, че вашите растения растат добре и осигуряват опора на корените. Затова винаги първо добавяйте слой хидрогранули на дъното на съда, преди да го запълните. В зависимост от големината на саксията може да се използва слой от 3-6 см на дъното. Такъв слой подобрява баланса на водата в саксията и позволява по-добър растеж на растенията. За саксии на открито е важно да има дупка на дъното на саксията, която да позволява на излишната вода да се оттича от саксията.</p>"
gid://shopify/Collection/657054892356,течен-тор-за-фазата-на-растеж,Течен тор за фазата на растеж,"<p>Течен тор за фазата на растеж - Amino Power е пълен тор, специално създаден за фазата на растеж на всяко растение и култура (Фаза 1). Този мощен концентрат съдържа уникална смес от основни аминокиселини и съдържа 9% органичен азот от ензимно хидролизирани протеини. Органифер Amino Power също съдържа уникална смес с 18 протеиногенни аминокиселини.</p>
<p>Течен тор за фазата на растеж - Amino Power намалява абиотичния стрес и осигурява оптимална производителност, здраве и енергийно ефективен растеж.</p>
<p>Продуктът е на основата на морски водорасли, което го прави бързо и лесно усвоим и подпомага здравословния, равномерен растеж и по-доброто развитие на корените. Той дава първоначалния тласък за здраво, силно растение и пълноцъфтеж.</p>
<p>Течен тор за фазата на растеж - Amino Power се използва с голям успех в хидропоника и субстратно отглеждане, на закрито и открито, в земеделието, както и в декоративни и полезни градини. Освен това, продуктът е подходящ и за стайни растения. Течен тор за фазата на растеж - Amino Power може също да се използва в органичното градинарство и е универсално приложим за всички растения и култури. Течен тор за фазата на растеж - Amino Power е идеален за органично отглеждане в почва или кокос. Освен това, продуктът коригира азотни проблеми в растенията ви. Недостигът на азот може да бъде разпознат по жълтите листа.</p>"
