ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,peletky-z-kravskeho-hnoje,Peletky z kravského hnoje,"<p>Peletky z kravského hnoje 3v1 jsou vysoce vhodné jako sázecí hnojivo pro okrasné zahrady, záhony, trávníky, cibuloviny a hlíznaté rostliny, zeleninové zahrady, růže, rostliny v květináčích a ovocné stromy. Tyto peletky zlepšují strukturu půdy a schopnost zadržování vody, podporují plodné prostředí půdy a poskytují přirozené obohacení půdy pro udržení dlouhodobé rovnováhy. Jsou univerzálním hnojivem vhodným pro všechny typy půd a lze je dokonale použít jako sázecí a základní hnojivo pro trávníky, záhony, zeleninové zahrady, pastviny a sady. Navíc mohou být peletky použity jako aktivátor půdy díky rychlé stimulaci pozitivní půdní aktivity.</p>"
gid://shopify/Collection/657054204228,podzimni-hnojivo,Podzimní hnojivo,"<p>Toto profesionální podzimní hnojivo je velmi bohaté na draslík a poskytuje extra ochranu proti chladné zimě pro trávníky, trávu a rostliny. Hnojivo zvyšuje odolnost vůči přímým účinkům mrazu. Kromě toho byly do granulí hnojiva přidány minerály a stopové prvky. Granule podzimního hnojiva All-In-One zajišťují, že váš trávník a rostliny budou tmavě zelené, silné a odolné vůči zimě. Tato vysoce kvalitní výživa má nepřímý vliv na mech a plevel. Bezzápachové granule hnojiva jsou obohaceny o snadno vstřebatelný dusík a draslík (NPK 6-2-12). Díky dlouhotrvajícímu účinku (+100 dní) bude po vertikutaci stále dostatek živin pro dobrý opětovný růst trávy a tvorbu silného, hustého trávníku, ve kterém mech a plevel nemají šanci. Výsledkem je zdravý, silný trávník, který lépe odolává opotřebení, suchu a mrazu. Účinnost podzimního hnojiva je často podceňována. Tím, že tráva vstupuje do zimy silná a odolná, jsou na jaře předcházeny problémy.</p>"
gid://shopify/Collection/657054236996,hnojivo-pro-pastviny,Hnojivo pro pastviny,"<p>All-In-One hnojivo pro pastviny je nejlepší volbou pro optimální hnojení koňských pastvin. Je také velmi vhodné pro sekání pastvin a pastviny pro hobby chovatelství. Kompletní all-in-one hnojivo pro pastviny je založeno na hygienizovaném hnoji, obohaceném o přírodní minerály a stopové prvky pro rovnoměrný růst a silný trávník. Výsledkem je vysoce kvalitní a chutná tráva/seno a přirozeně úrodná půda.</p>"
gid://shopify/Collection/657054302532,veganske-rostlinne-hnojivo,Veganské rostlinné hnojivo,"<p>Veganské rostlinné hnojivo je 100% rostlinné organické hnojivo, které je zcela bez živočišných surovin, jako je hnůj. Toto profesionální hnojivo je vhodné pro všechny typy půd a je vynikající jako sázecí a základní hnojivo pro trávníky, květinové záhony, zeleninové zahrady, sady a pokojové rostliny. Veganské rostlinné hnojivo je velmi dobrý aktivátor půdy a stimuluje půdní život. Díky vysokému obsahu organické hmoty hnojivo zlepšuje strukturu půdy a schopnost zadržování vlhkosti. Dále veganské rostlinné hnojivo umožňuje plodný půdní život a zajišťuje přirozené obohacení půdy, aby byla trvale vyvážená. Veganské rostlinné hnojivo má příznivý poměr NPK (6-3-2) a obzvláště bohaté složení. Živiny jsou rostlinami výborně vstřebávány a uvolňovány postupně. Toto rostlinné hnojivo je univerzálně použitelné, má příjemnou vůni a je bezpečné pro lidi a zvířata.</p>"
gid://shopify/Collection/657054335300,hnojivo-na-travnik-all-in-one,Hnojivo na trávník All-In-One,"<p>Hnojivo na trávník All-In-One je vyvinuto pro vytvoření a udržení hluboce zeleného trávníku bez mechu a plevele.</p>
<p>Vysoce kvalitní organicko-minerální hnojivo vhodné pro hnojení jakéhokoli typu trávy a půdy. Díky přítomnosti extra hořčíku se každý trávník zbarví do intenzivní zeleně. Vhodné pro nové výsadby i udržovací hnojení. Jedinečná kombinace rychle působících a pomalu uvolňujících složek umožňuje rychlý start růstu spolu se 100 dny kompletní výživy. Hnojivo na trávník All-In-One pozitivně stimuluje půdní život a zvyšuje přirozenou úrodnost půdy při každé aplikaci. Výsledkem je zdravý, hustý trávník bez mechu a plevele.</p>
<p>Hnojivo na trávník All-In-One má vysoký obsah draslíku pro silný trávník, který je odolnější vůči opotřebení, suchu a mrazu. Hnojivo je výborné pro aplikaci jak na jaře, tak na podzim, což umožňuje celoroční hnojení trávníku stejným produktem. Vysoce kvalitní směs mikrogranulí zajišťuje postupný růst, stimuluje zdravý, silný trávník a zlepšuje půdu. Pomalu uvolňující granule má rychlý nástup účinku a zároveň udržuje dlouhotrvající efekt.</p>
<p>Jedinečná směs živin je postupně uvolňována půdním životem. Tvorba humusu, minerálů a stopových prvků podporuje lepší vývoj kořenů a zabraňuje vyplavování živin. Toto profesionální hnojivo je ideální pro trávníky, sportovní hřiště a golfová hřiště, kde je žádoucí silný, hustý trávník.</p>"
gid://shopify/Collection/657054368068,zahradni-hnojivo,Zahradní hnojivo,"<p>Zahradní hnojivo All-In-One je vyvinuto pro optimální výkonnost kvetoucích rostlin, keřů, stromů, růží, trvalek, cibulovin, ovocných stromů, jahod, ovoce a kořenové zeleniny. Užívejte si více a chutnějšího ovoce, krásnější rostliny, hlubší barvy a více květů. Zlepšuje strukturu půdy a aktivuje pozitivní půdní život. Vysoký obsah draslíku zajišťuje silnou a odolnou rostlinu. Navíc je toto hnojivo extra bohaté na hořčík pro optimální fotosyntézu a hlubší barvy. Zahradní hnojivo All-In-One neovlivňuje kyselost půdy, což z něj činí bezpečné použití a vhodné pro kyselomilné rostliny. Toto profesionální hnojivo je univerzálně použitelné v každé zeleninové a okrasné zahradě.</p>"
gid://shopify/Collection/657054499140,granulovane-vapno-jako-hnojivo,Granulované vápno jako hnojivo,"<p>Toto jedinečné vápenné hnojivo pro všechny roční období od Organifer je obohaceno o hořčík. Ideální pro ochranu vaší půdy před přílišnou kyselostí. Rovněž působí nepřímo proti mechu. Aplikace vápna je zásadní pro korekci úrovně kyselosti (pH) ve vašem trávníku nebo zeleninové zahradě. Pro každou rostlinu je velmi důležité, aby půda měla správnou hodnotu pH. Příjmem živin, které jsou obvykle také dodávány do zahrady a trávníku, se půda stává kyselou. Kromě ""kyselomilných"" rostlin to není ideální pro dobrý a zdravý růst pěstovaných rostlin a trav. Přidaný hořčík zajišťuje hluboce zelenou barvu a přispívá k optimální fotosyntéze a úrodnosti půdy.</p>"
gid://shopify/Collection/657054728516,lavova-kamenna-moucka,Lávová kamenná moučka,"<p>Organifer Primordial Rock Lavameal je nejkvalitnější primordiální kamenná moučka dostupná na trhu. Je to unikátní lávová moučka s nejvyšší koncentrací vstřebatelných minerálů a nejlepšími zpracovatelskými schopnostmi. Je velmi univerzální, ideální pro rozptylování, rozhazování nebo míchání. Široce se používá v zahradách jako zlepšovač půdy a je vynikající pro ochranu rostlin, jako je zimostráz, před škůdci. Navíc tato bohatá lávová moučka nepřímo bojuje proti přesličce a dalším plevelům.</p>"
gid://shopify/Collection/657054826820,rostliny-v-kvetinacich-a-hydroponie,Rostliny v květináčích a hydroponie,"<p>Organifer hydro-granule jsou vhodné jak pro hydroponické pěstování, tak jako drenážní vrstva na dně květináčů a rostlinných nádob. Hydro-granule podporují zdravý růst rostlin a poskytují oporu kořenovému systému. Při plnění květináče proto vždy nejprve přidejte vrstvu hydro-granulí na dno. V závislosti na velikosti květináče lze na dno použít vrstvu o tloušťce 3–6 cm. Tato vrstva zlepšuje hospodaření s vodou v květináči a umožňuje lepší růst rostlin. U venkovních květináčů je důležité, aby měly na dně otvor, který umožní odtok přebytečné vody.</p>"
gid://shopify/Collection/657054892356,tekute-hnojivo-pro-rustovou-fazi,Tekuté hnojivo pro růstovou fázi,"<p>Tekuté hnojivo pro růstovou fázi - Amino Power je kompletní hnojivo speciálně pro růstovou fázi každé rostliny a plodiny (Fáze 1). Tento silný koncentrát obsahuje unikátní směs esenciálních aminokyselin a obsahuje 9% organického dusíku z enzymaticky hydrolyzovaných proteinů. Organifer Amino Power také obsahuje unikátní směs s 18 proteinogenními aminokyselinami.</p>
<p>Tekuté hnojivo pro růstovou fázi - Amino Power snižuje abiotický stres a zajišťuje optimální výkon, zdraví a energeticky efektivní růst.</p>
<p>Produkt je založen na mořských řasách, což umožňuje rychlé a snadné vstřebávání, podporuje zdravý, rovnoměrný růst a lepší vývoj kořenů. Poskytuje první impuls pro zdravou, silnou rostlinu a plné květy.</p>
<p>Tekuté hnojivo pro růstovou fázi - Amino Power je s velkým úspěchem používáno v hydroponii a pěstování v substrátech, při pěstování uvnitř i venku, v zemědělství, stejně jako v okrasných a užitkových zahradách. Kromě toho je produkt také vhodný pro pokojové rostliny. Tekuté hnojivo pro růstovou fázi - Amino Power lze také použít v ekologickém zahradnictví a je univerzálně použitelné pro všechny rostliny a plodiny. Tekuté hnojivo pro růstovou fázi - Amino Power je ideální pro ekologické pěstování v půdě nebo kokosu. Kromě toho produkt koriguje problémy s dusíkem u vašich rostlin. Nedostatek dusíku lze rozpoznat podle žlutých listů.</p>"
