ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,kogoedningspiller,Kogødningspiller,"<p>Kogødningspiller 3in1 er yderst velegnede som plantningsgødning til prydhaver, bede, plæner, løg- og knoldplanter, køkkenhaver, roser, potteplanter og frugttræer. Disse piller forbedrer jordstrukturen og vandholdelseskapaciteten, fremmer et frugtbart jordmiljø og giver en naturlig berigelse af jorden for at opretholde langsigtet balance. De er en alsidig gødning, der er egnet til alle jordtyper og kan bruges perfekt som plantnings- og basisgødning til plæner, bede, køkkenhaver, græsmarker og frugthaver. Desuden kan pillerne bruges som jordaktivator ved hurtigt at stimulere positiv jordaktivitet.</p>"
gid://shopify/Collection/657054204228,efteraarsgoedning,Efterårsgødning,"<p>Denne professionelle efterårsgødning er meget rig på kalium og giver ekstra beskyttelse mod den kolde vinter for plæner, græs og planter. Gødningen øger modstandsdygtigheden mod frostens direkte påvirkninger. Derudover er mineraler og sporstoffer tilføjet til gødningsgranulaterne. Efterårsgødning All-In-One granulat sikrer, at din plæne og planter er mørkegrønne, stærke og vinterhårdføre. Denne højkvalitetsnæring har en indirekte effekt på mos og ukrudt. De lugtfri gødningsgranulater er beriget med let optagelig kvælstof og kalium (NPK 6-2-12). Takket være den langvarige virkning (+100 dage) vil der stadig være nok næringsstoffer til god genvækst af græsset og dannelse af en stærk, tæt græsplæne, hvor mos og ukrudt ikke har nogen chance, selv efter plæneluftning. Resultatet er en sund, stærk græsplæne, der bedre kan modstå slid, tørke og frost. Effekten af efterårsgødning er ofte undervurderet. Ved at sikre, at græsset går vinteren i møde stærkt og hærdet, forhindres problemer i foråret.</p>"
gid://shopify/Collection/657054236996,graesgoednings,Græsgødnings,"<p>All-In-One Græsgødnings er det bedste valg til optimal gødning af en hestefold. Det er også meget velegnet til slætmarker og græsningsarealer til hobbydyr. En komplet all-in-one græsgødnings baseret på hygiejniseret gødning, beriget med naturlige mineraler og sporstoffer for jævn vækst og en stærk græsplæne. Resultatet er høj kvalitet og velsmagende græs/foder og en naturligt frugtbar jord.</p>"
gid://shopify/Collection/657054302532,vegansk-plantebaseret-goedning,Vegansk Plantebaseret Gødning,"<p>Vegan Plantegødning er en 100% plantebaseret organisk gødning, der er helt fri for animalske råmaterialer såsom gødning. Denne professionelle gødning er egnet til alle jordtyper og er fremragende som plantnings- og basisgødning til græsplæner, blomsterbede, køkkenhaver, frugthaver og stueplanter. Vegan Plantegødning er en meget god jordaktivator og stimulerer jordlivet. På grund af sit høje indhold af organisk materiale forbedrer gødningen jordstrukturen og fugtbevarelsen. Derudover muliggør vegan plantegødning et frugtbart jordliv og sikrer en naturlig jordberigelse for at holde jorden permanent i balance. Vegan Plantegødning har et gunstigt NPK-forhold (6-3-2) og en særlig rig sammensætning. Næringsstofferne absorberes fremragende af planterne og frigives doseret. Denne plantegødning er universelt anvendelig, har en behagelig duft og er sikker for mennesker og dyr.</p>"
gid://shopify/Collection/657054335300,plaenegoedning-all-in-one,Plænegødning All-In-One,"<p>Plænegødning All-In-One er udviklet til at skabe og vedligeholde en dybgrøn græsplæne uden mos og ukrudt.</p>
<p>En højkvalitets organisk-mineral gødning, der er egnet til gødning af enhver type græs og jord. Takket være det ekstra magnesium bliver hver græsplæne intens grøn. Velegnet til nyanlæg og vedligeholdelsesgødning. Den unikke kombination af både hurtigtvirkende og langsomt frigivende komponenter muliggør en hurtig vækststart sammen med 100 dages fuldstændig næring. Plænegødning All-In-One stimulerer jordlivet positivt og øger jordens naturlige frugtbarhed med hver anvendelse. Resultatet er en sund, tæt græsplæne uden plads til mos og ukrudt.</p>
<p>Plænegødning All-In-One har et højt kaliumindhold, der giver en stærk græsplæne, som er mere modstandsdygtig over for slid, tørke og frost. Gødningen er fremragende at anvende både om foråret og om efteråret, hvilket muliggør helårsgødning af plænen med det samme produkt. Den højkvalitets mikrogranulatblanding sikrer gradvis vækst, stimulerer en sund og stærk græsplæne og forbedrer jorden. Den langsomt frigivende granulat har en hurtig startvirkning, samtidig med at den opretholder langvarige effekter.</p>
<p>Den unikke blanding af næringsstoffer frigives gradvist af jordlivet. Dannelse af humus, mineraler og sporstoffer fremmer bedre rodudvikling og forhindrer udvaskning. Denne professionelle gødning er ideel til plæner, sportsbaner og golfbaner, hvor en stærk og tæt græsplæne er ønsket.</p>"
gid://shopify/Collection/657054368068,havegoedning,Havegødning,"<p>Havegødning All-In-One er udviklet til optimal ydeevne for blomstrende planter, buske, træer, roser, stauder, løg, frugttræer, jordbær, frugt og rodgrøntsager. Nyd flere og mere velsmagende frugter, smukke planter, dybere farver og flere blomster. Forbedrer jordstrukturen og aktiverer positivt jordliv. Det høje kaliumindhold sikrer en stærk, modstandsdygtig plante. Derudover er denne gødning ekstra rig på magnesium for optimal fotosyntese og dybere farver. Havegødning All-In-One påvirker ikke jordens surhedsgrad, hvilket gør den sikker at bruge og velegnet til surbundsplanter. Denne professionelle gødning er universelt anvendelig i enhver køkkenhave og prydhave.</p>"
gid://shopify/Collection/657054499140,granulaer-kalkgoedning,Granulær Kalkgødning,"<p>Denne unikke kalkgødning fra Organifer, beriget med magnesium, er ideel til at beskytte din jord mod at blive for sur. Den virker også indirekte mod mos. Anvendelsen af kalk er afgørende for at korrigere surhedsgraden (pH-værdien) i din græsplæne eller køkkenhave. For enhver plante er det meget vigtigt, at jorden har den korrekte pH-værdi. Gennem optagelsen af næringsstoffer, som normalt også tilføres haven og græsplænen, bliver jorden sur. Undtagen for ""surbundsplanter"" er dette alt andet end ideelt for en god og sund vækst af dyrkede planter og græsser. Det tilsatte magnesium sikrer en dyb grøn farve og bidrager til optimal fotosyntese og jordens frugtbarhed.</p>"
gid://shopify/Collection/657054728516,lava-rock-pulver,Lava Rock-pulver,"<p>Organifer Primordial Rock Lavamel er den fineste kvalitet af urstensmel tilgængelig på markedet. Det er et unikt lavamel med den højeste koncentration af optagelige mineraler og de bedste bearbejdningsegenskaber. Bredt alsidig, det er perfekt til spredning, strøning eller blanding. Det bruges omfattende i haver som en jordforbedrer og er fremragende til at beskytte planter, såsom buksbom, mod skadedyr. Derudover bekæmper dette rige lavamel indirekte padderok og andre ukrudt.</p>"
gid://shopify/Collection/657054826820,potteplanter-og-hydroponics,Potteplanter og hydroponics,"<p>Bekræftet. Jeg vil oversætte alle leverede tekster direkte til fejlfrit dansk uden at ændre konteksten. Jeg vil inkorporere de mest søgte relevante nøgleord, samtidig med at jeg bevarer den oprindelige struktur, herunder punkttegn og andre formateringselementer. Brandnavnet 'Organifer' vil altid blive skrevet med stort, og jeg vil overholde brandets stilretningslinjer. Oversættelsen vil være formel, men samtidig letlæselig og tilpasset målgruppen af professionelle gartnere, der er kunder hos Organifer.com. Send venligst teksten, der skal oversættes.</p>"
gid://shopify/Collection/657054892356,flydende-goedning-til-vaekstfasen,Flydende Gødning til Vækstfasen,"<p>Flydende Gødning til Vækstfasen - Amino Power er en komplet gødning specielt til vækstfasen for hver plante og afgrøde (Fase 1). Dette kraftfulde koncentrat indeholder en unik blanding af essentielle aminosyrer og indeholder 9% organisk kvælstof fra enzymatisk hydrolyserede proteiner. Organifer Amino Power indeholder også en unik blanding med 18 proteinogene aminosyrer.</p>
<p>Flydende Gødning til Vækstfasen - Amino Power reducerer abiotisk stress og sikrer optimal ydeevne, sundhed og energieffektiv vækst.</p>
<p>Produktet er baseret på marine alger, hvilket gør det hurtigt og nemt optageligt, og fremmer sund, jævn vækst og bedre rodudvikling. Det giver det første boost til en sund, kraftig plante og fuld blomstring.</p>
<p>Flydende Gødning til Vækstfasen - Amino Power bruges med stor succes i hydroponik og substratdyrkning, indendørs og udendørs dyrkning, landbrug samt i pryd- og nyttehaver. Derudover er produktet også velegnet til stueplanter. Flydende Gødning til Vækstfasen - Amino Power kan også bruges i økologisk havebrug og er universelt anvendeligt til alle planter og afgrøder. Flydende Gødning til Vækstfasen - Amino Power er ideel til økologisk dyrkning i jord eller kokos. Derudover korrigerer produktet kvælstofproblemer i dine planter. En kvælstofmangel kan genkendes ved gule blade.</p>"
