ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,kuhmistpellets-3in1,Kuhmistpellets 3in1,"<p>Kuhmistpellets 3in1 sind ideal als Dünger bei der Anlage von Ziergärten, Rabatten, Rasenflächen, für Zwiebel- und Knollengewächse, Gemüsegärten, Rosen, Kübelpflanzen und Obstbäume. Die Pellets verbessern die Bodenstruktur und das Wasserspeichervermögen, ermöglichen ein fruchtbares Bodenleben und sorgen für eine natürliche Bodenanreicherung, die den Boden dauerhaft im Gleichgewicht hält. Es handelt sich um einen Allround-Dünger, der für alle Bodenarten geeignet ist und perfekt als Pflanz- und Basisdünger für Rasen, Beet, Gemüsegarten, Weide und Obstgarten verwendet werden kann. Darüber hinaus können die Pellets als Bodenaktivatoren eingesetzt werden, indem sie das positive Bodenleben schnell stimulieren.</p>
<p>Mit dem Ausbringen der Kuhmistpellets 3in1 werden drei Maßnahmen gleichzeitig durchgeführt:</p>
<p>1) Bietet sofort resorbierbare und langanhaltende Düngung (&gt;120 Tage);<br>2) Verbessert die Bodenstruktur und die Bodenfruchtbarkeit;<br>3) Fördert ein ausgewogenes und positives Bodenleben.</p>"
gid://shopify/Collection/657054204228,herbstdunger-all-in-one,Herbstdünger All-In-One,"<p>Dieser professionelle Herbstdünger ist sehr reich an Kalium und bietet Rasen, Gras und Pflanzen einen zusätzlichen Schutz vor dem kalten Winter. Der Dünger erhöht die Widerstandsfähigkeit gegen direkte Frosteinwirkung. Darüber hinaus wurden dem Düngegranulat Mineralien und Spurenelemente zugesetzt. Herbstdünger All-in-One-Düngegranulat sorgt für dunkelgrüne, kräftige und widerstandsfähige Rasen und Pflanzen. Dieser hochwertige Dünger hat eine indirekte Wirkung auf Moos und Unkraut. Das geruchlose Düngegranulat wurde mit leicht absorbierbarem Stickstoff und Kalium (NPK 6-2-12) angereichert. Dank seiner langen Wirkungsdauer (+100 Tage) sind auch nach dem Vertikutieren noch genügend Nährstoffe für ein gutes Nachwachsen des Grases und die Bildung einer starken, dichten Grasnarbe vorhanden, in der Moos und Unkraut keine Chance mehr haben. Das Ergebnis ist eine gesunde, kräftige Grasnarbe, die widerstandsfähiger gegen Trittschäden, Trockenheit und Frost ist. Die Wirkung von Herbstdünger wird oft unterschätzt. Indem man dafür sorgt, dass das Gras im Winter stark und widerstandsfähig ist, beugt man Problemen im Frühjahr vor.</p>"
gid://shopify/Collection/657054236996,weideduenger-all-in-one,Weidedünger,"<p>Weidedünger All-In-One ist die beste Wahl für die optimale Düngung einer Pferdeweide. Auch sehr gut geeignet für Mähweiden und Weideland von hobbymäßig gehaltenen Nutztieren. Ein kompletter All-in-One-Weidedünger auf der Basis von hygienisiertem Mist, angereichert mit natürlichen Mineralien und Spurenelementen für ein gleichmäßiges Wachstum und eine starke Grasnarbe. Das Ergebnis ist hochwertiges und schmackhaftes Gras/Raufutter und ein natürlich fruchtbarer Boden.</p>"
gid://shopify/Collection/657054302532,veganer-pflanzlicher-dunger,Veganer pflanzlicher Dünger,"<p>Veganer pflanzlicher Dünger ist ein 100 % pflanzlicher organischer Dünger, der völlig frei von tierischen Rohstoffen wie Gülle ist. Dieser professionelle Dünger ist für alle Bodenarten geeignet und eignet sich hervorragend als Pflanz- und Basisdünger für Rasen, Beet, Gemüsegarten, Obstgarten und Zimmerpflanzen. Veganer pflanzlicher Dünger ist ein sehr guter Bodenaktivator und stimuliert das Bodenleben. Der Dünger verbessert aufgrund seines hohen Gehalts an organischer Substanz die Bodenstruktur und die Feuchtigkeitsspeicherung. Darüber hinaus ermöglicht der vegane pflanzliche Dünger ein fruchtbares Bodenleben und sorgt für eine natürliche Bodenanreicherung, um den Boden dauerhaft im Gleichgewicht zu halten. Veganer pflanzlicher Dünger hat ein günstiges NPK-Verhältnis (6-3-2) und eine besonders reichhaltige Zusammensetzung. Die Nährstoffe werden von den Pflanzen hervorragend aufgenommen und dosiert abgegeben. Dieser pflanzliche Dünger ist universell einsetzbar, hat einen angenehmen Duft und ist sicher für Mensch und Tier.</p>"
gid://shopify/Collection/657054335300,rasendunger-all-in-one,Rasendünger All-In-One,"<p>Rasendünger All-In-One wurde entwickelt, um eine tiefgrüne Grasnarbe ohne Moos und Unkraut zu schaffen und zu erhalten.</p>
<p>&nbsp;</p>
<p>Ein hochwertiger organisch-mineralischer Dünger, der sich für die Düngung jeder Art von Rasen und Boden eignet. Durch das Vorhandensein von zusätzlichem Magnesium wird jede Grasnarbe intensiv grün. Geeignet für Neuanlagen und für die Erhaltungsdüngung. Die einzigartige Kombination aus schnell und langsam wirkenden Inhaltsstoffen ermöglicht in Verbindung mit einer 100-tägigen Volldüngung einen schnellen Wachstumsstart. Rasendünger All-In-One stimuliert ein positives Bodenleben und erhöht mit jeder Anwendung die natürliche Bodenfruchtbarkeit. Das Ergebnis ist eine gesunde, dichte Grasnarbe, in der kein Platz für Moos und Unkraut ist.</p>
<p>&nbsp;</p>
<p>Rasendünger All-In-One hat einen hohen Kaliumgehalt für eine kräftige Grasnarbe, die widerstandsfähiger gegen Trittschäden, Trockenheit und Frost ist. Der Dünger kann sowohl im Frühjahr als auch im Herbst ausgebracht werden. So kann der Rasen das ganze Jahr über mit dem gleichen Dünger gedüngt werden. Die hochwertige Mikrogranulatmischung sorgt für ein allmähliches Wachstum, fördert eine gesunde, kräftige Grasnarbe und verbessert den Boden. Das Slow-Release-Granulat hat eine schnell einsetzende Wirkung, die lang anhält.</p>
<p>&nbsp;</p>
<p>Die einzigartige Mischung von Nährelementen wird vom Bodenleben nach und nach freigesetzt. Humusbildung, Mineralien und Spurenelemente verbessern die Durchwurzelung und verhindern die Ausspülung. Dieser professionelle Dünger eignet sich ideal für Rasenflächen, Sportplätze und Golfplätze, wo eine starke, dichte Grasnarbe gewünscht wird.</p>"
gid://shopify/Collection/657054368068,gartenduenger-all-in-one,Gartendünger,"<p>Gartendünger All-in-One wurde für die optimale Leistung von blühenden Pflanzen, Sträuchern, Bäumen, Rosen, Stauden, Blumenzwiebeln, Obstbäumen, Erdbeeren, Obst und Knollengemüse entwickelt. Genießen Sie mehr und schmackhaftere Früchte, schönere Pflanzen, intensivere Farben und mehr Blüten. Verbessert die Bodenstruktur und aktiviert das positive Bodenleben. Der hohe Kaliumgehalt sorgt für eine kräftige, widerstandsfähige Pflanze. Darüber hinaus ist dieser Dünger besonders reich an Magnesium für eine optimale Photosynthese und intensivere Farben. Gartendünger All-In-One beeinträchtigt den Säuregehalt des Bodens nicht. Das macht diesen Dünger sicher in der Anwendung und auch für säureliebende Pflanzen geeignet. Dieser professionelle Dünger kann universell in jedem Nutz- und Ziergarten eingesetzt werden.</p>"
gid://shopify/Collection/657054499140,kalkduenger-mit-magnesium,Kalkdünger,"<p>Dieser einzigartige Kalkdünger für alle Jahreszeiten von Organifer wurde mit Magnesium angereichert. Ideal, um Ihren Boden vor Übersäuerung zu schützen. Wirkt zudem indirekt gegen Moos. Die Anwendung von Kalk ist wichtig, um den Säuregrad (pH-Wert) in Ihrem Rasen oder Gemüsegarten zu korrigieren. Für jede Pflanze ist es sehr wichtig, dass der Boden den richtigen pH-Wert hat. Durch die Aufnahme von Nährstoffen, die normalerweise auch dem Garten und dem Rasen zugeführt werden, übersäuert der Boden. Außer für „säureliebende“ Pflanzen, ist dies alles andere als ideal für ein gutes und gesundes Wachstum von Kulturpflanzen und Gräsern. Das zugesetzte Magnesium sorgt für eine tiefgrüne Farbe und trägt zu einer optimalen Photosynthese und Bodenfruchtbarkeit bei.</p>"
gid://shopify/Collection/657054728516,lavamehl-aus-eifeler-urgestein,Lavamehl,"<p>Lavamehl aus Eifeler Urgestein ist das hochwertigste Urgesteinsmehl auf dem Markt. Gemeinsam mit Partner aus der Eifel wurde ein einzigartiges Lavamehl mit der höchsten Konzentration an Mineralien auf dem Markt und den besten Verarbeitungseigenschaften entwickelt. Lavamehl aus Eifeler Urgestein ist vielseitig einsetzbar und eignet sich hervorragend zum Sprühen, Streuen oder Untermischen. Es wird häufig als Bodenverbesserungsmittel in Gärten verwendet und ist ideal geeignet, um Pflanzen wie Buchsbaum vor Verbiss zu schützen. Darüber hinaus hat dieses sehr reichhaltige Lavamehl eine indirekte Wirkung gegen Schachtelhalm und andere Unkräuter.</p>
<p>Die intensive Nutzung setzt die Qualität unserer Böden ständig unter Druck. Der jahrzehntelange einseitige Einsatz von Kunstdüngern mit nur wenigen Elementen schadet den Böden. Die mineralische Fruchtbarkeit nimmt ab, Humusgehalt, Struktur und Krankheitsresistenz des Bodens verschlechtern sich. Infolgedessen sind die Pflanzen weniger widerstandsfähig und unsere Lebensmittel enthalten weniger lebenswichtige Mineralien und Spurenelemente. Die bloße Ausbringung von Kunstdünger, Kalk und organischen Stoffen reicht offenbar nicht aus, um eine nachhaltige Erholung der Böden zu erreichen. Die Verwendung von Gesteinsmehl als natürliche Mineralienquelle zur Steigerung der Bodenfruchtbarkeit ist seit langem bekannt, wurde aber aufgrund der Konzentration auf moderne synthetische Düngemittel lange Zeit verdrängt. Organifer setzt sich seit 2009 für die Verwendung von Lavamehl zur nachhaltigen Wiederherstellung der Bodenqualität ein.</p>"
gid://shopify/Collection/657054826820,topfpflanzen-und-hydrokultur,Topfpflanzen und Hydrokultur.,"<p>Organifer Hydrokörner sind sowohl für die Hydrokultur als auch als Drainageschicht am Boden von Blumentöpfen und Pflanzgefäßen geeignet. Hydrokörner sorgen dafür, dass Ihre Pflanzen gut wachsen und geben den Wurzeln Halt. Fügen Sie daher beim Befüllen eines Topfes immer zuerst eine Schicht Hydrokörner am Boden des Topfes hinzu. Je nach Größe des Topfes kann eine Schicht von 3-6 cm am Boden verwendet werden. Eine solche Schicht verbessert das Wassermanagement im Topf und ermöglicht ein besseres Pflanzenwachstum. Für Außentöpfe ist es wichtig, dass am Boden des Topfes ein Loch vorhanden ist, damit überschüssiges Wasser aus dem Topf abfließen kann.</p>"
gid://shopify/Collection/657054892356,flussigdunger-fur-die-wachstumsphase,Flüssigdünger für die Wachstumsphase,"<p>Flüssigdünger für die Wachstumsphase - Amino Power ist ein komplettes Düngemittel speziell für die Wachstumsphase jeder Pflanze und Kultur (Phase 1). Dieses leistungsstarke Konzentrat enthält eine einzigartige Mischung essenzieller Aminosäuren und enthält 9 % organischen Stickstoff aus enzymatisch hydrolysierten Proteinen. Organifer Amino Power enthält außerdem eine einzigartige Mischung mit 18 proteinogenen Aminosäuren.</p>
<p>Flüssigdünger für die Wachstumsphase - Amino Power reduziert abiotischen Stress und sorgt für optimale Leistung, Gesundheit und energieeffizientes Wachstum.</p>
<p>Das Produkt ist auf der Basis von Meeresalgen hergestellt, wodurch es schnell und gut absorbierbar ist und für ein gesundes, gleichmäßiges Wachstum und eine bessere Wurzelentwicklung sorgt. Es gibt den ersten Anstoß für eine gesunde, kräftige Pflanze und eine volle Blüte.</p>
<p>Flüssigdünger für die Wachstumsphase - Amino Power wird mit großem Erfolg in der Hydrokultur und im Substratanbau, im Innen- und Außenanbau, in der Landwirtschaft sowie in Zier- und Nutzgärten eingesetzt. Darüber hinaus ist das Produkt auch für Zimmerpflanzen geeignet. Flüssigdünger für die Wachstumsphase - Amino Power kann auch im biologischen Gartenbau verwendet werden und ist universell für alle Pflanzen und Kulturen einsetzbar. Flüssigdünger für die Wachstumsphase - Amino Power ist ideal für biologischen Anbau auf Erde oder Kokos. Darüber hinaus behebt das Produkt Stickstoffprobleme bei Ihren Pflanzen. Ein Stickstoffmangel ist an gelben Blättern zu erkennen.</p>"
