ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,granules-de-fumier-bovin-3en1,Granulés de fumier bovin 3en1,"<p>Les granulés de fumier bovin 3en1 sont particulièrement adaptés comme engrais de démarrage pour les jardins d'agrément, les massifs de fleurs, les pelouses, les bulbes, les potagers, les rosiers, les plantes en pot et les arbres fruitiers. Les granulés améliorent la structure du sol et sa capacité de rétention d'humidité, favorisent une vie microbienne fertile et enrichissent naturellement le sol pour maintenir un équilibre constant dans le sol. Il s'agit d'un engrais polyvalent adapté à tous les types de sols et peut être utilisé parfaitement comme engrais de démarrage et de base pour les pelouses, les massifs de fleurs, les potagers, les prairies et les vergers. De plus, les granulés peuvent être utilisés comme activateur de sol en stimulant rapidement une vie microbienne positive.</p>"
gid://shopify/Collection/657054204228,engrais-dautomne,Engrais d'Automne,"<p>Cet engrais d'automne professionnel est très riche en potassium et offre une protection supplémentaire contre le froid hivernal à votre pelouse, votre herbe et vos plantes. Cet engrais renforce la résistance aux effets directs du gel. De plus, des minéraux et des oligo-éléments ont été ajoutés aux granulés d'engrais. Les granulés d'Engrais d'Automne Tout-en-Un assurent à votre pelouse et à vos plantes une couleur vert foncé, une robustesse et une résistance à l'hiver. Cette nutrition de haute qualité a un effet indirect sur la mousse et les mauvaises herbes. Les granulés d'engrais sans odeur sont enrichis en azote et en potassium facilement absorbables (NPK 6-2-12). Grâce à leur longue durée d'action (+100 jours), même après la scarification, il y aura encore suffisamment de nutriments pour une bonne repousse de l'herbe et pour la formation d'un gazon dense et solide, où la mousse et les mauvaises herbes n'auront plus leur place. Cela se traduit par une pelouse robuste et en bonne santé, résistante au piétinement, à la sécheresse et au gel. L'effet de l'engrais d'automne est souvent sous-estimé. En garantissant que l'herbe entre dans l'hiver robuste et endurcie, les problèmes au printemps sont évités.</p>"
gid://shopify/Collection/657054236996,le-fertilisant-pour-paturages,Le fertilisant pour pâturages,"<p>Le fertilisant tout-en-un pour pâturages est le meilleur choix pour une fertilisation optimale d'un pré pour chevaux. Il convient également très bien pour les pâturages de fauche et les terrains de pâturage destinés au bétail amateur. Un fertilisant tout-en-un complet pour pâturages, basé sur du fumier hygiénisé, enrichi en minéraux naturels et en oligo-éléments pour une croissance uniforme et une pelouse robuste. Le résultat est une herbe/foin de haute qualité et savoureuse, ainsi qu'un sol naturellement fertile.</p>"
gid://shopify/Collection/657054302532,engrais-vegetalien-a-base-de-plantes,Engrais Végétalien à Base de Plantes,"<p>L'Engrais Végétalien à Base de Plantes est un engrais organique 100 % végétalien, totalement dépourvu de matières premières d'origine animale telles que le fumier. Cet engrais professionnel convient à tous les types de sols et est particulièrement adapté en tant qu'engrais de démarrage et de base pour les pelouses, les massifs de fleurs, les potagers, les vergers et les plantes d'intérieur. L'Engrais Végétalien à Base de Plantes est un excellent activateur de sol et stimule la vie microbienne du sol. Il améliore la structure du sol et sa capacité de rétention d'humidité grâce à sa forte teneur en matière organique. De plus, il favorise la vie microbienne fertile et enrichit naturellement le sol pour maintenir un équilibre constant dans le sol. L'Engrais Végétalien à Base de Plantes présente un rapport NPK avantageux (6-3-2) et une composition exceptionnellement riche. Les nutriments sont facilement assimilables par les plantes et sont libérés de manière dosée. Cet engrais végétalien est polyvalent, dégage une agréable odeur et est sûr pour les humains et les animaux.</p>"
gid://shopify/Collection/657054335300,engrais-tout-en-un-pour-pelouse-organifer,Engrais Tout-en-Un pour Pelouse,"<p>L'Engrais Tout-en-Un pour Pelouse Organifer a été développé pour la création et l'entretien d'une pelouse d'un vert profond, sans mousse ni mauvaises herbes.</p>
<p>Il s'agit d'un engrais organo-minéral de haute qualité adapté à la fertilisation de tout type d'herbe et de sol. La présence de magnésium supplémentaire confère à chaque pelouse une couleur vert intense. Il convient aussi bien à la nouvelle installation qu'à l'entretien régulier. La combinaison unique d'éléments à action rapide et lente permet un démarrage rapide de la croissance combiné à une nutrition complète sur 100 jours. L'Engrais Tout-en-Un pour Pelouse stimule une vie du sol positive et accroît la fertilité naturelle du sol à chaque application. Résultat : une pelouse dense et saine où la mousse et les mauvaises herbes n'ont pas leur place.</p>
<p>L'Engrais Tout-en-Un pour Pelouse présente une teneur élevée en potassium pour une pelouse robuste et résistante à la piétinement, à la sécheresse et au gel. Cet engrais peut être appliqué aussi bien au printemps qu'à l'automne. Ainsi, la même formulation d'engrais peut être utilisée tout au long de l'année pour fertiliser la pelouse. Le mélange de microgranulés de haute qualité favorise une croissance progressive, stimule une pelouse robuste et en bonne santé, et améliore le sol. Les granules à libération lente offrent une action rapide au démarrage, tout en maintenant une action prolongée.</p>
<p>La combinaison unique d'éléments nutritifs est libérée graduellement par la vie du sol. La formation d'humus, les minéraux et les oligo-éléments améliorent l'enracinement et préviennent le lessivage. Cet engrais professionnel convient particulièrement aux pelouses, aux terrains de sport et aux terrains de golf où une pelouse dense et résistante est recherchée.</p>"
gid://shopify/Collection/657054368068,engrais-pour-jardin,Engrais pour jardin,"<p>L'engrais Tout-en-Un pour jardin a été développé pour optimiser les performances des plantes en fleurs, des arbustes, des arbres, des rosiers, des plantes vivaces, des bulbes, des arbres fruitiers, des fraises, des fruits et des légumes à tubercules. Profitez de fruits plus abondants et savoureux, de plantes plus belles, de couleurs plus profondes et de plus de fleurs. Il améliore la structure du sol et favorise une vie microbienne positive. La forte teneur en potassium assure une plante forte et résistante. De plus, cet engrais est particulièrement riche en magnésium pour une photosynthèse optimale et des couleurs plus profondes. L'engrais Tout-en-Un pour jardin n'affecte pas le pH du sol. Par conséquent, il peut être utilisé en toute sécurité et convient également aux plantes acidophiles. Cet engrais professionnel est polyvalent et peut être utilisé dans tous les potagers et jardins d'ornement.</p>"
gid://shopify/Collection/657054499140,engrais-granule-de-chaux,Engrais Calcaire avec Magnésium,"<p>Cette engrais calcaire 4-saisons unique d’Organifer est idéal pour contrer l’acidification de votre sol et agit également de manière indirecte contre la mousse. L’apport de chaux est crucial pour corriger le pH (valeur du pH) de votre pelouse ou potager. Pour chaque plante, il est vital que le sol ait le bon pH. À cause de l’absorption des nutriments habituellement ajoutés au jardin et à la pelouse, le sol s’acidifie. À l’exception des plantes “acidophiles”, cela est loin d’être idéal pour une croissance saine et robuste des cultures et des graminées. Le magnésium confère une couleur vert foncé et contribue à une photosynthèse et une fertilité du sol optimales.</p>"
gid://shopify/Collection/657054728516,farine-de-lave,Farine de Lave,"<p>Organifer Roche Primitive Farine de Lave est la meilleure qualité de farine de roche primitive sur le marché. Il s'agit d'une farine de lave unique avec la plus haute concentration de minéraux assimilables et les meilleures possibilités de traitement. Elle est polyvalente et idéale pour être dispersée, épandue ou mélangée. Fréquemment utilisée dans les jardins comme améliorant du sol, elle est également excellente pour protéger certaines plantes, comme le buis, contre les ravageurs. De plus, cette farine de lave riche a une action indirecte contre la prêle et d'autres mauvaises herbes.</p>"
gid://shopify/Collection/657054826820,plantes-en-pot-et-hydroponie,Plantes en pot et hydroponie,"<p>Les hydro-granulés Organifer sont adaptés à l'hydroponie ainsi qu'à une utilisation comme couche de drainage au fond des pots de fleurs et des conteneurs de plantes.<br>Les hydro-granulés garantissent une bonne croissance des plantes et apportent un soutien aux racines. Il est donc recommandé d'ajouter toujours une couche d'hydro-granulés au fond du pot avant de le remplir. Selon la taille du pot, une couche de 3 à 6 cm peut être utilisée. Cette couche améliore la gestion de l'eau dans le pot et favorise une meilleure croissance des plantes. Pour les pots d'extérieur, il est essentiel qu'un trou soit présent au fond du pot afin de permettre l'évacuation de l'excès d'eau.</p>"
gid://shopify/Collection/657054892356,engrais-pour-la-phase-de-croissance,Engrais pour la Phase de Croissance,"<p>L'Engrais Liquide pour la Phase de Croissance - Amino Power est une nutrition complète spécialement conçue pour la phase de croissance de chaque plante et culture (phase 1). Ce concentré puissant contient un mélange unique d'acides aminés essentiels et contient 9 % d'azote organique provenant de protéines enzymatiquement hydrolysées. Organifer Amino Power contient également un mélange unique de 18 acides aminés protéinogènes.</p>
<p>L'Engrais Liquide pour la Phase de Croissance - Amino Power réduit le stress abiotique et favorise des performances optimales, une santé accrue et une croissance économe en énergie.</p>
<p>Le produit a une base d'algues marines, ce qui le rend rapidement et facilement assimilable pour une croissance uniforme et saine, ainsi qu'un meilleur développement des racines. Il favorise le développement initial d'une plante forte et saine ainsi qu'une floraison abondante.</p>
<p>L'Engrais Liquide pour la Phase de Croissance - Amino Power est utilisé avec succès en hydroponie et en culture sur substrat, ainsi que par les cultivateurs en intérieur et en extérieur, dans l'agriculture et dans les jardins d'ornement et potagers. De plus, il convient aux plantes d'intérieur. L'Engrais Liquide pour la Phase de Croissance - Amino Power peut également être utilisé pour le jardinage biologique et peut être appliqué de manière universelle sur toutes les plantes et cultures. Il est très adapté à la culture biologique en sol ou en fibre de coco. De plus, il résout les problèmes d'azote chez vos plantes. Une carence en azote se reconnaît aux feuilles jaunes.</p>"
gid://shopify/Collection/657054925124,stimulateur-racinaire,Stimulateur Racinaire,"<p>Le Stimulateur Racinaire – Concentré Roots Power est un stimulateur racinaire organique hautement concentré. Ce stimulateur favorise un développement rapide et puissant des racines pour chaque plante, ainsi qu'une récupération rapide après la transplantation. De plus, le stimulateur améliore l'absorption des nutriments et la structure du sol. Il convient particulièrement à la phase de croissance et aux premières semaines de la phase de floraison. Il garantit que la plante possède suffisamment de racines dès le début de la phase de floraison, ce qui permet à la plante d'utiliser toute son énergie pour fleurir. Par conséquent, arrêtez l'application du Stimulateur Racinaire – Concentré Roots Power après la troisième semaine de floraison. Le Stimulateur Racinaire – Concentré Roots Power stimule la croissance des racines et renforce la résistance de la plante. Son action est rapide, économique et est presque instantanément absorbée par la plante.</p>
<p>Le Stimulateur Racinaire – Concentré Roots Power favorise le développement de plantes robustes. Ce produit est particulièrement adapté aux boutures et aux plantes qui sont déplacées. Dès que les premières racines de la plante sont visibles, le Stimulateur Racinaire – Concentré Roots Power peut être utilisé. Le produit favorise un développement racinaire meilleur et plus rapide. Même pour les plantes touchées par des insectes nuisibles aux racines, le Stimulateur Racinaire – Concentré Roots Power peut être utilisé pour rétablir rapidement les racines.</p>
<p>L'impact de ce concentré organique puissant est remarquable. Dès le départ, ce liquide revitalisant favorise un développement racinaire plus rapide et meilleur, une meilleure absorption de l'oxygène et un transport accéléré des ions.</p>"
gid://shopify/Collection/657054957892,engrais-pour-la-phase-de-floraison,Engrais pour la Phase de Floraison,"<p>L'Engrais Liquide pour la Phase de Floraison - Iron Power est une nutrition complète très concentrée à base d'engrais liquide conçue spécialement pour la phase de floraison de la plante. L'Engrais Liquide pour la Phase de Floraison - Iron Power contient tous les éléments essentiels pour une développement optimal des bourgeons, des fleurs, des fruits et de la culture en général. Il fournit de l'énergie directement en complétant l'adénosine diphosphate (ADP) avec l'adénosine triphosphate (ATP). Il stimule la phase de floraison avec du phosphore (P) et du potassium (K). Grâce à la forme unique de chélate de fer, cette forme de fer ne nécessite pas d'énergie de la part de la plante. Cette énergie est donc entièrement dédiée à la floraison. De plus, l'Engrais Liquide pour la Phase de Floraison - Iron Power maintient les feuilles saines et vertes.</p>
<p>L'Engrais Liquide pour la Phase de Floraison - Iron Power est une nutrition concentrée pour les feuilles et les racines qui est administrée à la fin de la phase de croissance et pendant les trois premières semaines de la phase de floraison de la plante. Il contient des hormones naturelles pour la floraison et la croissance, et augmente les niveaux de cytokinine et de chlorophylle dans les feuilles. Cela entraîne également une augmentation du taux de sucre et stimule la production de chlorophylle. Cette nutrition renforce la résistance de la plante. La plante produira davantage de pousses et de fleurs, ce qui se traduira par une culture vigoureuse avec une floraison abondante et une récolte généreuse.</p>
<p>L'Engrais Liquide pour la Phase de Floraison - Iron Power est utilisé avec succès en hydroponie et en culture sur substrat, par les cultivateurs en intérieur et en extérieur, dans l'agriculture, sur les terrains de golf et les terrains de sport, dans les jardins d'ornement et potagers, ainsi que pour les plantes d'intérieur. Il augmente le rendement, améliore la qualité, renforce les saveurs et les couleurs, et produit des fruits plus robustes dans toutes les cultures.</p>"
gid://shopify/Collection/657054990660,pyrale-du-buis-et-maladies-du-buis,Pyrale du buis &amp; Les maladies du buis,"<p>Buis Vital Concentré aide votre buis à devenir plus résistant et vigoureux de manière 100% naturelle. Ainsi, vous obtiendrez un buis plus fort et plus sain qui croît de manière équilibrée et harmonieuse. De plus, un buis robuste et vital est plus résistant aux attaques d'insectes tels que la pyrale du buis et aux maladies comme le champignon du buis. Buis Vital Concentré est un produit extrêmement efficace, stimulant et nourrissant pour tout type de buis.</p>
<p>Il est composé d'un mélange de spécifiques extraits de plantes naturelles et est sans danger pour l'homme, l'animal et l'environnement. Les ingrédients de Buis Vital – Concentré sont lentement absorbés par la plante et les racines, puis diffusés via la sève. Ceci confère résilience et vitalité à l'ensemble du buis.</p>
<p>Buis Vital Concentré peut être appliqué en pleine terre et dans des pots, en arrosant simplement la plante et le sol. Le produit est absorbé par le sol et les racines de la plante. Traitez pendant la saison de croissance et répétez toutes les 3 semaines. Versez la solution de Buis Vital Concentré sur toute la plante jusqu'à ce qu'elle soit trempée. Si la plante est attaquée ou s'il y a beaucoup de pluie, augmentez l'intervalle.</p>"
