ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,peleti-od-kravljeg-gnoja,Peleti od kravljeg gnoja,"<p>Peleti od kravljeg gnoja 3u1 izvrsno su pogodni kao sadno gnojivo za ukrasne vrtove, rubne gredice, travnjake, biljke s lukovicama i gomoljima, povrtnjake, ruže, biljke u posudama i voćke. Ovi peleti poboljšavaju strukturu tla i kapacitet zadržavanja vode, potiču plodno okruženje tla i pružaju prirodno obogaćivanje tla za dugoročnu ravnotežu. Riječ je o univerzalnom gnojivu koje je prikladno za sve vrste tla i može se savršeno koristiti kao sadno i osnovno gnojivo za travnjake, rubne gredice, povrtnjake, pašnjake i voćnjake. Osim toga, peleti se mogu koristiti kao aktivator tla, brzo potičući pozitivnu aktivnost tla.</p>"
gid://shopify/Collection/657054204228,jesensko-gnojivo,Jesensko gnojivo,"<p>Ovo profesionalno jesensko gnojivo izuzetno je bogato kalijem i pruža dodatnu zaštitu od hladne zime za travnjake, travu i biljke. Gnojivo povećava otpornost na izravne učinke mraza. Osim toga, gnojivo sadrži dodane minerale i elemente u tragovima u granulama. Granule All-In-One jesenskog gnojiva osiguravaju da vaš travnjak i biljke budu tamnozeleni, snažni i otporni na zimu. Ova visokokvalitetna prehrana ima neizravni učinak na mahovinu i korov. Granule gnojiva bez mirisa obogaćene su lako upijajućim dušikom i kalijem (NPK 6-2-12). Zahvaljujući dugotrajnom učinku (+100 dana), osigurat će se dovoljno hranjivih tvari za dobar oporavak trave i formiranje snažnog, gustog busena u kojem mahovina i korov nemaju šanse, čak i nakon provjetravanja tla. Rezultat je zdrav, snažan travnjak koji bolje podnosi habanje, sušu i mraz. Učinkovitost jesenskog gnojiva često je podcijenjena. Osiguravanjem da trava u zimu ulazi jaka i otporna, sprječavaju se problemi u proljeće.</p>"
gid://shopify/Collection/657054236996,gnojivo-za-pasnjake,Gnojivo za pašnjake,"<p>Gnojivo za pašnjake All-In-One najbolji je izbor za optimalnu gnojidbu konjskih pašnjaka. Također je vrlo prikladno za košenje pašnjaka i ispašu za hobi stoku. Ovo cjelovito gnojivo za pašnjake temelji se na higijeniziranom gnoju, obogaćenom prirodnim mineralima i elementima u tragovima za ujednačen rast i snažan busen. Rezultat je visokokvalitetna i ukusna trava/grubi materijal te prirodno plodno tlo.</p>"
gid://shopify/Collection/657054302532,vegansko-biljno-gnojivo,Vegansko biljno gnojivo,"<p>Vegansko biljno gnojivo je 100% organsko gnojivo na biljnoj bazi, potpuno bez životinjskih sirovina poput gnoja. Ovo profesionalno gnojivo prikladno je za sve vrste tla i izvrsno je kao sadno i osnovno gnojivo za travnjake, cvjetne gredice, povrtnjake, voćnjake i sobne biljke. Vegansko biljno gnojivo vrlo je dobar aktivator tla i stimulira život tla. Zbog visokog sadržaja organske tvari, poboljšava strukturu tla i zadržavanje vlage. Osim toga, ovo vegansko gnojivo omogućava plodan život tla i osigurava prirodno obogaćivanje tla kako bi se održala trajna ravnoteža. Vegansko biljno gnojivo ima povoljan omjer NPK (6-3-2) i posebno bogat sastav. Hranjive tvari se izvrsno apsorbiraju od strane biljaka i otpuštaju na doziran način. Ovo biljno gnojivo univerzalno je primjenjivo, ugodnog mirisa i sigurno za ljude i životinje.</p>"
gid://shopify/Collection/657054335300,gnojivo-za-travnjak-sve-u-jednom,Gnojivo za travnjak sve u jednom,"<p>Gnojivo za travnjak sve u jednom razvijeno je za stvaranje i održavanje duboko zelenog travnjaka bez mahovine i korova.</p>
<p>Visokokvalitetno organsko-mineralno gnojivo prikladno za gnojidbu svih vrsta trave i tla. Zbog prisutnosti dodatnog magnezija, svaki travnjak postaje intenzivno zelen. Prikladno za nove instalacije i održavanje travnjaka. Jedinstvena kombinacija brzo djelujućih i sporootpuštajućih komponenti omogućuje brz početak rasta uz 100 dana potpune ishrane. Gnojivo za travnjak sve u jednom pozitivno stimulira život tla i s svakom primjenom povećava prirodnu plodnost tla. Rezultat je zdrav, gust travnjak bez prostora za mahovinu i korov.</p>
<p>Gnojivo za travnjak sve u jednom sadrži visoki udio kalija za snažan travnjak otporniji na habanje, sušu i mraz. Gnojivo je izvrsno za primjenu u proljeće i jesen, omogućujući cjelogodišnju gnojidbu travnjaka istim proizvodom. Visokokvalitetna mikrogranulirana mješavina osigurava postupni rast, potiče zdrav, snažan travnjak i poboljšava tlo. Sporo otpuštajuća granula ima brzi početak djelovanja, a pritom održava dugotrajan učinak.</p>
<p>Jedinstvena mješavina hranjivih tvari postupno se oslobađa zahvaljujući životu tla. Formiranje humusa, minerala i elemenata u tragovima potiče bolji razvoj korijena i sprječava ispiranje. Ovo profesionalno gnojivo idealno je za travnjake, sportske terene i golf terene gdje se želi postići snažan, gust travnjak.</p>"
gid://shopify/Collection/657054368068,vrtno-gnojivo,Vrtno gnojivo,"<p>Vrtno gnojivo All-In-One razvijeno je za optimalne rezultate kod cvjetnica, grmova, drveća, ruža, trajnica, lukovica, voćaka, jagoda, plodovitog i korjenastog povrća. Uživajte u više i ukusnijim plodovima, prekrasnim biljkama, dubljim bojama i obilju cvjetova. Poboljšava strukturu tla i aktivira pozitivan život tla. Visok sadržaj kalija osigurava snažne i otporne biljke. Osim toga, ovo gnojivo je izuzetno bogato magnezijem za optimalnu fotosintezu i dublje boje. Vrtno gnojivo All-In-One ne utječe na kiselost tla, što ga čini sigurnim za upotrebu i prikladnim za biljke koje vole kisela tla. Ovo profesionalno gnojivo univerzalno je primjenjivo u svakom povrtnjaku i ukrasnom vrtu.</p>"
gid://shopify/Collection/657054499140,granulirano-vapno-gnojivo,Granulirano vapno gnojivo,"<p>Ovo jedinstveno vapneno gnojivo za sve sezone od Organifera obogaćeno je magnezijem. Idealno je za zaštitu tla od prevelike kiselosti i djeluje neizravno protiv mahovine. Primjena vapna ključna je za korekciju razine kiselosti (pH vrijednosti) u travnjaku ili povrtnjaku. Za svaku biljku vrlo je važno da tlo ima ispravnu pH vrijednost. Kroz unos hranjivih tvari, koje se obično također dodaju u vrt i travnjak, tlo postaje kiselo. Osim za biljke koje vole kiselo tlo, ovo stanje nije idealno za dobar i zdrav rast kultiviranih biljaka i trava. Dodani magnezij osigurava duboku zelenu boju i doprinosi optimalnoj fotosintezi i plodnosti tla.</p>"
gid://shopify/Collection/657054728516,prah-od-vulkanske-stijene,Prah od vulkanske stijene,"<p>Organifer Primordial Rock Lavameal je najkvalitetniji prah od vulkanske stijene dostupan na tržištu. Ovaj jedinstveni lavameal sadrži najvišu koncentraciju apsorbirajućih minerala i ima najbolja svojstva za obradu. Izuzetno je svestran i savršen za rasipanje, posipanje ili miješanje. Široko se koristi u vrtovima kao poboljšivač tla, a izvrstan je i za zaštitu biljaka, poput šimšira, od štetnika. Osim toga, ovaj bogati lavameal neizravno suzbija preslicu i druge korove.</p>"
gid://shopify/Collection/657054826820,loncanice-i-hidroponika,Lončanice i hidroponika,"<p>Organifer hidro-granule pogodne su za hidroponiku i kao drenažni sloj na dnu cvjetnih lonaca i posuda za biljke. Hidro-granule osiguravaju zdrav rast biljaka i pružaju potporu korijenju. Stoga prilikom punjenja lonca uvijek prvo dodajte sloj hidro-granula na dno. Ovisno o veličini lonca, na dnu se može koristiti sloj debljine 3-6 cm. Takav sloj poboljšava upravljanje vodom u loncu i omogućuje bolji rast biljaka. Za vanjske lonce važno je da na dnu lonca postoji rupa koja omogućuje otjecanje viška vode.</p>"
gid://shopify/Collection/657054892356,tekuce-gnojivo-za-fazu-rasta,Tekuće gnojivo za fazu rasta,"<p>Tekuće gnojivo za fazu rasta - Amino Power kompletno je gnojivo posebno razvijeno za fazu rasta svake biljke i usjeva (Faza 1). Ovaj snažni koncentrat sadrži jedinstvenu mješavinu esencijalnih aminokiselina i sadrži 9% organskog dušika iz enzimski hidroliziranih proteina. Organifer Amino Power također sadrži jedinstvenu kombinaciju s 18 proteinogenih aminokiselina.</p>
<p>Tekuće gnojivo za fazu rasta - Amino Power smanjuje abiotski stres i osigurava optimalne rezultate, zdravlje i energetski učinkovit rast.</p>
<p>Proizvod se temelji na morskim algama, što omogućava brzo i lako upijanje, potiče zdrav, ravnomjeran rast i bolji razvoj korijena. Daje početni poticaj za zdravu, snažnu biljku i bogato cvjetanje.</p>
<p>Tekuće gnojivo za fazu rasta - Amino Power uspješno se koristi u hidroponiji i uzgoju na supstratu, unutarnjem i vanjskom uzgoju, poljoprivredi, kao i u ukrasnim i korisnim vrtovima. Proizvod je također prikladan za sobne biljke. Tekuće gnojivo za fazu rasta - Amino Power može se koristiti u organskom hortikulturi i univerzalno je primjenjivo na sve biljke i usjeve. Idealno je za organski uzgoj u tlu ili kokosovom supstratu. Osim toga, proizvod korigira probleme s dušikom kod vaših biljaka. Nedostatak dušika možete prepoznati po žutim listovima.</p>"
