ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,tehentragya-pellet,Tehéntrágya pellet,"<p>A 3 az 1-ben tehéntrágya pelleták rendkívül alkalmasak ültetési trágyaként díszkertekhez, virágágyásokhoz, gyephez, hagymás és gumós növényekhez, zöldségkertekhez, rózsákhoz, cserepes növényekhez és gyümölcsfákhoz. Ezek a pelleták javítják a talajszerkezetet és a vízmegtartó képességet, elősegítik a termékeny talajkörnyezetet, és természetes módon gazdagítják a talajt a hosszú távú egyensúly fenntartása érdekében. Ezek egy univerzális trágya, amely minden talajtípushoz megfelelő, és tökéletesen alkalmazható ültetési és alaptrágyaként gyephez, virágágyásokhoz, zöldségkertekhez, legelőkhez és gyümölcsösökhöz. Ezen kívül a pelleták talajaktiválóként is használhatók a pozitív talajtevékenység gyors serkentésével.</p>"
gid://shopify/Collection/657054204228,oszi-mutragya,Őszi műtrágya,"<p>Ez a professzionális őszi trágya nagyon gazdag káliumban, és extra védelmet nyújt a hideg tél ellen a gyep, fű és növények számára. A trágya növeli a fagynak való közvetlen ellenállást. Ezenkívül ásványi anyagok és nyomelemek is kerültek a trágya granulátumokba. Az Őszi Trágya All-In-One granulátumai biztosítják, hogy a gyep és a növények sötétzöldek, erősek és télállóak legyenek. Ez a magas minőségű táplálék közvetett hatással van a mohára és gyomokra. A szagtalan trágya granulátumok könnyen felszívódó nitrogénnel és káliummal (NPK 6-2-12) vannak gazdagítva. A tartós hatás (+100 nap) miatt elegendő tápanyag marad a fű jó regenerálódásához és egy erős, sűrű gyep kialakulásához, ahol a mohának és gyomoknak nincs esélyük, még a gyep fésülése után sem. Ennek eredményeként egy egészséges, erős gyep alakul ki, amely jobban ellenáll a kopásnak, aszálynak és fagyoknak. Az őszi trágya hatékonyságát gyakran alulértékelik. Azáltal, hogy a fű erősen és megkeményedve lép be a télbe, megelőzhetőek a tavaszi problémák.</p>"
gid://shopify/Collection/657054236996,legelo-mutragya,Legelő műtrágya,"<p>Az All-In-One Legelőtrágya a legjobb választás a lovak legelőjének optimális trágyázására. Kiválóan alkalmas a fűnyíró legelők és hobbi állatok legelőjének trágyázására is. Ez egy komplett, univerzális legelőtrágya higiénizált trágyán alapul, természetes ásványi anyagokkal és nyomelemekkel gazdagítva az egyenletes növekedés és az erős gyep érdekében. Az eredmény egy magas minőségű és ízletes fű/rostos anyag, valamint egy természetesen termékeny talaj.</p>"
gid://shopify/Collection/657054302532,vegan-novenyi-alapu-mutragya,Vegán növényi alapú műtrágya,"<p>A Vegán Növénytáp 100%-ban növényi alapú organikus trágya, amely teljesen mentes az állati nyersanyagoktól, például trágyától. Ez a professzionális trágya minden talajtípushoz alkalmas, és kiválóan használható ültetési és alaptrágyaként gyephez, virágágyásokhoz, zöldségkertekhez, gyümölcsösökhöz és szobanövényekhez. A Vegán Növénytáp nagyon jó talajaktiváló, amely serkenti a talajéletet. Magas szerves anyag tartalma miatt javítja a talajszerkezetet és a vízmegtartó képességet. Ezenkívül a vegán növénytáp elősegíti a termékeny talajéletet és biztosítja a természetes talajgazdagítást, hogy a talaj folyamatosan kiegyensúlyozott maradjon. A Vegán Növénytáp kedvező NPK aránnyal (6-3-2) rendelkezik, és különösen gazdag összetételű. A tápanyagokat a növények kiválóan felszívják, és adagolt módon bocsátják rendelkezésre. Ez a növényi trágya univerzálisan alkalmazható, kellemes illatú, és biztonságos emberek és állatok számára.</p>"
gid://shopify/Collection/657054335300,gyepmutragya-all-in-one,Gyepműtrágya All-In-One,"<p>A Gyeptrágya All-In-One a mélyzöld gyep létrehozására és fenntartására készült, mentesen a mohától és gyomoktól.</p>
<p>Ez egy magas minőségű organikus-minerális trágya, amely bármilyen típusú fű és talaj trágyázására alkalmas. Az extra magnézium jelenléte miatt minden gyep intenzíven zölddé válik. Új telepítésekhez és karbantartási trágyázáshoz egyaránt megfelelő. Az azonnali és lassú lebontású összetevők egyedülálló kombinációja gyors növekedést biztosít, valamint 100 napos teljes tápanyagellátást nyújt. A Gyeptrágya All-In-One pozitívan serkenti a talajéletet és növeli a természetes talajtermékenységet minden egyes alkalmazás során. Az eredmény egy egészséges, sűrű gyep, ahol nincs hely a mohának és gyomoknak.</p>
<p>A Gyeptrágya All-In-One magas káliumtartalmának köszönhetően erős gyepet biztosít, amely jobban ellenáll a kopásnak, aszálynak és fagyoknak. A trágya tavaszi és őszi alkalmazásra is kiváló, lehetővé téve a folyamatos gyeptrágyázást ugyanazzal a termékkel egész évben. A magas minőségű mikrogranulátum keverék fokozatos növekedést biztosít, serkenti az egészséges, erős gyepet, és javítja a talajt. A lassú lebontású granulátum gyors kezdeti hatást fejt ki, miközben tartós hatásokat biztosít.</p>
<p>A tápanyagok egyedi keveréke fokozatosan szabadul fel a talajélet által. A humusz, ásványi anyagok és nyomelemek képződése elősegíti a jobb gyökérfejlődést és megakadályozza a kimosódást. Ez a professzionális trágya ideálisan alkalmas gyepfelületekhez, sportpályákhoz és golfpályákhoz, ahol erős, sűrű gyepet kívánnak.</p>"
gid://shopify/Collection/657054368068,kerti-mutragya,Kerti műtrágya,"<p>A Kerttrágya All-In-One az optimális teljesítmény érdekében készült virágzó növények, cserjék, fák, rózsák, évelők, hagymások, gyümölcsfák, eper, gyümölcsök és gyökérzöldségek számára. Élvezze a finomabb gyümölcsöket, a gyönyörű növényeket, a mélyebb színeket és a több virágot. Javítja a talajszerkezetet és aktiválja a pozitív talajéletet. A magas káliumtartalom erős, ellenálló növényt biztosít. Ezen kívül ez a trágya extra gazdag magnéziumban, amely elősegíti az optimális fotoszintézist és a mélyebb színeket. A Kerttrágya All-In-One nem befolyásolja a talaj savasságát, így biztonságosan használható, és alkalmas savanyú talajt kedvelő növények számára. Ez a professzionális trágya univerzálisan alkalmazható minden zöldség- és díszkertben.</p>"
gid://shopify/Collection/657054499140,mesz-szemcses-mutragya,Mész szemcsés műtrágya,"<p>Ez az Organifer egyedülálló mésztrágya minden évszakra dúsított magnéziummal. Ideális a talaj savasodásának megakadályozására. Közvetve a mohát is visszaszorítja. A mész alkalmazása létfontosságú a pH-szint (savassági szint) korrigálásához a gyepben vagy a zöldségkertben. Minden növény számára rendkívül fontos, hogy a talaj megfelelő pH-értékkel rendelkezzen. A tápanyagok felvételével, amelyeket általában a kertbe és a gyepbe juttatnak, a talaj savassá válik. Az ""savkedvelő"" növényeken kívül ez semmiképpen sem ideális a termesztett növények és fűfélék egészséges növekedéséhez. A hozzáadott magnézium mély zöld színt biztosít, és hozzájárul az optimális fotoszintézishez és a talaj termékenységéhez.</p>"
gid://shopify/Collection/657054728516,lavako-por,Lávakő por,"<p>Az Organifer Primordial Rock Lavameal a legfinomabb minőségű ősi kőliszt a piacon. Ez egy egyedülálló lavameal, amely a legmagasabb koncentrációjú, felszívódó ásványi anyagokat és a legjobb feldolgozási képességeket kínálja. Széleskörűen felhasználható, tökéletes terítésre, szétszórásra vagy keverésre. Kertben széles körben használják talajjavítóként, és kiválóan védi a növényeket, például a tuját a kártevőktől. Ezenkívül ez a gazdag lavameal közvetetten harcol a zsurlóval és más gyomokkal is.</p>"
gid://shopify/Collection/657054826820,cserepes-novenyek-es-hidroponikus-termesztes,Cserepes Növények és Hidroponikus Termesztés,"<p>Az Organifer hidrogranulátumok egyaránt alkalmasak hidroponikus termesztésre és vízelvezető rétegként a virágcserepek és növénytartók alján. A hidrogranulátumok biztosítják a növények egészséges növekedését, valamint megfelelő támaszt nyújtanak a gyökerek számára. Ezért mindig egy réteg hidrogranulátumot helyezzen el a cserép alján, mielőtt feltölti azt ültetőközeggel.</p>
<p>A cserép méretétől függően 3–6 cm vastag réteg ajánlott az alján, amely javítja a cserép vízgazdálkodását, elősegítve a növények egészséges fejlődését. Kültéri cserepek esetében különösen fontos, hogy a cserép alján legyen vízelvezető nyílás, amely lehetővé teszi a felesleges víz elvezetését, megelőzve a gyökerek túlzott nedvesség okozta károsodását.</p>"
gid://shopify/Collection/657054892356,folyekony-tragya-a-novekedesi-fazisra,Folyékony Trágya a Növekedési Fázisra,"<p>Folyékony Trágya a Növekedési Fázisra - Amino Power egy teljes trágyázó, amely kifejezetten minden növény és termény növekedési fázisára (1. fázis) lett kifejlesztve. Ez a hatékony koncentrátum egyedülálló keveréket tartalmaz, amely alapvető aminosavakból és 9%-os organikus nitrogénből áll, amely enzimes hidrolízisen átesett fehérjékből származik. Az Organifer Amino Power 18 proteinogén aminosavat is tartalmaz.</p>
<p>A Folyékony Trágya a Növekedési Fázisra - Amino Power csökkenti az abiotikus stresszt, és biztosítja az optimális teljesítményt, egészséget és energiatakarékos növekedést.</p>
<p>A termék tengeri algákra alapozva készült, így gyorsan és könnyen felszívódik, elősegítve az egészséges, egyenletes növekedést és a jobb gyökérfejlődést. Az első lökést adja az egészséges, élénk növényhez és a teljes virágzáshoz.</p>
<p>A Folyékony Trágya a Növekedési Fázisra - Amino Power nagy sikerrel alkalmazható hidroponikus és szubsztrátos termesztésben, beltéri és kültéri termesztésben, mezőgazdaságban, valamint dísz- és haszonnövénykertekben. Ezen kívül a termék szobanövényekhez is alkalmas. A Folyékony Trágya a Növekedési Fázisra - Amino Power szerves kertészetben is használható, és univerzálisan alkalmazható minden növényre és terményre. A Folyékony Trágya a Növekedési Fázisra - Amino Power ideális a talajban vagy kókuszban történő szerves termesztéshez. Ezen kívül a termék korrigálja a növények nitrogén problémáit. A nitrogénhiány sárguló levelekkel ismerhető fel.</p>"
