ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,granuli-di-letame-di-mucca-3in1,Granuli di Letame di Mucca 3in1,"<p>I Granuli di Letame di Mucca 3in1 sono particolarmente adatti come fertilizzante di base per giardini ornamentali, bordure, prati, bulbi e tuberi, orti, rose, piante in vaso e alberi da frutto. I granuli migliorano la struttura del suolo e la capacità di trattenere l'umidità, favoriscono una vita nel suolo fertile e offrono un arricchimento naturale del suolo per mantenere il terreno costantemente in equilibrio. Si tratta di un fertilizzante versatile adatto a tutti i tipi di suolo e può essere utilizzato perfettamente come fertilizzante di base per prati, bordure, orti, pascoli e frutteti. Inoltre, i granuli possono essere utilizzati come attivatori del suolo grazie alla rapida stimolazione di una vita nel suolo positiva.</p>"
gid://shopify/Collection/657054204228,fertilizzante-autunnale,Fertilizzante Autunnale,"<p>Questo fertilizzante autunnale professionale è molto ricco di potassio e offre al prato, all'erba e alle piante una protezione extra contro il freddo invernale. Il fertilizzante aumenta la resistenza agli effetti diretti del gelo. Inoltre, ai granuli di fertilizzante sono stati aggiunti minerali e oligoelementi. I granuli di Fertilizzante Autunnale All-In-One assicurano che il vostro prato e le piante siano di un verde scuro, forti e resistenti all'inverno. Questo nutrimento di alta qualità ha un'azione indiretta su muschio e infestanti. I granuli di fertilizzante inodori sono arricchiti con azoto e potassio facilmente assorbibili (NPK 6-2-12). Grazie alla sua lunga azione (+100 giorni), ci sarà ancora abbastanza nutrimento per una buona ricrescita dell'erba dopo l'aerazione e per la formazione di un tappeto erboso forte e denso, dove muschio e infestanti non hanno più opportunità. Ciò risulta in un manto erboso sano e forte, più resistente al calpestio, alla siccità e al gelo. L'efficacia del fertilizzante autunnale è spesso sottovalutata. Facendo in modo che l'erba entri in inverno forte e indurita, si prevengono problemi in primavera.</p>"
gid://shopify/Collection/657054236996,fertilizzante-per-pascoli,Fertilizzante per Pascoli,"<p>Il Fertilizzante per Pascoli All-In-One è la scelta ottimale per la fertilizzazione di un pascolo per cavalli. È inoltre molto adatto per prati da sfalcio e pascolo per animali da hobby. Un fertilizzante per pascoli completo all-in-one a base di letame igienizzato e arricchito con minerali naturali e oligoelementi per una crescita uniforme e un prato robusto. Il risultato è erba/foraggio di alta qualità e gustoso e un terreno naturalmente fertile. La disponibilità graduale di azoto assicura che l'erba non subisca spurt di crescita e che il livello proteico rimanga al livello desiderato. I nutrienti di questo fertilizzante organico-minerale vengono rilasciati uniformemente su un periodo di 120 giorni. Il Fertilizzante per Pascoli All-In-One viene fornito come miscela di microgranuli, rendendolo quindi particolarmente adatto per il pascolo. Poiché la miscela di microgranuli penetra rapidamente nel terreno, l'assunzione da parte degli animali viene evitata. Cavalli e altri animali possono tornare rapidamente al pascolo dopo la fertilizzazione. L'equilibrata proporzione NPK, con fosforo e potassio facilmente assimilabili, garantisce la produzione di proteine di alta qualità. Un buon foraggio è la base di ogni dieta e favorisce la salute e le prestazioni dell'animale.</p>"
gid://shopify/Collection/657054302532,fertilizzante-vegetale-vegano,Fertilizzante Vegetale Vegano,"<p>Il Fertilizzante Vegetale Vegano è un fertilizzante organico 100% vegetale, completamente privo di materiali di origine animale come il letame. Questo fertilizzante professionale è adatto a tutti i tipi di suolo ed è particolarmente indicato come fertilizzante di base e per l'impianto di prati, bordure, orti, frutteti e piante da appartamento. Il Fertilizzante Vegetale Vegano è un eccellente attivatore del suolo e stimola la vita nel suolo. Il fertilizzante migliora la struttura del suolo e la capacità di trattenere l'umidità grazie all'alto contenuto di sostanza organica. Inoltre, il Fertilizzante Vegetale Vegano favorisce una vita nel suolo fertile e offre un arricchimento naturale del suolo per mantenere il terreno costantemente in equilibrio. I fertilizzanti Vegetali Vegani hanno un rapporto NPK favorevole (6-3-2) e una composizione particolarmente ricca. I nutrienti sono facilmente assimilabili dalle piante e vengono rilasciati in modo dosato. Questo fertilizzante vegetale è universalmente applicabile, ha un odore gradevole ed è sicuro per uomini e animali.</p>"
gid://shopify/Collection/657054335300,fertilizzante-per-prato-all-in-one,Fertilizzante per Prato All-In-One,"<p>Il Fertilizzante per Prato All-In-One è stato sviluppato per creare e mantenere un manto erboso profondamente verde, senza muschio e infestanti.</p>
<p>Un fertilizzante di alta qualità organico-minerale adatto alla fertilizzazione di ogni tipo di erba e suolo. Grazie alla presenza di magnesio extra, ogni manto erboso diventa intensamente verde. Adatto per nuovi impianti e per fertilizzazioni di manutenzione. L'unico abbinamento di componenti ad azione rapida e lenta permette un rapido inizio di crescita in combinazione con 100 giorni di nutrizione completa. Il Fertilizzante per Prato All-In-One stimola una vita nel suolo positiva e aumenta la fertilità naturale del suolo ad ogni applicazione. Il risultato è un manto erboso sano e denso, senza spazio per muschio e infestanti.</p>
<p>Il Fertilizzante per Prato All-In-One ha un alto contenuto di potassio per un manto erboso forte, più resistente al calpestio, alla siccità e al gelo. Il fertilizzante è eccellente sia in primavera che in autunno. Ciò permette di fertilizzare il prato con lo stesso prodotto tutto l'anno. La miscela di microgranuli di alta qualità assicura una crescita graduale, stimola un manto erboso sano e forte e migliora il suolo. Il granulo a rilascio lento ha un'azione di partenza rapida, mantenendo l'effetto a lungo termine.</p>
<p>L'unico mix di elementi nutritivi viene rilasciato gradualmente dalla vita del suolo. La formazione di humus, i minerali e gli oligoelementi favoriscono un migliore radicamento e prevengono il dilavamento. Questo fertilizzante professionale è particolarmente adatto per prati, campi sportivi e campi da golf dove è desiderato un manto erboso forte e denso.</p>"
gid://shopify/Collection/657054368068,fertilizzante-per-giardino,Fertilizzante per Giardino,"<p>Il Fertilizzante per Giardino All-in-One è stato sviluppato per prestazioni ottimali di piante fiorite, arbusti, alberi, rose, piante perenni, bulbi, alberi da frutto, fragole, ortaggi a frutto e a radice. Godetevi frutti più abbondanti e gustosi, piante più belle, colori più intensi e più fioriture. Migliora la struttura del suolo e attiva una vita nel suolo positiva. L'alto contenuto di potassio assicura una pianta forte e resistente. Inoltre, questo fertilizzante è particolarmente ricco di magnesio per una fotosintesi ottimale e colori più intensi. Il Fertilizzante per Giardino All-In-One non altera il pH del suolo. Ciò rende questo fertilizzante sicuro da utilizzare ed è adatto anche per piante che amano terreni acidi. Questo fertilizzante professionale è universalmente impiegabile in ogni orto e giardino ornamentale.</p>"
gid://shopify/Collection/657054499140,fertilizzante-granulare-di-calce,Fertilizzante Granulare di Calce,"<p>Questo unico fertilizzante calcareo per tutte le stagioni è ideale per contrastare l'acidificazione del suolo e ha inoltre un effetto indiretto contro il muschio. L'applicazione di calce è importante per correggere l'acidità (valore del pH) nel vostro prato o orto. Per ogni pianta è vitale che il terreno abbia il giusto valore di pH. A causa dell'assorbimento dei nutrienti che vengono normalmente aggiunti anche al giardino e al prato, il suolo si acidifica. Questo non è l'ideale per una buona e sana crescita delle colture e dell'erba, eccetto per le piante che amano l'acidità. Il magnesio presente assicura un colore verde intenso e contribuisce a un'ottimale fotosintesi e fertilità del suolo.</p>"
gid://shopify/Collection/657054728516,farina-di-lava,Farina di Lava,"<p>Organifer Farina di Lava Primordiale è la migliore qualità di farina di roccia primordiale disponibile sul mercato. È una farina di lava unica con la più alta concentrazione di minerali assimilabili e le migliori opzioni di lavorazione. È ampiamente versatile ed è ideale per essere diffusa, sparsa o miscelata. Viene comunemente utilizzata nei giardini per il miglioramento del terreno ed è particolarmente adatta per proteggere piante come il bosso dallo sfogliamento. Inoltre, questa ricca farina di lava ha un'azione indiretta contro l'equiseto e altre erbe infestanti.</p>"
gid://shopify/Collection/657054826820,piante-in-vaso-e-idroponica,Piante in vaso e idroponica,"<p>Le idro-granulati Organifer sono adatti sia per l'idrocoltura che come strato di drenaggio sul fondo di vasi e contenitori per piante. Gli idro-granulati favoriscono una crescita ottimale delle piante e forniscono supporto alle radici. Per questo motivo, quando riempi un vaso, è sempre consigliabile aggiungere prima uno strato di idro-granulati sul fondo. A seconda delle dimensioni del vaso, si può utilizzare uno strato di 3-6 cm. Questo migliora la gestione dell'acqua nel vaso e favorisce una crescita più sana delle piante.</p>
<p>Per i vasi da esterno, è fondamentale che sul fondo sia presente un foro di drenaggio, in modo da permettere all'acqua in eccesso di defluire correttamente.</p>"
gid://shopify/Collection/657054892356,fertilizzante-per-la-fase-di-crescita,Fertilizzante per la Fase di Crescita,"<p>Il Fertilizzante Liquido per la Fase di Crescita - Amino Power è un nutrimento completo specificamente formulato per la fase di crescita di ogni pianta e coltura (fase 1). Questo potente concentrato contiene una miscela unica di aminoacidi essenziali e contiene il 9% di azoto organico derivato da proteine idrolizzate enzimaticamente. Organifer Amino Power include anche una miscela unica di 18 aminoacidi proteinogenici.</p>
<p>Il Fertilizzante Liquido per la Fase di Crescita - Amino Power riduce lo stress abiotico e assicura prestazioni ottimali, salute e crescita efficiente dal punto di vista energetico.</p>
<p>Il prodotto è basato su alghe marine, rendendolo rapidamente e facilmente assimilabile per una crescita sana e uniforme e un migliore sviluppo radicale. Fornisce il primo impulso per la formazione di una pianta sana e forte e una fioritura abbondante.</p>
<p>Il Fertilizzante Liquido per la Fase di Crescita - Amino Power è utilizzato con grande successo in idroponica e coltivazione su substrato, ma anche da coltivatori interni ed esterni, in agricoltura e in giardini ornamentali e orti. Inoltre, il prodotto è adatto per piante da interno. Il Fertilizzante Liquido per la Fase di Crescita - Amino Power può essere usato anche per il giardinaggio biologico ed è universalmente applicabile a tutte le piante e colture. È particolarmente indicato per la coltivazione biologica su terra o cocco. Inoltre, il prodotto risolve i problemi di carenza di azoto nelle piante, riconoscibili dalle foglie gialle.</p>"
