ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,karviu-meslo-granules,Karvių mėšlo granulės,"<p>Karvių mėšlo granulės 3in1 puikiai tinka kaip sodinimo trąšos dekoratyviniams sodams, gėlių lysvėms, vejoms, svogūniniams ir šakniavaisiams augalams, daržovių sodams, rožėms, vazoniniams augalams ir vaismedžiams. Šios granulės pagerina dirvožemio struktūrą ir vandens sulaikymo gebą, skatina derlingą dirvožemio aplinką ir natūraliai praturtina dirvožemį, siekiant ilgalaikės pusiausvyros.</p>
<p>Tai universalios trąšos, tinkamos visų tipų dirvožemiams, kurios idealiai pritaikomos kaip sodinimo ir pagrindinės trąšos vejoms, gėlių lysvėms, daržovių sodams, pievoms ir sodams. Be to, granulės gali būti naudojamos kaip dirvožemio aktyvatorius, greitai stimuliuojant teigiamą dirvožemio veiklą.</p>"
gid://shopify/Collection/657054204228,rudens-trasos,Rudens trąšos,"<p>Profesionalios rudens trąšos yra labai turtingos kaliu ir suteikia papildomą apsaugą nuo šalto žiemos oro vejoms, žolei ir augalams. Trąšos padidina atsparumą tiesioginiam šalčio poveikiui. Be to, trąšų granulės yra praturtintos mineralais ir mikroelementais. Rudens trąšų „All-In-One“ granulės užtikrina, kad jūsų veja ir augalai būtų tamsiai žali, stiprūs ir atsparūs žiemai.</p>
<p>Ši aukštos kokybės mityba netiesiogiai veikia samanų ir piktžolių augimą. Bekvapės trąšų granulės yra praturtintos lengvai įsisavinamu azotu ir kaliu (NPK 6-2-12). Dėl ilgalaikio poveikio (+100 dienų) maistinių medžiagų užteks geram žolės ataugimui ir stiprios, tankios velėnos formavimuisi, kurioje samanoms ir piktžolėms nėra vietos, net ir po skarifikavimo.</p>
<p>Rezultatas – sveika, stipri veja, kuri geriau atlaiko dėvėjimąsi, sausrą ir šalčius. Rudens trąšų veiksmingumas dažnai yra nepakankamai įvertinamas. Užtikrinus, kad žolė įžengs į žiemą stipri ir sukietėjusi, išvengiama problemų pavasarį.</p>"
gid://shopify/Collection/657054236996,ganyklu-trasos,Ganyklų trąšos,"<p>All-In-On ganyklų trąšos yra geriausias pasirinkimas optimaliai arklių ganyklų tręšimui. Jos taip pat puikiai tinka šienaujamosioms ganykloms ir ganykloms, skirtoms mėgėjiškai auginamiems gyvuliams.</p>
<p>Tai visapusiškos „viskas viename“ ganyklų trąšos, pagamintos iš higenizuoto mėšlo, praturtinto natūraliais mineralais ir mikroelementais, kurie užtikrina tolygų augimą ir stiprią velėną. Rezultatas – aukštos kokybės ir skani žolė/pašaras bei natūraliai derlingas dirvožemis.</p>"
gid://shopify/Collection/657054302532,veganiskos-augalines-trasos,Veganiškos augalinės trąšos,"<p>Veganiškos augalinės trąšos yra 100% augalinės kilmės organinės trąšos, visiškai neturinčios gyvūninės kilmės žaliavų, tokių kaip mėšlas. Šios profesionalios trąšos tinka visų tipų dirvožemiams ir puikiai pritaikomos kaip sodinimo ir pagrindinės trąšos vejoms, gėlių lysvėms, daržovių sodams, sodams ir kambarinėms gėlėms.</p>
<p>Veganiškos augalinės trąšos yra puikus dirvožemio aktyvatorius, skatinantis dirvožemio gyvybingumą. Dėl didelio organinės medžiagos kiekio šios trąšos pagerina dirvožemio struktūrą ir drėgmės sulaikymą. Be to, šios trąšos užtikrina derlingą dirvožemio gyvybę ir natūralų dirvožemio praturtinimą, išlaikant nuolatinę pusiausvyrą.</p>
<p>Veganiškos augalinės trąšos turi palankų NPK santykį (6-3-2) ir ypač turtingą sudėtį. Maistinės medžiagos puikiai įsisavinamos augalų ir išsiskiria palaipsniui. Šios trąšos yra universaliai pritaikomos, turi malonų kvapą ir yra saugios žmonėms bei gyvūnams.</p>"
gid://shopify/Collection/657054335300,vejos-trasos-viskas-viename,Vejos trąšos viskas viename,"<p>Vejos trąšos „All-In-One“ sukurtos tam, kad būtų galima sukurti ir palaikyti sodriai žalią veją be samanų ir piktžolių.</p>
<p>Aukštos kokybės organinės-mineralinės trąšos, tinkamos tręšti bet kokio tipo žolę ir dirvožemį. Dėl papildomo magnio kiekio veja tampa intensyviai žalia. Tinka naujai įrengiamoms vejoms ir jų priežiūros tręšimui. Unikalus greitai veikiančių ir lėtai išsiskiriančių komponentų derinys užtikrina greitą augimo pradžią ir 100 dienų pilnavertę mitybą. Vejos trąšos „All-In-One“ teigiamai veikia dirvožemio mikroflorą ir kiekvieno panaudojimo metu padidina natūralų dirvožemio derlingumą. Rezultatas – sveika, tanki veja, kurioje nėra vietos samanoms ir piktžolėms.</p>
<p>Vejos trąšos „All-In-One“ pasižymi dideliu kalio kiekiu, kuris užtikrina stiprią veją, atsparią dėvėjimuisi, sausrai ir šalčiui. Trąšos puikiai tinka naudoti tiek pavasarį, tiek rudenį, leidžiant tręšti veją visus metus tuo pačiu produktu. Aukštos kokybės mikrogranulių mišinys užtikrina laipsnišką augimą, skatina sveiką, stiprią veją ir gerina dirvožemio būklę. Lėtai išsiskiriančios granulės užtikrina greitą poveikį ir ilgalaikį efektą.</p>
<p>Unikali maistinių medžiagų sudėtis palaipsniui išsiskiria dirvožemio mikrofloros dėka. Humuso, mineralų ir mikroelementų formavimasis skatina geresnį šaknų vystymąsi ir apsaugo nuo išplovimo. Šios profesionalios trąšos idealiai tinka vejoms, sporto aikštelėms ir golfo aikštynams, kur siekiama stiprios, tankios vejos.</p>"
gid://shopify/Collection/657054368068,sodo-trasos,Sodo trąšos,"<p>Sodo trąšos „All-In-One“ sukurtos tam, kad užtikrintų optimalų žydinčių augalų, krūmų, medžių, rožių, daugiamečių augalų, svogūninių augalų, vaismedžių, braškių, vaisinių ir šakniavaisių daržovių augimą. Mėgaukitės gausesniais ir skanesniais vaisiais, gražesniais augalais, ryškesnėmis spalvomis ir gausesniu žydėjimu.</p>
<p>Pagerina dirvožemio struktūrą ir aktyvuoja teigiamą dirvožemio gyvybę. Didelis kalio kiekis užtikrina stiprius ir atsparius augalus. Be to, šios trąšos yra ypač turtingos magniu, kuris skatina optimalią fotosintezę ir ryškesnes spalvas. Sodo trąšos „All-In-One“ nedaro įtakos dirvožemio rūgštingumui, todėl yra saugios naudoti ir tinkamos rūgštingumą mėgstantiems augalams.</p>
<p>Šios profesionalios trąšos yra universaliai pritaikomos kiekviename daržovių ir dekoratyviniame sode.</p>"
gid://shopify/Collection/657054499140,granuliuotos-kalkiu-trasos,Granuliuotos kalkių trąšos,"<p>Šios unikalios Organifer kalkių trąšos, praturtintos magniu, yra puikus pasirinkimas naudoti bet kuriuo metų laiku. Jos idealiai tinka apsaugoti dirvožemį nuo per didelio rūgštėjimo ir netiesiogiai veikia prieš samanų augimą. Kalkių naudojimas yra būtinas siekiant koreguoti dirvožemio rūgštingumo lygį (pH vertę) vejoje ar darže.</p>
<p>Kiekvienam augalui labai svarbu, kad dirvožemis turėtų tinkamą pH vertę. Dėl maistinių medžiagų, kurios paprastai tiekiamos sodui ir vejai, įsisavinimo dirvožemis rūgštėja. Išskyrus ""rūgštingumą mėgstančius"" augalus, tai nėra idealu geram ir sveikam auginamų augalų bei žolių augimui.</p>
<p>Pridėtas magnis užtikrina sodrią žalią spalvą ir prisideda prie optimalios fotosintezės bei dirvožemio derlingumo.</p>"
gid://shopify/Collection/657054728516,lavos-uolienu-milteliai,Lavos uolienų milteliai,"<p>Organifer Primordial Rock Lavameal – tai aukščiausios kokybės pirmykštės uolienos milteliai, siūlomi rinkoje. Šis unikalus lavos miltelis pasižymi didžiausia absorbuojamų mineralų koncentracija ir geriausiomis apdorojimo savybėmis. Dėl savo universalumo jis puikiai tinka barstyti, skleisti ar maišyti.</p>
<p>Šis produktas plačiai naudojamas soduose kaip dirvožemio gerintojas ir puikiai apsaugo augalus, pavyzdžiui, buksmedžius, nuo kenkėjų. Be to, šie turtingi lavos milteliai netiesiogiai padeda kovoti su asiūkliais ir kitomis piktžolėmis.</p>"
gid://shopify/Collection/657054826820,vazoniniai-augalai-ir-hidroponika,Vazoniniai augalai ir hidroponika,"<p>Organifer hidrogranulės tinka tiek hidroponikai, tiek kaip drenažo sluoksnis gėlių vazonų ir augalų konteinerių dugne. Hidrogranulės užtikrina gerą augalų augimą ir suteikia atramą šaknims. Todėl pildydami vazoną visada pirmiausia į jo dugną berkite hidrogranulių sluoksnį. Priklausomai nuo vazono dydžio, dugne galima naudoti 3–6 cm sluoksnį. Toks sluoksnis pagerina vandens valdymą vazone ir skatina geresnį augalų augimą. Lauko vazonams svarbu, kad dugne būtų anga, leidžianti pertekliniam vandeniui nutekėti.</p>"
gid://shopify/Collection/657054892356,skystos-trasos-augimo-fazeje,Skystos trąšos augimo fazėje,"<p>Skystos trąšos augimo fazei – „Amino Power“ yra visapusiškos trąšos, specialiai sukurtos kiekvieno augalo ir pasėlio augimo fazei (1 fazė). Šis galingas koncentratas turi unikalų būtinųjų amino rūgščių mišinį ir 9% organinio azoto, gaunamo iš fermentiniu būdu hidrolizuotų baltymų. Organifer Amino Power taip pat sudėtyje yra unikalus 18 baltymines amino rūgštis turintis mišinys.</p>
<p>Skystos trąšos augimo fazei – „Amino Power“ mažina abiotinį stresą ir užtikrina optimalų našumą, sveikatą bei energiją taupantį augimą.</p>
<p>Produktas yra pagamintas iš jūrų dumblių, todėl greitai ir lengvai įsisavinamas, skatinantis sveiką, tolygų augimą ir geresnį šaknų vystymąsi. Tai suteikia pradinį impulsą sveikam, stipriam augalui ir gausiam žydėjimui.</p>
<p>Skystos trąšos augimo fazei – „Amino Power“ sėkmingai naudojamos hidroponikoje ir substratų auginime, lauko ir vidaus augalininkystėje, žemės ūkyje, taip pat dekoratyviniuose ir naudingų augalų soduose. Be to, produktas taip pat tinka kambariniams augalams. Skystos trąšos augimo fazei – „Amino Power“ gali būti naudojamos ir ekologinėje sodininkystėje, yra universaliai pritaikomos visiems augalams ir pasėliams.</p>
<p>Šios trąšos idealiai tinka ekologiniam auginimui dirvožemyje arba kokoso substratuose. Be to, produktas padeda spręsti azoto problemas augaluose. Azoto trūkumas gali būti atpažįstamas pagal geltonuojančius lapus.</p>"
gid://shopify/Collection/657054925124,saknu-stimuliatorius,Šaknų stimuliatorius,"<p>Šaknų stimuliatorius – „Roots-Power-Concentrate“ yra itin koncentruotas organinis šaknų stimuliatorius. Šis stimuliatorius užtikrina greitą ir intensyvų šaknų vystymąsi bei greitą atsigavimą po persodinimo kiekvienam augalui. Be to, jis pagerina maistinių medžiagų įsisavinimą ir dirvožemio struktūrą. Puikiai tinka naudoti augimo fazėje ir pirmosiomis žydėjimo fazės savaitėmis. Stimuliatorius užtikrina, kad augalas jau žydėjimo fazės pradžioje turėtų pakankamai šaknų, todėl visą energiją galėtų skirti žydėjimui. Todėl „Roots-Power-Concentrate“ naudojimą reikėtų nutraukti po trečiosios žydėjimo savaitės.</p>
<p>Šaknų stimuliatorius – „Roots-Power-Concentrate“ skatina šaknų augimą ir didina augalų atsparumą. Jis veikia greitai ir efektyviai, o augalas jį beveik iš karto įsisavina.</p>
<p>„Roots-Power-Concentrate“ skatina stiprių augalų vystymąsi. Produktas idealiai tinka daigams ir persodinamiems augalams. Kai tik pasirodo pirmosios augalo šaknys, stimuliatorių galima pradėti naudoti. Produktas užtikrina geresnį ir greitesnį šaknų vystymąsi. „Roots-Power-Concentrate“ taip pat gali būti naudojamas augalams, kuriuos pažeidė šaknis graužiantys vabzdžiai, siekiant greitai atkurti šaknis.</p>
<p>Šio galingo organinio koncentrato poveikis yra stulbinantis. Šis atgaivinantis skystis užtikrina greitesnį ir geresnį šaknų vystymąsi, didesnį deguonies įsisavinimą bei spartesnį jonų pernašą nuo pat pradžios.</p>"
gid://shopify/Collection/657054957892,skystos-trasos-zydejimo-fazei,Skystos trąšos žydėjimo fazei,"<p>Skystos trąšos žydėjimo fazei – „Iron Power“ yra itin koncentruotas, visapusiškas maisto medžiagų kompleksas, skirtas augalų žydėjimo fazei. Šios trąšos aprūpina visais svarbiais elementais, reikalingais optimaliam pumpurų, žiedų, vaisių ir augalų vystymuisi. Tiesioginė energijos tiekimo sistema papildant Adenozino difosfatą (ADP) Adenozino trifosfatu (ATP) užtikrina energijos prieinamumą. „Iron Power“ stimuliuoja žydėjimo fazę fosforu (P) ir kaliu (K). Dėl unikalios chelatinės geležies (Fe) formos augalas neeikvoja energijos geležies pasisavinimui, todėl visa energija skiriama žydėjimui. Be to, „Iron Power“ palaiko sveikus ir žalius lapus.</p>
<p>Skystos trąšos žydėjimo fazei – „Iron Power“ yra koncentruotos lapų ir šaknų trąšos, naudojamos augimo fazės pabaigoje ir pirmąsias tris žydėjimo fazės savaites. Šiose trąšose yra natūralių hormonų, skatinančių žydėjimą ir augimą, jos padidina citokininų ir chlorofilo kiekį lapuose. Tai taip pat padidina cukraus lygį ir skatina chlorofilo gamybą. Šios trąšos didina augalų atsparumą, augalas formuoja daugiau ūglių ir žiedų, dėl to tampa stipresnis, gausiau žydi ir duoda didesnį derlių.</p>
<p>Skystos trąšos žydėjimo fazei – „Iron Power“ sėkmingai naudojamos hidroponikoje ir substratų auginime, tiek lauke, tiek viduje, žemės ūkyje, golfo ir sporto aikštelėse, dekoratyviniuose ir daržovių soduose bei kambariniams augalams. „Iron Power“ didina derlių ir užtikrina aukštesnę kokybę, intensyvesnį skonį, ryškesnes spalvas bei stipresnius vaisius visose kultūrose.</p>"
gid://shopify/Collection/657054990660,buxus-vital-koncentratas,Buxus Vital koncentratas,"<p>Buksmedžių stiprinimo koncentratas padeda buksmedžiams tapti atsparesniais ir gyvybingesniais visiškai natūraliu būdu. Tai lemia stipresnius ir sveikesnius buksmedžius, augančius subalansuotai ir harmoningai. Be to, tvirti ir gyvybingi buksmedžiai geriau apsisaugo nuo vabzdžių, tokių kaip buksmedžių kandis, ir ligų, tokių kaip buksmedžių grybelis. Buksmedžių stiprinimo koncentratas yra ypač efektyvus, stimuliuojantis ir maitinantis produktas, tinkantis kiekvienam buksmedžiui.</p>
<p>Koncentratas sudarytas iš specifinių, natūralių augalinių ekstraktų ir yra saugus žmonėms, gyvūnams ir aplinkai. Buksmedžių stiprinimo koncentratas 1000 ml lėtai įsisavinamas per augalą ir šaknis, o paskui paskirstomas per sulo tėkmę, suteikdamas visam buksmedžiui atsparumo ir gyvybingumo.</p>
<p>Buksmedžių stiprinimo koncentratas gali būti naudojamas tiek dirvožemyje, tiek vazonuose, palaistant augalą ir žemę. Tirpalas įsigeria į dirvą ir augalo šaknis. Rekomenduojama naudoti augimo sezono metu ir kartoti kas 3 savaites. Užpilkite Buksmedžių stiprinimo koncentrato tirpalą ant viso augalo, kol jis taps visiškai drėgnas. Esant užkrėtimo požymiams ar gausiems krituliams, sumažinkite intervalą tarp naudojimo.</p>"
gid://shopify/Collection/657055023428,sraigiu-prevencijos-koncentratas,Sraigių prevencijos koncentratas,"<p>Sraigių prevencijos koncentratas yra tinkamas naudoti esant dideliam sraigių, vikšrų, laukinių gyvūnų bei paukščių daromos žalos lygiui. Idealiai tinka žemės ūkiui, dekoratyviniams ir virtuvės sodams, vazonams, vejoms, žolės paviršiams, sporto aikštelėms ir golfo aikštynams. Sraigių prevencijos koncentratas susideda iš labai koncentruotos specifinių augalinių ekstraktų sudėties.</p>
<p>Produktas yra augalinės kilmės. Jis yra netoksiškas, nesikaupia aplinkoje ir nepalieka jokių likučių. Sraigių prevencijos koncentratas suteikia netiesioginį atbaidantį poveikį sraigėms, vikšrams, laukiniams gyvūnams ir paukščiams. Produktas skatina augalo natūralaus atsigavimo gebėjimus, maitina ir stiprina augalus.</p>
<p>Sraigių prevencijos koncentratas specialiai sukurtas, siekiant užkirsti kelią sraigių, vikšrų, laukinių gyvūnų ir paukščių daromai žalai, tačiau jų nenaikina. Produktas yra 100% natūralus ir neturi kenksmingų medžiagų. Taip pat jis yra saugus vaikams, augintiniams ir naudingiems sodo gyventojams.</p>
<p>Natūralūs augaliniai ekstraktai įsigeria į dirvožemį ir augalus, didindami jų atsparumą maitinimuisi. Kenkėjai nustoja maitintis apdorotais augalais dėl nepatrauklios aplinkos. Kenkėjai pasitraukia į slėptuves ir nebegali toliau daugintis. Tokiu būdu problema natūraliai mažėja.</p>
<p>Tinka ekologiškiems sodams. Saugus žmonėms, gyvūnams ir aplinkai. Saugus natūraliems plėšrūnams, augintiniams ir naudingiems vabzdžiams!</p>"
gid://shopify/Collection/657055121732,fitoftoros-koncentratas,Fitoftoros koncentratas,"<p>Fitoftoros koncentratas yra pagamintas iš specialiai aktyvių augalų koncentratų ir yra saugus žmonėms, gyvūnams bei aplinkai. Šis produktas palaiko natūralius atsigavimo gebėjimus. Be to, jis maitina, stiprina augalus ir apsaugo juos nuo išorinių poveikių dirvožemyje bei šaknų zonoje. Jis netiesiogiai veikia prieš fitoftorą bulvėse ir pomidoruose.</p>
<p>Tirpalas įsisavinamas per augalo lapus ir stiprina jo apsaugos sistemą. Fitoftoros vystymasis yra slopinamas ir užkertamas kelias jos plitimui.</p>"
gid://shopify/Collection/657055154500,nematodu-koncentratas,Nematodų koncentratas,"<p>Natūraliai apsaugo augalus nuo įvairių kenksmingų dirvožemio nematodų, tokių kaip šaknų gumbų nematodai (sukeliantys rožių nuovargį), įvairūs neigiami šaknų nematodai, bulvių cistų nematodai ir runkelių cistų nematodai.</p>
<p>Produktas yra koncentruota specialiai veikiančių augalinių ekstraktų sudėtis, netoksiška žmonėms, gyvūnams ir aplinkai. Produktas nėra ilgalaikis – jis natūraliai suyra dirvožemyje ir nepalieka jokių likučių.</p>
<p>Nematodų koncentratas – dirvožemio nematodų sprendimas veikia prevenciškai prieš dirvožemio kenkėjus. Medžiaga yra įsisavinama augalų šaknų, leidžiant joms sukurti savo gynybos sistemą. Parazitiniai nematodai nustoja maitintis šaknimis. Dėl to jų populiacija mažėja, o laikui bėgant problema visiškai išnyksta.</p>"
gid://shopify/Collection/657055220036,dirvozemio-grybu-koncentratas,Dirvožemio grybų koncentratas,"<p>Dirvožemio grybų koncentratas yra itin koncentruotas specialiai veikiančių augalinių ekstraktų mišinys, kuris veikia prevenciškai prieš dirvožemio grybus, tokius kaip verticilijos (vytulys), pitijos (daigų liga) ir fuzarijos (šaknų bei stiebo puvinys). Produktas palaiko natūralų atsigavimo gebėjimą, suteikia priežiūrą, mitybą ir stiprina augalus nuo išorinių poveikių dirvožemyje bei šaknų zonoje. Dirvožemio grybų koncentratas yra natūralios ir augalinės kilmės, netoksiškas žmonėms, gyvūnams ir aplinkai.</p>
<p>Patvirtintas naudoti ekologiškame ir ekologiniame sodininkavime. Dirvožemio grybų koncentratas yra įsisavinamas per augalo lapus ir dirvožemį. Dėl šaknų stimuliuojančių ir augalą puoselėjančių sudedamųjų dalių šaknys, lapai ir dirvožemis įgauna didesnį atsparumą bei sukuria savąją apsaugos sistemą. Produkto sudedamosios dalys, be dirvožemio gerinimo ir augalų stiprinimo, netiesiogiai veikia kenksmingus dirvožemio grybus.</p>"
gid://shopify/Collection/657055252804,zoles-vabzdziu-koncentratas,Žolės vabzdžių koncentratas,"<p>Žolės vabzdžių koncentratas turi netiesioginį atbaidantį poveikį karkvabalių lervų (tokių kaip gegužinis karkvabalis, birželis karkvabalis, auksavabalis, salandinis vabalas ir kt.), gervinių lervų (gervės musės lervų) ir juodaskruosčio musės lervų buvimui žolėje. Žolės vabzdžių koncentratas yra įsisavinamas tiek per žolės šaknį, tiek per lapą. Jis padidina žolės atsparumą, leisdamas augalui sukurti savo gynybos mechanizmą. Teigiamai veikiamas ir dirvožemis – stimuliuojamos augalo šaknys, skatinant sveiką žolės augimą. Karkvabalių lervos, gervinės lervos ir kiti kenksmingi kenkėjai vengia šių augalų. Šios šaknys ir lapai tampa nepatrauklūs kenkėjams. Profilaktiškai naudojant, gervinių lervos, karkvabalių lervos ir juodaskruosčių musių lervos nepasieks lėliukės stadijos.</p>
<p>Žolė tampa sveikesnė, šaknys vėl auga ir tampa mažiau patrauklios kenkėjams. Žolės vabzdžių koncentratas yra specialiai sukurtas karkvabalių, gervinių lervų ir juodaskruosčių musių lervų problemai spręsti vejose, pievose ir sporto aikštelėse. Produktas sudarytas iš specialiai aktyvių augalų ekstraktų ir netiesiogiai veikia prevenciškai, atbaidydamas dirvožemio vabzdžius. Jis palaiko natūralius atsigavimo gebėjimus, prižiūri, maitina ir stiprina augalus nuo išorinių veiksnių dirvožemyje ir šaknų zonoje. Žolės vabzdžių koncentratas yra natūralios ir augalinės kilmės, netoksiškas žmonėms, gyvūnams ir aplinkai, tinkamas ekologiškai sodininkystei.</p>"
