ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,verrijkte-premium-koemestkorrels,Koemestkorrels 3in1,"<p>Koemestkorrels 3in1 zijn uitermate geschikt als aanlegmeststof voor siertuin, border, gazon, bol- en knolgewassen, moestuin, rozen, potplanten en fruitbomen. De korrels verbeteren de bodemstructuur en het vochtvasthoudend vermogen, maken vruchtbaar bodemleven mogelijk en voorzien in een natuurlijke verrijking van de bodem om de grond aanhoudend in evenwicht te houden. Het betreft een allround-meststof die geschikt is voor alle grondsoorten en perfect kan worden gebruikt als aanleg- en basismeststof voor gazon, border, moestuin, weide en boomgaard. Bovendien zijn de korrels inzetbaar als bodemactivator door snelle stimulering van positief bodemleven.</p>"
gid://shopify/Collection/657054204228,najaarsmest,Najaarsmest,"<p>Deze professionele najaarsmeststof is zeer rijk aan kalium en geeft het gazon, gras en planten extra bescherming tegen de koude winter. De meststof verhoogt de weerstand tegen de directe invloeden van de vorst. Bovendien zijn aan de mestkorrels mineralen en spoorelementen toegevoegd. Najaarsmest All-In-One-mestkorrels zorgen ervoor dat uw gazon en planten donkergroen, sterk en winterhard zijn. Deze hoogwaardige voeding heeft een indirecte werking op mos en onkruid. De geurloze mestkorrels zijn verrijkt met goed opneembare stikstof en kalium (NPK 6-2-12). Dankzij de lange werking (+100 dagen) zal er ook na het verticuteren nog voldoende voeding zijn voor een goede hergroei van het gras en voor de vorming van een sterke, dichte zode waarin mos en onkruid geen kans meer krijgen. Dit resulteert in een gezonde sterke grasmat die beter bestand is tegen betreding, droogte en vorst. De werking van najaarsmest wordt vaak onderschat. Door te zorgen dat gras sterk en afgehard de winter in gaat, worden problemen in het voorjaar voorkomen.</p>"
gid://shopify/Collection/657054236996,weide-meststoffen-paardenweide,Weidemest,"<p>Weidemeststof All-In-One is de keuze voor de optimale bemesting van een paardenweide. Tevens zeer geschikt voor maai- en graasweide van hobbyvee. Een complete all-in-one-weidemeststof op basis van gehygiëniseerde mest en verrijkt met natuurlijke mineralen en spoorelementen voor een gelijkmatige groei en sterke grasmat. Met als resultaat hoogwaardig en smakelijk gras/ruwvoer en een van nature vruchtbare bodem. De geleidelijke stikstofbeschikbaarheid zorgt ervoor dat het gras geen groeispurt krijgt en het eiwitgehalte op gewenst niveau blijft. De voedingstoffen van deze organisch-minerale meststof worden gelijkmatig vrijgegeven over een periode van 120 dagen. Weidemeststof All-In-One wordt geleverd als microgranulaatblend en is hierdoor bij uitstek geschikt voor de graasweide. Doordat de microgranulaatblend snel in de bodem trekt, wordt opname door dieren voorkomen. Paarden en andere dieren kunnen na de bemesting snel terugkeren naar de weide. De evenwichtige NPK-verhouding, met goed opneembare fosfor en kalium, zorgt voor de productie van hoogwaardige eiwitten. Goed ruwvoer is de basis van ieder rantsoen en bevordert de gezondheid en prestaties van het dier.</p>"
gid://shopify/Collection/657054302532,vegan-plantaardige-meststof,Vegan Plantaardige Meststof,"<p>Vegan Plantaardige Meststof is een 100% plantaardige organische meststof die volledig vrij is van dierlijke grondstoffen zoals mest. Deze professionele meststof is geschikt voor alle grondsoorten en uitermate geschikt als aanleg- en basismeststof voor gazon, border, moestuin, boomgaard en kamerplanten. Vegan Plantaardige Meststof is een zeer goede bodemactivator en stimuleert het bodemleven. De meststof verbetert de bodemstructuur en het vochtvasthoudend vermogen door het hoge organisch stofgehalte. Daarnaast maakt Vegan Plantaardige Meststof vruchtbaar bodemleven mogelijk en voorziet de stof in een natuurlijke verrijking van de bodem om de grond aanhoudend in evenwicht te houden. De plantaardige Vegan Plantaardige Meststof hebben een gunstige NPK-verhouding (6-3-2) en een extra rijke samenstelling. De voedingstoffen zijn uitstekend plant opneembaar en komen gedoseerd vrij. Deze plantaardige meststof is universeel inzetbaar, heeft een aangename geur en is veilig voor mens en dier.</p>"
gid://shopify/Collection/657054335300,gazonmest-all-in-one,Gazonmest All-In-One,"<p>Gazonmest All-In-One is ontwikkeld voor het creëren en onderhouden van een diepgroene grasmat zonder mos en onkruid.</p>
<p>Een hoogwaardige organisch-minerale meststof geschikt voor de bemesting van elk type gras en bodem. Door de aanwezigheid van extra magnesium kleurt iedere grasmat intens groen. Geschikt voor nieuwe aanleg en voor onderhoudsbemestingen. De unieke combinatie met zowel snelwerkende als traagwerkende bestanddelen maakt een snelle groeistart mogelijk in combinatie met 100 dagen complete voeding. Gazonmest All-In-One stimuleert positief bodemleven en verhoogt de natuurlijke bodemvruchtbaarheid bij iedere gift. Met als resultaat een gezonde, dichte grasmat waarin geen ruimte is voor mos en onkruid.</p>
<p>Gazonmest All-In-One heeft een hoog kaliumgehalte voor een sterke grasmat die beter bestand is tegen betreding, droogte en vorst. De mest is zowel in het voorjaar als het najaar uitstekend toe te passen. Hierdoor kan er met dezelfde meststof het gehele jaar het gazon bemest worden. De hoogwaardige microgranulaatblend zorgt voor een geleidelijke groei, stimuleert een gezonde sterke grasmat en verbetert de bodem. De slow-release korrel heeft een snelle startwerking, met behoud van de langdurige werking.</p>
<p>De unieke mix van voedingselementen wordt geleidelijk vrijgesteld door het bodemleven. De humusvorming, mineralen spoorelementen zorgen voor betere worteling en voorkomen uitspoeling. Deze professionele meststof is bij uitstek geschikt voor gazons, sportvelden en golfbanen waar een sterke dichte grasmat gewenst is.</p>"
gid://shopify/Collection/657054368068,tuinmest-siertuin-moestuin-gewassen-meststoffen,Tuinmest,"<p>Tuinmest All-in-One is ontwikkeld voor optimale prestaties van bloeiende planten, heesters, bomen, rozen, vaste planten, bollen, fruitbomen, aardbeien, vrucht- en knolgroenten. Geniet van meer en lekkerdere vruchten, mooiere planten, diepere kleuren en meer bloemen. Verbetert de bodemstructuur en activeert positief bodemleven. Het hoge kaliumgehalte zorgt voor een sterke, weerbare plant. Daarnaast is deze meststof extra rijk aan magnesium voor optimale fotosynthese en diepere kleuren. Tuinmest All-In-One heeft geen invloed op de zuurgraad van de grond. Hierdoor is deze meststof veilig inzetbaar en ook geschikt voor zuurminnende planten. Deze professionele meststof is universeel inzetbaar in iedere moestuin en siertuin.</p>"
gid://shopify/Collection/657054499140,kalkmeststof,Kalk Korrel Meststof,"<p>Deze unieke 4-seizoenen kalkmeststof is ideaal om de verzuring van uw grond tegen te gaan en met bovendien een indirecte werking tegen mos. Toediening van kalk is belangrijk voor een correctie van de zuurgraad (pH-waarde) in uw gazon of moestuin. Voor iedere plant is het van levensbelang dat de bodem de juiste pH-waarde heeft. Door de opname van voedingsstoffen die gewoonlijk ook aan tuin en gazon worden toegevoegd, verzuurt de grond. Behalve voor de ‘zuurminnende’ planten, is dit verre van ideaal voor een goede en gezonde groei van gewassen en grassen. De aanwezige magnesium zorgt voor een diepgroene kleur en draagt bij aan optimale fotosynthese en bodemvruchtbaarheid.</p>"
gid://shopify/Collection/657054728516,lavameel-organifer,Lavameel,"<p>Organifer Oergesteentemeel Lavameel is de beste kwaliteit oergesteentemeel op de markt. Het is uniek lavameel met de hoogste concentratie aan opneembare mineralen en de beste verwerkingsmogelijkheden. Het is breed inzetbaar en ideaal om te verspreiden, te strooien of te mengen. Veel gebruikt in tuinen als bodemverbetering en uitstekend geschikt om planten, zoals buxus, te beschermen tegen vraat. Bovendien heeft dit rijke lavameel een indirecte werking tegen heermoes en andere onkruiden.</p>"
gid://shopify/Collection/657054826820,potplanten-en-hydrocultuur,Potplanten en hydrocultuur,"<p>Organifer Hydrokorrels zijn geschikt voor hydrocultuur en als drainagelaag onderin bloempotten en plantenbakken. Hydrokorrels zorgen ervoor dat je planten goed groeien en geven de wortels houvast. Breng daarom als u een pot gaat vullen altijd eerst een laagje hydrokorrels aan onderin de pot. Afhankelijk van de grootte van de pot kan een laagje van 3-6 cm op de bodem worden gebruikt. Een dergelijke laag zorgt voor een betere waterhuishouding in de pot. En daardoor kan de plant weer beter groeien. Voor buitenpotten is het belangrijk dat er onderin de pot een gat zit, zodat overtollig water uit de pot weg kan lopen.</p>"
gid://shopify/Collection/657054892356,meststof-voor-groeifase,Meststof voor Groeifase,"<p>Vloeibare Meststof voor Groeifase – Amino Power is een complete voeding speciaal voor de groeifase van iedere plant en elk gewas (fase 1). Dit krachtige concentraat bevat een unieke mix met essentiële aminozuren en bevat 9% organisch stikstof van enzymatische gehydrolyseerde eiwitten. Organifer Amino Power bevat daarnaast een unieke mix met 18 proteïnogene aminozuren.</p>
<p>Vloeibare Meststof voor Groeifase – Amino Power reduceert abiotische stress en zorgt voor optimale prestaties, gezondheid en energie-efficiënte groei.</p>
<p>Het product heeft een basis van zeealgen en is daardoor snel en goed opneembaar voor een gezonde gelijkmatige groei, en een betere wortelontwikkeling. Het geeft een eerste aanzet tot het ontstaan van een gezonde sterke plant en volle bloei.</p>
<p>Vloeibare Meststof voor Groeifase – Amino Power wordt met veel succes gebruikt in hydrocultuur en substraatteelt, maar ook door binnen- en buitenkwekers, in de landbouw en in sier- en moestuinen. Daarnaast is het product geschikt voor binnenplanten. Vloeibare Meststof voor Groeifase – Amino Power kan ook worden gebruikt voor biologisch tuinieren en is universeel toe te passen op alle planten en gewassen. Vloeibare Meststof voor Groeifase – Amino Power is zeer geschikt voor biologisch kweken op grond of kokos. Daarnaast verhelpt het product stikstofproblemen bij uw planten. Een stikstofgebrek is te herkennen aan gele bladeren.</p>"
