ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,granulki-z-obornika-krowiego-3w1,Granulki z obornika krowiego 3w1,"<p>Granulki z obornika krowiego 3w1 są wyjątkowo odpowiednie jako nawóz podstawowy do zakładania ogrodu ozdobnego, rabat, trawników, cebul i bulw, ogrodów warzywnych, róż, roślin doniczkowych i drzew owocowych. Granulki poprawiają strukturę gleby i zdolność do zatrzymywania wilgoci, umożliwiają życie płodnego życia glebowego i dostarczają naturalnych składników odżywczych dla gleby, utrzymując ją w równowadze. Jest to uniwersalny nawóz odpowiedni do wszystkich rodzajów gleby, doskonały jako nawóz podstawowy do zakładania trawników, rabat, ogrodów warzywnych, łąk i sadów. Ponadto granulki można stosować jako aktywator gleby, szybko stymulując pozytywne życie glebowe.</p>"
gid://shopify/Collection/657054204228,nawoz-jesienny,Nawóz jesienny,"<p>Ten profesjonalny nawóz jesienny jest bardzo bogaty w potas i zapewnia trawnikowi, trawie oraz roślinom dodatkową ochronę przed zimnem. Nawóz zwiększa odporność na bezpośrednie wpływy mrozu. Ponadto do granulek nawozu dodane są minerały i mikroelementy. Nawóz jesienny All-In-One zapewnia, że trawnik i rośliny są ciemnozielone, silne i odporne na zimę. Ta wysokiej jakości żywność działa pośrednio na mech i chwasty. Bezzapachowe granulki nawozu są wzbogacone o łatwo przyswajalny azot i potas (NPK 6-2-12). Dzięki długiemu działaniu (+100 dni) nawet po wertykulacji będzie wystarczająco dużo pożywienia dla dobrej regeneracji trawy oraz tworzenia silnej, gęstej darńi, w której mech i chwasty nie będą miały szans. Rezultatem jest zdrowa, silna murawa, lepiej odporna na deptanie, suszę i mróz. Skuteczność nawozu jesiennego jest często niedoceniana. Zapewniając, że trawa wchodzi w zimę silna i stwardniała, zapobiega się problemom na wiosnę.</p>"
gid://shopify/Collection/657054236996,nawoz-pastwiskowy,Nawóz Pastwiskowy,"<p>Nawóz Pastwiskowy All-In-One to idealny wybór dla optymalnego nawożenia pastwiska dla koni. Jest także bardzo odpowiedni dla pastwisk do koszenia i wypasu dla zwierząt hodowlanych. Kompletny, wszechstronny nawóz pastwiskowy na bazie higienizowanego obornika, wzbogacony naturalnymi minerałami i mikroelementami dla równomiernego wzrostu i mocnej darni. Jako wynik otrzymujemy wysokiej jakości i smaczną trawę/paszę oraz naturalnie żyzną glebę. Stopniowe uwalnianie azotu zapobiega nagłym wzrostom trawy i utrzymuje poziom białka na odpowiednim poziomie. Składniki odżywcze tego organiczno-mineralnego nawozu są równomiernie uwalniane przez okres 120 dni. Nawóz Pastwiskowy All-In-One jest dostarczany jako mieszanka mikrogranulatu, co czyni go idealnym dla pastwisk. Ponieważ mieszanka mikrogranulatu szybko wnika w glebę, unika się jej spożycia przez zwierzęta. Konie i inne zwierzęta mogą szybko wrócić na pastwisko po nawożeniu. Zrównoważony stosunek NPK, z łatwo przyswajalnym fosforem i potasem, sprzyja produkcji wysokiej jakości białka. Dobra pasza jest podstawą każdej diety i sprzyja zdrowiu oraz osiągom zwierząt.</p>"
gid://shopify/Collection/657054302532,weganski-nawoz-roslinny,Wegański Nawóz Roślinny,"<p>Wegański Nawóz Roślinny to 100% roślinny nawóz organiczny, wolny od składników pochodzenia zwierzęcego, takich jak obornik. Ten profesjonalny nawóz nadaje się do wszystkich rodzajów gleby i jest szczególnie odpowiedni jako nawóz podstawowy do zakładania trawników, rabat, ogrodów warzywnych, sadów i roślin doniczkowych. Wegański Nawóz Roślinny to doskonały aktywator gleby, stymulujący życie glebowe. Nawóz ten poprawia strukturę gleby i zdolność do zatrzymywania wilgoci dzięki wysokiej zawartości substancji organicznej. Ponadto Wegański Nawóz Roślinny umożliwia życie płodnego życia glebowego i dostarcza naturalnych składników odżywczych dla gleby, utrzymując ją w równowadze. Roślinny Wegański Nawóz Roślinny ma korzystny stosunek NPK (6-3-2) i jest szczególnie bogaty w składniki. Składniki odżywcze są doskonale przyswajalne przez rośliny i uwalniane dawkowo. Ten roślinny nawóz jest uniwersalny w użyciu, ma przyjemny zapach i jest bezpieczny dla ludzi i zwierząt.</p>"
gid://shopify/Collection/657054335300,nawoz-do-trawnika-all-in-one,Nawóz do trawnika All-In-One,"<p>Nawóz do trawnika All-In-One został opracowany do tworzenia i utrzymania głębokozielonej murawy bez mchu i chwastów.</p>
<p>Jest to wysokiej jakości nawóz organiczno-mineralny, odpowiedni do nawożenia każdego typu trawy i gleby. Obecność dodatkowego magnezu sprawia, że każda murawa staje się intensywnie zielona. Nadaje się zarówno do nowych nasadzeń, jak i do nawożeń pielęgnacyjnych. Unikalne połączenie składników szybko działających i wolno uwalniających umożliwia szybki start wzrostu w połączeniu ze 100 dni kompleksowego odżywienia. Nawóz do trawnika All-In-One stymuluje pozytywne życie glebowe i zwiększa naturalną płodność gleby przy każdym zastosowaniu. Efektem jest zdrowa, gęsta murawa, w której nie ma miejsca na mech i chwasty.</p>
<p>Nawóz do trawnika All-In-One zawiera wysoką zawartość potasu dla silnej murawy, lepiej odporną na deptanie, suszę i mróz. Nawóz jest doskonale stosowany zarówno wiosną, jak i jesienią. Umożliwia to nawożenie trawnika tym samym nawozem przez cały rok. Wysokiej jakości mieszanka mikrogranulatu zapewnia stopniowy wzrost, stymuluje zdrową, silną murawę i poprawia glebę. Granulki slow-release zapewniają szybki start działania przy zachowaniu długotrwałego efektu.</p>
<p>Unikalna mieszanka składników odżywczych jest stopniowo uwalniana przez życie glebowe. Tworzenie humusu, minerały i mikroelementy sprzyjają lepszemu ukorzenieniu i zapobiegają wymywaniu. Ten profesjonalny nawóz jest szczególnie odpowiedni dla trawników, pól sportowych i pól golfowych, gdzie wymagana jest silna, gęsta murawa.</p>"
gid://shopify/Collection/657054368068,nawoz-ogrodowy,Nawóz ogrodowy,"<p>Nawóz ogrodowy All-in-One został opracowany, aby zapewnić optymalną wydajność kwitnących roślin, krzewów, drzew, róż, bylin, cebul, drzew owocowych, truskawek, warzyw owocowych i bulwiastych. Ciesz się większą ilością i smaczniejszymi owocami, piękniejszymi roślinami, głębszymi kolorami i większą ilością kwiatów. Poprawia strukturę gleby i aktywuje pozytywne życie glebowe. Wysoka zawartość potasu zapewnia silną, odporną roślinę. Ponadto, ten nawóz jest szczególnie bogaty w magnez, zapewniając optymalną fotosyntezę i głębsze kolory. Nawóz ogrodowy All-In-One nie wpływa na kwasowość gleby. Dzięki temu nawóz ten jest bezpieczny w użyciu i odpowiedni również dla roślin kwasolubnych. Ten profesjonalny nawóz jest uniwersalnie stosowany w każdym ogrodzie warzywnym i ozdobnym.</p>"
gid://shopify/Collection/657054499140,nawoz-w-granulkach-wapiennych,Nawóz w Granulkach Wapiennych,"<p>Ten unikalny nawóz wapienny na cztery pory roku jest idealny do zwalczania zakwaszenia gleby, a także pośrednio działa przeciwko mchowi. Stosowanie wapna jest ważne dla korekty kwasowości (wartości pH) w Twoim trawniku lub ogrodzie warzywnym. Dla każdej rośliny istotne jest, aby gleba miała odpowiednią wartość pH. W wyniku pobierania składników odżywczych, które zazwyczaj są również dodawane do ogrodu i trawnika, gleba zakwasza się. Poza roślinami lubiącymi kwaśne gleby, jest to dalekie od ideału dla dobrego i zdrowego wzrostu roślin i traw. Obecny magnez zapewnia głęboką zieleń i przyczynia się do optymalnej fotosyntezy i płodności gleby.</p>"
gid://shopify/Collection/657054728516,maczka-lawowa,Mączka Lawowa,"<p>Organifer Mączka Lawowa to najlepszej jakości mączka z pierwotnej skały dostępna na rynku. Jest to unikalna mączka lawowa o najwyższym stężeniu przyswajalnych minerałów i najlepszych możliwościach przetwarzania. Można ją szeroko stosować, idealna do rozprzestrzeniania, rozsiewania lub mieszania. Często używana w ogrodach jako poprawiacz gleby i doskonale nadaje się do ochrony roślin, takich jak bukszpan, przed szkodnikami. Ponadto, ta bogata w składniki mączka lawowa działa pośrednio przeciwko skrzypowi polnemu i innym chwastom.</p>"
gid://shopify/Collection/657054826820,rosliny-doniczkowe-i-hydroponika,Rośliny doniczkowe i hydroponika,"<p>Granulaty hydroponiczne Organifer są odpowiednie zarówno do systemów hydroponicznych, jak i jako warstwa drenażowa na dnie doniczek oraz pojemników na rośliny. Zapewniają optymalne warunki wzrostu roślin, wspierając rozwój korzeni.</p>
<p>Z tego powodu zawsze należy dodać warstwę granulatów hydroponicznych na dno doniczki przed jej wypełnieniem. W zależności od wielkości doniczki, zalecana grubość warstwy wynosi od 3 do 6 cm. Taka warstwa poprawia gospodarkę wodną w doniczce, umożliwiając lepszy wzrost roślin.</p>
<p>W przypadku doniczek zewnętrznych ważne jest, aby miały one otwór odpływowy na dnie, co pozwoli na skuteczny odpływ nadmiaru wody.</p>"
gid://shopify/Collection/657054892356,nawoz-na-faze-wzrostu,Nawóz na Fazę Wzrostu,"<p>Płynny Nawóz na Fazę Wzrostu – Amino Power to kompletna żywność specjalnie dla fazy wzrostu każdej rośliny i każdej uprawy (faza 1). Ten mocny koncentrat zawiera unikalną mieszankę z niezbędnymi aminokwasami i zawiera 9% organicznego azotu z enzymatycznie hydrolizowanych białek. Organifer Amino Power zawiera również unikalną mieszankę 18 aminokwasów proteinogennych.</p>
<p>Płynny Nawóz na Fazę Wzrostu – Amino Power redukuje stres abiotyczny i zapewnia optymalne osiągi, zdrowie i energooszczędny wzrost.</p>
<p>Produkt ma bazę z alg morskich, dzięki czemu jest szybko i dobrze przyswajalny, zapewniając zdrowy, równomierny wzrost i lepszy rozwój korzeni. Daje pierwszy impuls do powstania zdrowej, silnej rośliny i pełnego kwitnienia.</p>
<p>Płynny Nawóz na Fazę Wzrostu – Amino Power jest z powodzeniem stosowany w hydroponice i uprawie na substratach, ale także przez hodowców wewnętrznych i zewnętrznych, w rolnictwie oraz w ogrodach ozdobnych i warzywnych. Ponadto produkt nadaje się do roślin domowych. Płynny Nawóz na Fazę Wzrostu – Amino Power można również stosować do ogrodnictwa ekologicznego i jest uniwersalnie stosowany do wszystkich roślin i upraw. Płynny Nawóz na Fazę Wzrostu – Amino Power jest szczególnie odpowiedni do ekologicznej uprawy w glebie lub kokosie. Ponadto produkt ten rozwiązuje problemy z azotem u roślin. Niedobór azotu można rozpoznać po żółtych liściach.</p>"
