ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,pellets-de-estrume-de-vaca,Pellets de Estrume de Vaca,"<p>Os Pellets de Estrume de Vaca 3 em 1 são altamente adequados como fertilizante de plantio para jardins ornamentais, bordaduras, relvados, plantas de bolbo e tubérculo, hortas, roseiras, plantas em vaso e árvores de fruto. Estes pellets melhoram a estrutura do solo e a capacidade de retenção de água, promovem um ambiente fértil no solo e proporcionam um enriquecimento natural do solo, mantendo um equilíbrio a longo prazo. São um fertilizante versátil, adequado para todos os tipos de solo, e podem ser usados perfeitamente como fertilizante de plantio e base para relvados, bordaduras, hortas, pastagens e pomares. Além disso, os pellets podem ser utilizados como ativador do solo, estimulando rapidamente a atividade positiva do solo.</p>"
gid://shopify/Collection/657054204228,fertilizante-de-outono,Fertilizante de Outono,"<p>Este fertilizante de outono profissional é muito rico em potássio e oferece proteção extra contra o frio do inverno para relvados, gramados e plantas. O fertilizante aumenta a resistência aos efeitos diretos da geada. Além disso, minerais e oligoelementos foram adicionados aos grânulos de fertilizante. Os grânulos do Fertilizante de Outono All-In-One asseguram que o seu relvado e plantas fiquem de um verde escuro, fortes e resistentes ao inverno. Esta nutrição de alta qualidade tem um efeito indireto sobre o musgo e as ervas daninhas. Os grânulos de fertilizante, sem odor, são enriquecidos com nitrogénio e potássio facilmente absorvíveis (NPK 6-2-12). Graças ao efeito duradouro (+100 dias), ainda haverá nutrientes suficientes para um bom crescimento da relva e a formação de um relvado forte e denso, no qual o musgo e as ervas daninhas não têm hipóteses, mesmo após a escarificação. O resultado é um relvado saudável e forte, mais capaz de resistir ao desgaste, à seca e à geada. A eficácia do fertilizante de outono é frequentemente subestimada. Ao garantir que a relva entra no inverno forte e endurecida, previnem-se problemas na primavera.</p>"
gid://shopify/Collection/657054236996,fertilizante-para-pastagem,Fertilizante para Pastagem,"<p>O Fertilizante para Pastagem All-In-One é a melhor escolha para uma fertilização ótima de pastagens para cavalos. Também é muito adequado para pastagens de corte e terrenos de pasto para gado de hobby. Este fertilizante completo, tudo-em-um, para pastagens é baseado em estrume higienizado, enriquecido com minerais naturais e oligoelementos para um crescimento uniforme e um relvado forte. O resultado é uma erva/forragem de alta qualidade e saborosa, além de um solo naturalmente fértil.</p>"
gid://shopify/Collection/657054302532,fertilizante-vegano-a-base-de-plantas,Fertilizante Vegano à Base de Plantas,"<p>O Fertilizante Vegano para Plantas é um fertilizante orgânico 100% vegetal, completamente livre de materiais de origem animal, como esterco. Este fertilizante profissional é adequado para todos os tipos de solo e é excelente como fertilizante de plantio e base para relvados, canteiros de flores, hortas, pomares e plantas de interior. O Fertilizante Vegano para Plantas é um ativador de solo muito eficaz e estimula a vida do solo. Devido ao seu elevado teor de matéria orgânica, o fertilizante melhora a estrutura do solo e a retenção de humidade. Além disso, o fertilizante vegano permite uma vida do solo fértil e assegura um enriquecimento natural do solo, mantendo-o permanentemente equilibrado. O Fertilizante Vegano para Plantas tem uma proporção NPK favorável (6-3-2) e uma composição particularmente rica. Os nutrientes são excelentemente absorvidos pelas plantas e liberados de forma dosada. Este fertilizante vegetal é universalmente aplicável, tem um aroma agradável e é seguro para humanos e animais.</p>"
gid://shopify/Collection/657054335300,fertilizante-para-relvado-all-in-one,Fertilizante para Relvado All-In-One,"<p>O Fertilizante para Relvado All-In-One é desenvolvido para criar e manter um relvado de verde intenso, sem musgo e ervas daninhas.</p>
<p>Este fertilizante orgânico-mineral de alta qualidade é adequado para a fertilização de qualquer tipo de relva e solo. Devido à presença de magnésio extra, cada relvado adquire um verde intenso. É indicado tanto para novas instalações quanto para fertilizações de manutenção. A combinação única de componentes de ação rápida e de liberação lenta permite um rápido início de crescimento, juntamente com 100 dias de nutrição completa. O **Fertilizante para Relvado All-In-One** estimula positivamente a vida do solo e aumenta a fertilidade natural do solo com cada aplicação. O resultado é um relvado saudável e denso, sem espaço para musgo e ervas daninhas.</p>
<p>O Fertilizante para Relvado All-In-One possui um alto teor de potássio, proporcionando um relvado forte, mais resistente ao desgaste, à seca e à geada. O fertilizante é excelente para aplicação tanto na primavera quanto no outono, permitindo uma fertilização do relvado durante todo o ano usando o mesmo produto. A mistura de microgranulados de alta qualidade assegura um crescimento gradual, estimula um relvado saudável e forte e melhora o solo. O granulado de liberação lenta tem uma ação de início rápido, mantendo ao mesmo tempo efeitos duradouros.</p>
<p>A mistura única de nutrientes é gradualmente liberada pela vida do solo. A formação de húmus, minerais e oligoelementos promove um melhor desenvolvimento das raízes e previne a lixiviação. Este fertilizante profissional é ideal para relvados, campos desportivos e campos de golfe onde se deseja um relvado forte e denso.</p>"
gid://shopify/Collection/657054368068,fertilizante-de-jardim,Fertilizante de jardim,"<p>O Fertilizante para Jardim All-In-One foi desenvolvido para o desempenho ideal de plantas com flores, arbustos, árvores, roseiras, plantas perenes, bolbos, árvores de fruto, morangueiros, legumes de fruto e de raiz. Desfrute de frutos mais saborosos, plantas bonitas, cores mais intensas e mais flores. Melhora a estrutura do solo e ativa a vida positiva do solo. O alto teor de potássio assegura uma planta forte e resiliente. Além disso, este fertilizante é extra rico em magnésio para uma fotossíntese ótima e cores mais intensas. O Fertilizante para Jardim All-In-One não afeta a acidez do solo, tornando-o seguro para usar e adequado para plantas que preferem solos ácidos. Este fertilizante profissional é universalmente aplicável em qualquer horta e jardim ornamental.</p>"
gid://shopify/Collection/657054499140,fertilizante-granulado-de-cal,Fertilizante Granulado de Cal,"<p>Este fertilizante único de cal para todas as estações da Organifer foi enriquecido com magnésio. Ideal para proteger o seu solo de se tornar excessivamente ácido. Também atua indiretamente contra o musgo. A aplicação de cal é vital para corrigir o nível de acidez (valor de pH) no seu relvado ou horta. Para todas as plantas, é muito importante que o solo tenha o valor de pH correto. Através da absorção de nutrientes, que geralmente também são fornecidos ao jardim e ao relvado, o solo torna-se ácido. Exceto para plantas que ""amam a acidez"", isso não é nada ideal para o bom e saudável crescimento de plantas cultivadas e gramíneas. O magnésio adicionado garante uma cor verde profunda e contribui para a fotossíntese ideal e a fertilidade do solo.</p>"
gid://shopify/Collection/657054728516,po-de-rocha-vulcanica,Pó de Rocha Vulcânica,"<p>O Organifer Primordial Rock Lavameal é o pó de rocha primordial da mais alta qualidade disponível no mercado. Este lavameal único possui a maior concentração de minerais absorvíveis e as melhores capacidades de processamento. Extremamente versátil, é perfeito para espalhar, polvilhar ou misturar. É amplamente utilizado em jardins como um melhorador de solo e é excelente para proteger plantas, como o buxo, contra pragas. Além disso, este lavameal rico combate indiretamente a cavalinha e outras ervas daninhas.</p>"
gid://shopify/Collection/657054826820,plantas-em-vaso-e-hidroponia,Plantas em Vaso e Hidroponia,"<p>Os hidro-grânulos da Organifer são adequados tanto para hidroponia como para servir de camada de drenagem no fundo de vasos e recipientes para plantas. Os hidro-grânulos garantem um crescimento saudável das plantas e proporcionam suporte às raízes. Por isso, ao encher um vaso, adicione sempre primeiro uma camada de hidro-grânulos no fundo. Dependendo do tamanho do vaso, pode utilizar uma camada de 3 a 6 cm na base. Esta camada melhora a gestão da água no vaso e promove um melhor desenvolvimento das plantas. Para vasos de exterior, é essencial que haja um orifício na base para permitir a drenagem do excesso de água.</p>"
gid://shopify/Collection/657054892356,fertilizante-liquido-para-a-fase-de-crescimento,Fertilizante Líquido para a Fase de Crescimento,"<p>O Fertilizante Líquido para a Fase de Crescimento - Amino Power é um fertilizante completo desenvolvido especificamente para a fase de crescimento de todas as plantas e culturas (Fase 1). Este concentrado poderoso contém uma mistura única de aminoácidos essenciais e 9% de nitrogénio orgânico proveniente de proteínas hidrolisadas enzimaticamente. O Amino Power da Organifer também inclui uma combinação exclusiva de 18 aminoácidos proteinogénicos.</p>
<p>O Fertilizante Líquido para a Fase de Crescimento - Amino Power reduz o stress abiótico e garante um desempenho ótimo, saúde e crescimento energeticamente eficiente.</p>
<p>O produto é à base de algas marinhas, o que facilita uma absorção rápida e promove um crescimento saudável e uniforme, além de melhorar o desenvolvimento das raízes. Ele oferece o primeiro impulso para uma planta saudável, vigorosa e com florescimento completo.</p>
<p>O Fertilizante Líquido para a Fase de Crescimento - Amino Power é utilizado com grande sucesso em hidroponia e cultivo em substrato, em cultivos internos e externos, na agricultura, bem como em jardins ornamentais e utilitários. Além disso, o produto é também adequado para plantas de interior. Pode ser utilizado na horticultura orgânica e é universalmente aplicável a todas as plantas e culturas. Este fertilizante é ideal para o cultivo orgânico em solo ou coco. Além disso, corrige problemas de nitrogénio nas suas plantas. A deficiência de nitrogénio pode ser reconhecida por folhas amarelas.</p>"
