ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,pelety-z-kravskeho-hnoja,Pelety z kravského hnoja,"<p>Kravské hnojivo vo forme peliet 3v1 je mimoriadne vhodné ako výsadbové hnojivo pre okrasné záhrady, záhony, trávniky, cibuľoviny a hľuznaté rastliny, zeleninové záhrady, ruže, rastliny v kvetináčoch a ovocné stromy. Tieto pelety zlepšujú štruktúru pôdy a schopnosť zadržiavať vodu, podporujú úrodné prostredie v pôde a poskytujú prirodzené obohatenie pôdy na udržanie dlhodobej rovnováhy. Ide o univerzálne hnojivo, ktoré je vhodné pre všetky typy pôdy a môže byť dokonale použité ako výsadbové a základné hnojivo pre trávniky, záhony, zeleninové záhrady, pastviny a ovocné sady. Navyše, pelety môžu byť použité ako pôdny aktivátor prostredníctvom rýchlej stimulácie pozitívnej pôdnej aktivity.</p>"
gid://shopify/Collection/657054204228,jesenne-hnojivo,Jesenné hnojivo,"<p>Toto profesionálne jesenné hnojivo je veľmi bohaté na draslík a poskytuje extra ochranu pred chladnou zimou pre trávniky, trávu a rastliny. Hnojivo zvyšuje odolnosť voči priamym účinkom mrazu. Navyše, granule hnojiva sú obohatené o minerály a stopové prvky. Granule Jesenného hnojiva All-In-One zabezpečujú, že váš trávnik a rastliny budú tmavozelené, silné a odolné voči zime. Táto vysokokvalitná výživa má nepriamy účinok na mach a burinu. Bez zápachu, granule hnojiva sú obohatené o ľahko absorbovateľný dusík a draslík (NPK 6-2-12). Vďaka dlhodobému účinku (+100 dní) bude mať tráva dostatok živín na dobrý opätovný rast a vytvorenie silného, hustého trávnika, v ktorom mach a burina nemajú žiadnu šancu, dokonca ani po skarifikácii. Výsledkom je zdravý, silný trávnik, ktorý lepšie odoláva opotrebovaniu, suchu a mrazu. Účinnosť jesenného hnojiva je často podceňovaná. Zabezpečením, že tráva vstupuje do zimy silná a spevnená, sa predchádza problémom na jar.</p>"
gid://shopify/Collection/657054236996,hnojivo-na-pastviny,Hnojivo na pastviny,"<p>All-In-One Pasture Fertiliser je najlepšou voľbou pre optimálne hnojenie konskej pastviny. Je tiež veľmi vhodné pre kosené pastviny a pasienky pre hobby chov hospodárskych zvierat. Kompletné All-In-One hnojivo na pastviny je založené na hygienizovanom hnoji, obohatené o prírodné minerály a stopové prvky, ktoré zabezpečujú rovnomerný rast a silný trávnik. Výsledkom je vysokokvalitná a chutná tráva/krmovina a prirodzene úrodná pôda.</p>"
gid://shopify/Collection/657054302532,veganske-hnojivo-na-rastlinnej-baze,Vegánske hnojivo na rastlinnej báze,"<p>Vegan Plant Fertiliser je 100% rastlinné organické hnojivo, ktoré je úplne bez živočíšnych surovín, ako je hnoj. Toto profesionálne hnojivo je vhodné pre všetky typy pôd a je vynikajúce ako výsadbové a základné hnojivo pre trávniky, kvetinové záhony, zeleninové záhrady, sady a izbové rastliny. Vegan Plant Fertiliser je veľmi dobrý pôdny aktivátor a stimuluje život v pôde. Vďaka vysokému obsahu organickej hmoty hnojivo zlepšuje štruktúru pôdy a zadržiavanie vlhkosti. Navyše, vegánske rastlinné hnojivo podporuje plodný pôdny život a zabezpečuje prirodzené obohatenie pôdy, čím udržuje pôdu trvalo vyváženú. Vegan Plant Fertiliser má priaznivý pomer NPK (6-3-2) a mimoriadne bohaté zloženie. Živiny sú rastlinami výborne absorbované a uvoľňované postupne. Toto hnojivo je univerzálne použiteľné, má príjemnú vôňu a je bezpečné pre ľudí aj zvieratá.</p>"
gid://shopify/Collection/657054335300,hnojivo-na-travnik-all-in-one-sk,Hnojivo na trávnik All-In-One,"<p>Lawn Fertiliser All-In-One je vyvinuté na vytvorenie a udržanie hlbokozeleného trávnika bez machu a buriny.</p>
<p>Vysoko kvalitné organicko-minerálne hnojivo vhodné na hnojenie akéhokoľvek typu trávy a pôdy. Vďaka obsahu extra horčíka sa každý trávnik stáva intenzívne zeleným. Vhodné pre nové inštalácie aj údržbové hnojenie. Unikátna kombinácia rýchlo pôsobiacich a pomaly uvoľňujúcich zložiek umožňuje rýchly rast spolu so 100 dňami úplnej výživy. Lawn Fertiliser All-In-One pozitívne stimuluje život v pôde a s každou aplikáciou zvyšuje jej prirodzenú úrodnosť. Výsledkom je zdravý, hustý trávnik bez priestoru pre mach a burinu.</p>
<p>Lawn Fertiliser All-In-One má vysoký obsah draslíka pre silný trávnik, ktorý je odolnejší voči opotrebovaniu, suchu a mrazu. Hnojivo je vynikajúce na aplikáciu na jar aj na jeseň, čo umožňuje celoročné hnojenie trávnika pomocou jedného produktu. Vysokokvalitná mikrogranulátová zmes zabezpečuje postupný rast, stimuluje zdravý a silný trávnik a zlepšuje pôdu. Granulát s pomalým uvoľňovaním má rýchly nástup účinku a dlhodobé pôsobenie.</p>
<p>Unikátna zmes živín je postupne uvoľňovaná životom v pôde. Tvorba humusu, minerálov a stopových prvkov podporuje lepší vývoj koreňov a zabraňuje vyplavovaniu živín. Toto profesionálne hnojivo je ideálne pre trávniky, športové plochy a golfové ihriská, kde je požadovaný silný a hustý trávnik.</p>"
gid://shopify/Collection/657054368068,zahradne-hnojivo,Záhradné hnojivo,"<p>Garden Fertiliser All-In-One je vyvinuté pre optimálny výkon kvitnúcich rastlín, kríkov, stromov, ruží, trvaliek, cibuľovín, ovocných stromov, jahôd, ovocia a koreňovej zeleniny. Užite si viac a chutnejšie ovocie, krásne rastliny, hlbšie farby a viac kvetov. Zlepšuje štruktúru pôdy a aktivuje pozitívny život v pôde. Vysoký obsah draslíka zaisťuje silné a odolné rastliny. Navyše, toto hnojivo je mimoriadne bohaté na horčík pre optimálnu fotosyntézu a hlbšie farby. Garden Fertiliser All-In-One neovplyvňuje kyslosť pôdy, čo ho robí bezpečným na použitie a vhodným pre rastliny milujúce kyslé pôdy. Toto profesionálne hnojivo je univerzálne použiteľné v každej zeleninovej a okrasnej záhrade.</p>"
gid://shopify/Collection/657054499140,granulovane-vapenate-hnojivo,Granulované vápenaté hnojivo,"<p>Toto jedinečné vápenné hnojivo na všetky sezóny od Organifer bolo obohatené o horčík. Ideálne chráni pôdu pred nadmerným prekyslením. Taktiež nepriamo pôsobí proti machu. Aplikácia vápna je nevyhnutná na úpravu úrovne kyslosti (pH hodnoty) vo vašom trávniku alebo zeleninovej záhrade. Pre každú rastlinu je veľmi dôležité, aby pôda mala správnu pH hodnotu. Prostredníctvom prijímania živín, ktoré sú zvyčajne dodávané do záhrady a trávnika, sa pôda stáva kyslou. Okrem „kyslomilných“ rastlín to nie je ideálne pre zdravý rast pestovaných rastlín a tráv. Pridaný horčík zabezpečuje hlbokú zelenú farbu a prispieva k optimálnej fotosyntéze a úrodnosti pôdy.</p>"
gid://shopify/Collection/657054728516,prasok-z-lavovej-horniny,Prášok z lávovej horniny,"<p><div class=""flex max-w-full flex-col flex-grow""><br><div class=""min-h-8 text-message flex w-full flex-col items-end gap-2 whitespace-normal break-words [.text-message+&amp;]:mt-5"" dir=""auto"" data-message-author-role=""assistant"" data-message-id=""aec55a05-c220-4739-80bd-a53f7ef36868"" data-message-model-slug=""gpt-4o""><br><div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[3px]""><br><div class=""markdown prose w-full break-words dark:prose-invert dark""></p>
<p>Organifer Primordial Rock Lavameal je najkvalitnejší praveký kamenný prášok dostupný na trhu. Ide o jedinečný lávový prášok s najvyššou koncentráciou vstrebateľných minerálov a s najlepšími spracovateľskými vlastnosťami. Vďaka svojej všestrannosti je ideálny na rozsypávanie, rozptyľovanie alebo miešanie. Široko sa používa v záhradách ako pôdny zlepšovač a je vynikajúci na ochranu rastlín, ako napríklad krušpán, pred škodcami. Navyše tento bohatý lávový prášok nepriamo bojuje proti prasličke a iným burinám.</p>
<p></div><br></div><br></div><br></div></p>"
gid://shopify/Collection/657054826820,rastliny-v-crepnikoch-a-hydroponia,Rastliny v črepníkoch a hydropónia,"<p>Hydrogranule Organifer sú vhodné na hydroponické pestovanie aj ako drenážna vrstva na dne črepníkov a rastlinných nádob. Hydrogranule zabezpečujú zdravý rast rastlín a poskytujú podporu koreňom. Preto pri plnení črepníka vždy najskôr pridajte vrstvu hydrogranúl na jeho dno. V závislosti od veľkosti črepníka môžete použiť drenážnu vrstvu s hrúbkou 3 – 6 cm. Táto vrstva zlepšuje hospodárenie s vodou v črepníku a podporuje lepší rast rastlín. Pri vonkajších črepníkoch je dôležité, aby mal črepník na dne otvor, ktorý umožní odtok prebytočnej vody.</p>"
gid://shopify/Collection/657054892356,kvapalne-hnojivo-pre-fazu-rastu,Kvapalné hnojivo pre fázu rastu,"<p>Liquid Fertiliser for the Growth Phase - Amino Power je kompletné hnojivo určené špeciálne pre rastovú fázu každej rastliny a plodiny (Fáza 1). Tento silný koncentrát obsahuje unikátnu zmes esenciálnych aminokyselín a obsahuje 9% organického dusíka z enzymaticky hydrolyzovaných proteínov. Organifer Amino Power tiež obsahuje jedinečnú zmes s 18 proteinogénnymi aminokyselinami.</p>
<p>Liquid Fertiliser for the Growth Phase - Amino Power znižuje abiotický stres a zabezpečuje optimálny výkon, zdravie a energeticky efektívny rast.</p>
<p>Produkt je založený na morských riasach, čo umožňuje rýchlu a ľahkú absorpciu, podporuje zdravý a rovnomerný rast a lepší rozvoj koreňov. Poskytuje prvý impulz pre zdravú, silnú rastlinu a plné kvitnutie.</p>
<p>Liquid Fertiliser for the Growth Phase - Amino Power sa s veľkým úspechom používa v hydropónii a pestovaní na substrátoch, v interiérovom a exteriérovom pestovaní, poľnohospodárstve, ako aj v okrasných a úžitkových záhradách. Okrem toho je produkt vhodný aj pre izbové rastliny. Liquid Fertiliser for the Growth Phase - Amino Power môže byť tiež použitý v ekologickom záhradníctve a je univerzálne použiteľný pre všetky rastliny a plodiny. Je ideálny pre organické pestovanie v pôde alebo kokosovom substráte. Navyše, produkt koriguje problémy s dusíkom u vašich rastlín. Nedostatok dusíka sa prejavuje žltými listami.</p>"
