ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,peleti-iz-govejega-gnoja,Peleti iz govejega gnoja,"<p>Peleti iz govejega gnoja 3v1 so zelo primerni kot sadilno gnojilo za okrasne vrtove, gredice, trate, čebulnice in gomoljnice, zelenjavne vrtove, vrtnice, lončnice in sadna drevesa. Ti peleti izboljšujejo strukturo tal in zmožnost zadrževanja vode, spodbujajo rodovitno okolje v tleh ter zagotavljajo naravno obogatitev tal za ohranjanje dolgoročnega ravnovesja. Gre za vsestransko gnojilo, primerno za vse vrste tal, in je idealno kot sadilno in osnovno gnojilo za trate, gredice, zelenjavne vrtove, pašnike in sadovnjake. Poleg tega se peleti lahko uporabljajo kot aktivator tal, saj hitro spodbujajo pozitivno aktivnost v tleh.</p>"
gid://shopify/Collection/657054204228,jesensko-gnojilo,Jesensko gnojilo,"<p>To profesionalno jesensko gnojilo je zelo bogato s kalijem in zagotavlja dodatno zaščito pred mrzlo zimo za trate, travo in rastline. Gnojilo povečuje odpornost proti neposrednim učinkom zmrzali. Poleg tega so granule gnojila obogatene z minerali in elementi v sledeh. Granule jesenskega gnojila All-In-One poskrbijo, da so vaša trata in rastline temno zelene, močne in odporne proti zimi. Ta visokokakovostna prehrana posredno vpliva na mah in plevel. Granule gnojila brez vonja so obogatene z lahko dostopnim dušikom in kalijem (NPK 6-2-12). Zaradi dolgotrajnega učinka (+100 dni) bo na voljo dovolj hranil za dobro ponovno rast trave in oblikovanje močne, goste trate, v kateri mah in plevel nimata možnosti, tudi po prezračevanju trate. Rezultat je zdrava, močna trata, ki bolje prenaša obrabo, sušo in zmrzal. Učinkovitost jesenskega gnojila je pogosto podcenjena. Z zagotavljanjem, da je trava ob vstopu v zimo močna in utrjena, se preprečijo težave spomladi.</p>"
gid://shopify/Collection/657054236996,gnojilo-za-pasnike,Gnojilo za pašnike,"<p>Gnojilo za pašnike All-In-One je najboljša izbira za optimalno gnojenje konjskih pašnikov. Prav tako je zelo primerno za košnjo pašnikov in pašo za ljubiteljske rejce živali. Gre za popolno gnojilo za pašnike, ki temelji na higiensko obdelanem gnoju, obogatenem z naravnimi minerali in elementi v sledeh, kar zagotavlja enakomerno rast in močno trato. Rezultat je visokokakovostna in okusna trava/grobi krmi ter naravno rodovitna tla.</p>"
gid://shopify/Collection/657054302532,vegansko-gnojilo-na-rastlinski-osnovi,Vegansko gnojilo na rastlinski osnovi,"<p>Vegansko rastlinsko gnojilo je 100 % organsko gnojilo na rastlinski osnovi, popolnoma brez živalskih surovin, kot je gnoj. To profesionalno gnojilo je primerno za vse vrste tal in odlično kot sadilno in osnovno gnojilo za trate, cvetlične gredice, zelenjavne vrtove, sadovnjake in sobne rastline. Vegansko rastlinsko gnojilo je zelo dober aktivator tal in spodbuja življenje v tleh. Zaradi visoke vsebnosti organske snovi gnojilo izboljšuje strukturo tal in sposobnost zadrževanja vlage. Poleg tega omogoča rodovitno življenje v tleh in zagotavlja naravno obogatitev tal za trajno ravnovesje. Vegansko rastlinsko gnojilo ima ugodno razmerje NPK (6-3-2) in posebno bogato sestavo. Hranila se odlično absorbirajo v rastlinah in se sproščajo postopoma. To rastlinsko gnojilo je univerzalno uporabno, prijetnega vonja in varno za ljudi in živali.</p>"
gid://shopify/Collection/657054335300,gnojilo-za-trato-vse-v-enem,Gnojilo za trato vse v enem,"<p>Gnojilo za trato All-In-One je razvito za ustvarjanje in vzdrževanje globoko zelene trate brez mahu in plevela.</p>
<p>Visokokakovostno organsko-mineralno gnojilo, primerno za gnojenje vseh vrst trave in tal. Zaradi dodatka magnezija vsaka trata postane intenzivno zelena. Primerno je za nove zasaditve in vzdrževalno gnojenje. Edinstvena kombinacija hitro delujočih in postopno sproščujočih komponent omogoča hiter začetek rasti ter zagotavlja 100 dni popolne prehrane. Gnojilo za trato All-In-One pozitivno spodbuja življenje v tleh in povečuje naravno plodnost tal ob vsakem nanosu. Rezultat je zdrava, gosta trata brez prostora za mah in plevel.</p>
<p>Gnojilo za trato All-In-One ima visok delež kalija za močno trato, ki je bolj odporna proti obrabi, suši in zmrzali. Gnojilo je odlično za uporabo tako spomladi kot jeseni, kar omogoča celoletno gnojenje trate z istim izdelkom. Visokokakovostna mikrogranulatna mešanica zagotavlja postopno rast, spodbuja zdravo in močno trato ter izboljšuje tla. Granulat s počasnim sproščanjem omogoča hiter začetni učinek in hkrati dolgoročne rezultate.</p>
<p>Edinstvena mešanica hranil se postopoma sprošča prek delovanja mikroorganizmov v tleh. Nastajanje humusa, mineralov in elementov v sledovih spodbuja boljši razvoj korenin in preprečuje spiranje hranil. To profesionalno gnojilo je idealno za trate, športna igrišča in golf igrišča, kjer je želena močna in gosta trata.</p>"
gid://shopify/Collection/657054368068,vrtno-gnojilo,Vrtno gnojilo,"<p>Vrtno gnojilo All-In-One je razvito za optimalno delovanje cvetočih rastlin, grmovnic, dreves, vrtnic, trajnic, čebulnic, sadnih dreves, jagod, sadja in korenovk. Omogoča več in okusnejše plodove, čudovite rastline, intenzivnejše barve in več cvetov. Izboljšuje strukturo tal in aktivira pozitivno življenje v tleh. Visoka vsebnost kalija zagotavlja močne in odporne rastline. Poleg tega je to gnojilo dodatno obogateno z magnezijem za optimalno fotosintezo in globlje barve. Vrtno gnojilo All-In-One ne vpliva na kislost tal, zaradi česar je varno za uporabo in primerno za rastline, ki potrebujejo kisla tla. To profesionalno gnojilo je univerzalno uporabno v vsakem zelenjavnem in okrasnem vrtu.</p>"
gid://shopify/Collection/657054499140,granulirano-apneno-gnojilo,Granulirano apneno gnojilo,"<p>To edinstveno apnenčevo gnojilo za vse letne čase iz Organiferja je obogateno z magnezijem. Idealno je za zaščito tal pred prekomerno zakisanostjo in posredno deluje tudi proti mahu. Uporaba apna je ključna za uravnavanje ravni kislosti (pH vrednosti) na vaši trati ali v zelenjavnem vrtu. Za vsako rastlino je zelo pomembno, da ima tla s pravilno pH vrednostjo. Zaradi absorpcije hranil, ki jih običajno dodajamo vrtu in trati, postajajo tla bolj kisla. Razen za ""kisloljubne"" rastline je to daleč od idealnega za dobro in zdravo rast gojenih rastlin in trav. Dodani magnezij zagotavlja intenzivno zeleno barvo ter prispeva k optimalni fotosintezi in rodovitnosti tal.</p>"
gid://shopify/Collection/657054728516,lava-rock-v-prahu,Lava Rock v prahu,"<p>Organifer Primordial Rock Lavameal je najkakovostnejši prah iz prvobitne lave, ki je na voljo na trgu. Gre za edinstven prah iz lave z najvišjo koncentracijo absorbirajočih mineralov in najboljšo predelovalno sposobnostjo. Njegova vsestranska uporaba omogoča, da ga enostavno razpršimo, posujemo ali vmešamo. Obsežno se uporablja v vrtovih kot izboljševalec tal in je odličen za zaščito rastlin, kot je pušpan, pred škodljivci. Poleg tega ta bogat lavin prah posredno pomaga v boju proti preslici in drugim plevelom.</p>"
gid://shopify/Collection/657054826820,loncnice-in-hidroponika,Lončnice in hidroponika,"<p>Organifer hidro-granule so primerne tako za hidroponiko kot tudi kot drenažna plast na dnu loncev in posod za rastline. Hidro-granule zagotavljajo optimalno rast rastlin in nudijo oporo koreninam. Zato pri polnjenju lonca vedno najprej dodajte plast hidro-granul na dno lonca. Glede na velikost lonca lahko na dnu uporabite plast debeline 3–6 cm. Takšna plast izboljša upravljanje z vodo v loncu in omogoča boljšo rast rastlin. Pri zunanjih loncih je pomembno, da ima lonec na dnu odprtino, ki omogoča odtekanje odvečne vode.</p>"
gid://shopify/Collection/657054892356,tekoce-gnojilo-za-fazo-rasti,Tekoče gnojilo za fazo rasti,"<p>Tekoče gnojilo za fazo rasti - Amino Power je popolno gnojilo, posebej zasnovano za rastno fazo vsake rastline in pridelka (Faza 1). Ta močan koncentrat vsebuje edinstveno mešanico esencialnih aminokislin in vsebuje 9 % organskega dušika iz encimsko hidroliziranih beljakovin. Organifer Amino Power vključuje tudi edinstveno mešanico z 18 proteinogenimi aminokislinami.</p>
<p>Tekoče gnojilo za fazo rasti - Amino Power zmanjšuje abiotski stres in zagotavlja optimalno učinkovitost, zdravje ter energetsko učinkovito rast.</p>
<p>Izdelek temelji na morskih algah, kar omogoča hitro in enostavno absorpcijo ter spodbuja zdravo, enakomerno rast in boljši razvoj korenin. Zagotavlja prvi zagon za zdravo, bujno rastlino in popolno cvetenje.</p>
<p>Tekoče gnojilo za fazo rasti - Amino Power se z velikim uspehom uporablja pri hidroponiki in substratnem gojenju, v notranjih in zunanjih nasadih, kmetijstvu ter v okrasnih in uporabnih vrtovih. Poleg tega je izdelek primeren tudi za sobne rastline. Tekoče gnojilo za fazo rasti - Amino Power se lahko uporablja v ekološkem vrtnarjenju in je univerzalno uporabno za vse rastline in pridelke. Idealno je za organsko pridelavo v tleh ali kokosovem substratu. Poleg tega izdelek odpravi težave z dušikom v vaših rastlinah. Pomanjkanje dušika se lahko prepozna po rumenih listih.</p>"
