ID,Handle,Title,DescriptionHTML
gid://shopify/Collection/657054171460,kogodselpellets,Kogödselpellets,"<p>Kogödselpellets 3-i-1 är mycket lämpliga som planteringsgödsel för prydnadsträdgårdar, rabatter, gräsmattor, lök- och knölväxter, grönsaksland, rosor, krukväxter och fruktträd. Dessa pellets förbättrar jordstrukturen och vattenhållningsförmågan, främjar en bördig markmiljö och ger naturlig berikning av jorden för att bibehålla långsiktig balans. De är en allroundgödsel som är lämplig för alla typer av jord och kan användas perfekt som planterings- och grundgödsel för gräsmattor, rabatter, grönsaksland, betesmarker och fruktträdgårdar. Dessutom kan pellets användas som en jordaktivator genom att snabbt stimulera positiv markaktivitet.</p>"
gid://shopify/Collection/657054204228,hostgodsel,Höstgödsel,"<p>Denna professionella höstgödsel är mycket rik på kalium och ger extra skydd mot den kalla vintern för gräsmattor, gräs och växter. Gödseln ökar motståndskraften mot de direkta effekterna av frost. Dessutom har mineraler och spårämnen tillsatts gödselgranulaten. Höstgödsel Allt-i-ett-granulat säkerställer att din gräsmatta och dina växter blir mörkgröna, starka och vinterhärdiga. Denna högkvalitativa näring har en indirekt effekt på mossa och ogräs. De luktfria gödselgranulaten är berikade med lättabsorberbart kväve och kalium (NPK 6-2-12). Tack vare den långvariga effekten (+100 dagar) kommer det fortfarande att finnas tillräckligt med näringsämnen för bra återväxt av gräset och bildandet av en stark, tät gräsmatta där mossa och ogräs inte har någon chans, även efter vertikalskärning. Detta resulterar i en frisk, stark gräsmatta som bättre kan motstå slitage, torka och frost. Effektiviteten av höstgödsel underskattas ofta. Genom att se till att gräset går in i vintern starkt och härdat, förhindras problem på våren.</p>"
gid://shopify/Collection/657054236996,betesgodsel,Betesgödsel,"<p>Allt-i-ett Betesgödsel är det bästa valet för optimal gödsling av en hästhage. Det är också mycket väl lämpat för slåtterängar och betesmarker för hobbydjur. En komplett allt-i-ett betesgödsel baserad på hygieniserad gödsel, berikad med naturliga mineraler och spårämnen för jämn tillväxt och en stark grässvål. Resultatet är högkvalitativt och smakrikt gräs/foder och en naturligt bördig jord.</p>"
gid://shopify/Collection/657054302532,vegansk-vaxtbaserad-godsel,Vegansk växtbaserad gödsel,"<p>Vegansk Växtgödsel är en 100% växtbaserad organisk gödsel som är helt fri från animaliska råvaror såsom gödsel. Denna professionella gödsel är lämplig för alla jordtyper och är utmärkt som planterings- och basgödsel för gräsmattor, blomrabatter, grönsaksland, fruktträdgårdar och krukväxter. Vegansk Växtgödsel är en mycket bra jordaktivator och stimulerar marklivet. Tack vare sitt höga innehåll av organiskt material förbättrar gödseln jordstrukturen och fuktighetsbevaringen. Dessutom möjliggör den en bördig markmiljö och säkerställer en naturlig jordberikning för att hålla jorden permanent balanserad. Vegansk Växtgödsel har en fördelaktig NPK-förhållande (6-3-2) och en särskilt rik sammansättning. Näringsämnena absorberas utmärkt av växterna och frisätts på ett doserat sätt. Denna växtgödsel är universellt tillämplig, har en behaglig doft och är säker för människor och djur.</p>"
gid://shopify/Collection/657054335300,grasmattegodsel-allt-i-ett,Gräsmattegödsel Allt-i-ett,"<p>Gräsmattegödsel Allt-i-ett är utvecklad för att skapa och underhålla en djupt grön gräsmatta utan mossa och ogräs.</p>
<p>En högkvalitativ organisk-mineralgödsel lämplig för gödsling av alla typer av gräs och jord. Tack vare närvaron av extra magnesium blir varje gräsmatta intensivt grön. Lämplig för både nyinstallationer och underhållsgödslingar. Den unika kombinationen av både snabbverkande och långsamfrisättande komponenter möjliggör en snabb tillväxtstart samt 100 dagar av komplett näring. Gräsmattegödsel Allt-i-ett stimulerar marklivet positivt och ökar den naturliga markbördighet med varje applicering. Resultatet blir en frisk, tät gräsmatta utan plats för mossa och ogräs.</p>
<p>Gräsmattegödsel Allt-i-ett har ett högt kaliuminnehåll för en stark gräsmatta som är mer motståndskraftig mot slitage, torka och frost. Gödseln är utmärkt att applicera både på våren och hösten, vilket möjliggör året-runt-gödsling av gräsmattan med samma produkt. Den högkvalitativa mikrogranulatblandningen säkerställer gradvis tillväxt, stimulerar en frisk, stark gräsmatta och förbättrar jorden. Den långsamfrisättande granulatet har en snabb startverkan samtidigt som den bibehåller långvariga effekter.</p>
<p>Den unika näringsblandningen frisätts gradvis av marklivet. Bildningen av humus, mineraler och spårämnen främjar bättre rotutveckling och förhindrar urlakning. Denna professionella gödsel är idealisk för gräsmattor, idrottsplatser och golfbanor där en stark, tät gräsmatta önskas.</p>"
gid://shopify/Collection/657054368068,tradgardsgodsel,Trädgårdsgödsel,"<p>Trädgårdsgödsel Allt-i-ett är utvecklad för optimal prestanda hos blommande växter, buskar, träd, rosor, perenner, lökar, fruktträd, jordgubbar, frukt- och rotgrönsaker. Njut av mer och smakrikare frukter, vackra växter, djupare färger och fler blommor. Förbättrar jordstrukturen och aktiverar positivt markliv. Det höga kaliuminnehållet säkerställer en stark och motståndskraftig växt. Dessutom är denna gödsel extra rik på magnesium för optimal fotosyntes och djupare färger. Trädgårdsgödsel Allt-i-ett påverkar inte jordens surhetsgrad, vilket gör den säker att använda och lämplig för surjordsväxter. Denna professionella gödsel är universellt tillämplig i varje grönsaks- och prydnadsträdgård.</p>"
gid://shopify/Collection/657054499140,kalk-granular-godsel,Kalk Granulär Gödsel,"<p>Denna unika kalkgödsel för alla säsonger från Organifer har berikats med magnesium. Idealisk för att skydda din jord från att bli för sur. Den fungerar också indirekt mot mossa. Användningen av kalk är avgörande för att korrigera surhetsgraden (pH-värdet) i din gräsmatta eller ditt grönsaksland. För varje växt är det mycket viktigt att jorden har rätt pH-värde. Genom upptag av näringsämnen, som vanligtvis också tillförs trädgården och gräsmattan, blir jorden sur. Förutom för ""syrakärlande"" växter är detta allt annat än idealiskt för en god och hälsosam tillväxt av odlade växter och gräs. Det tillsatta magnesiumet säkerställer en djupgrön färg och bidrar till optimal fotosyntes och jordens bördighet.</p>"
gid://shopify/Collection/657054728516,lavastenpulver,Lavastenpulver,"<p>Organifer Primordial Rock Lavameal är det finaste kvaliteten av urbergsmjöl som finns tillgängligt på marknaden. Det är ett unikt lavamjöl med den högsta koncentrationen av absorberbara mineraler och de bästa bearbetningsmöjligheterna. Mångsidigt och perfekt för att sprida, strö eller blanda. Det används flitigt i trädgårdar som en jordförbättrare och är utmärkt för att skydda växter, såsom buxbom, från skadedjur. Dessutom bekämpar detta rika lavamjöl indirekt åkerfräken och andra ogräs.</p>"
gid://shopify/Collection/657054826820,krukvaxter-och-hydroponics,Krukväxter och hydroponics,<p>Organifer hydro-granulat är lämpligt både för hydroponisk odling och som dräneringslager i botten av blomkrukor och planteringskärl. Hydro-granulat säkerställer att dina växter växer bra och ger stöd åt rötterna. Därför bör du alltid först lägga ett lager hydro-granulat i botten av krukan när du fyller den. Beroende på krukans storlek kan ett lager på 3–6 cm användas i botten. Ett sådant lager förbättrar vattenhanteringen i krukan och främjar bättre växttillväxt. För utomhuskrukor är det viktigt att det finns ett hål i botten av krukan så att överskottsvatten kan rinna ut.</p>
gid://shopify/Collection/657054892356,flytande-godsel-for-tillvaxtfasen,Flytande Gödsel för Tillväxtfasen,"<p>Flytande Gödsel för Tillväxtfasen - Amino Power är en komplett gödsel specifikt för tillväxtfasen av varje växt och gröda (Fas 1). Detta kraftfulla koncentrat innehåller en unik blandning av essentiella aminosyror och innehåller 9% organiskt kväve från enzymatiskt hydrolyserade proteiner. Organifer Amino Power innehåller också en unik blandning med 18 proteinogena aminosyror.</p>
<p>Flytande Gödsel för Tillväxtfasen - Amino Power minskar abiotisk stress och säkerställer optimal prestanda, hälsa och energieffektiv tillväxt.</p>
<p>Produkten är baserad på marina alger, vilket gör att den snabbt och enkelt absorberas och främjar en hälsosam, jämn tillväxt och bättre rotutveckling. Den ger den första boosten för en hälsosam, kraftig växt och riklig blomning.</p>
<p>Flytande Gödsel för Tillväxtfasen - Amino Power används med stor framgång inom hydroponik och substratodling, inomhus- och utomhusodling, jordbruk samt i prydnads- och nyttoodlingar. Dessutom är produkten även lämplig för krukväxter. Flytande Gödsel för Tillväxtfasen - Amino Power kan också användas inom ekologisk trädgårdsodling och är universellt tillämplig för alla växter och grödor. Flytande Gödsel för Tillväxtfasen - Amino Power är idealisk för ekologisk odling i jord eller kokos. Dessutom korrigerar produkten kväveproblem i dina växter. En kvävebrist kan kännas igen genom gula blad.</p>"
