GID,short_description
gid://shopify/Product/15448928584004,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448928616772,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448928649540,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448928682308,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448937169220,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448937234756,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448937300292,"[""Engrais organo-minéral composé NPK 9-2-7"", ""Engrais adapté pour les pâturages équins"", ""Également très approprié pour les pâturages de moutons, de chèvres et d'animaux de loisir"", ""Résulte en une herbe/fourrage de haute qualité et savoureuse"", ""Pour une herbe saine et riche en structure"", ""Améliore la structure du sol et agit comme un activateur de sol"", ""Croissance constante grâce aux microgranules à libération lente, avec une durée d'action de plus de 120 jours"", ""Rend l'herbe plus résistante à la sécheresse, aux maladies et au piétinement"", ""L'engrais pénètre rapidement dans le sol, empêchant ainsi l'absorption par les animaux"", ""Applicable en toutes saisons, sauf en cas de gel du sol"", ""Minéraux et oligo-éléments supplémentaires ajoutés à partir de la lave"", ""Engrais tout-en-un parfait pour les pâturages""]"
gid://shopify/Product/15448937333060,"[""Engrais organo-minéral composé NPK (Mg) 6-2-12 (+2)"", ""Gazon fort en hiver, résultats visibles jusqu'au printemps"", ""Donne un gazon épais et d'un vert foncé"", ""Renforce la résistance à la sécheresse, au gel, aux maladies et aux nuisibles"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique"", ""Apport nutritif constant grâce à la libération lente des granulés > 100 jours"", ""Utilisation universelle – n'influence pas le pH du sol"", ""Excellente répartition grâce aux microgranulés sans poussière"", ""Empêche la croissance indésirable de la mousse et des mauvaises herbes"", ""Engrais d'Automne Tout-en-Un est enrichi en fortifiants pour plantes""]"
gid://shopify/Product/15448938643780,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448939725124,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
