GID,short_description
gid://shopify/Product/15448928584004,"[""Migliora la struttura del suolo e la fertilità del suolo"", ""NPK 2-2-3, ricco di magnesio, calcio, acidi umici e acidi fulvici"", ""Minerali aggiuntivi e oligoelementi dalla farina di lava"", ""Realizzato con il 100% di puro letame di vacca"", ""Quasi inodore grazie all'igienizzazione e 100% libero da semi di erbacce"", ""Privi di patogeni; nessun patogeno, muffe indesiderate o batteri"", ""Effetto fertilizzante costante attraverso pellet a rilascio lento > 120 giorni"", ""Minimo dilavamento degli elementi minerali grazie all'alto contenuto organico di azoto legato"", ""Nessuna bruciatura delle foglie a causa del contenuto molto basso di ammoniaca"", ""Contiene nutrienti importanti e circa il 60% di sostanza organica"", ""Pellet ben solubili e privi di polvere con un eccellente modello di distribuzione"", ""Utilizzabile in tutte le stagioni, eccetto in caso di gelo del suolo"", ""Fertilizzante per piante e attivatore del suolo tuttofare perfetto""]"
gid://shopify/Product/15448928616772,"[""Migliora la struttura del suolo e la fertilità del suolo"", ""NPK 2-2-3, ricco di magnesio, calcio, acidi umici e acidi fulvici"", ""Minerali aggiuntivi e oligoelementi dalla farina di lava"", ""Realizzato con il 100% di puro letame di vacca"", ""Quasi inodore grazie all'igienizzazione e 100% libero da semi di erbacce"", ""Privi di patogeni; nessun patogeno, muffe indesiderate o batteri"", ""Effetto fertilizzante costante attraverso pellet a rilascio lento > 120 giorni"", ""Minimo dilavamento degli elementi minerali grazie all'alto contenuto organico di azoto legato"", ""Nessuna bruciatura delle foglie a causa del contenuto molto basso di ammoniaca"", ""Contiene nutrienti importanti e circa il 60% di sostanza organica"", ""Pellet ben solubili e privi di polvere con un eccellente modello di distribuzione"", ""Utilizzabile in tutte le stagioni, eccetto in caso di gelo del suolo"", ""Fertilizzante per piante e attivatore del suolo tuttofare perfetto""]"
gid://shopify/Product/15448928649540,"[""Migliora la struttura del suolo e la fertilità del suolo"", ""NPK 2-2-3, ricco di magnesio, calcio, acidi umici e acidi fulvici"", ""Minerali aggiuntivi e oligoelementi dalla farina di lava"", ""Realizzato con il 100% di puro letame di vacca"", ""Quasi inodore grazie all'igienizzazione e 100% libero da semi di erbacce"", ""Privi di patogeni; nessun patogeno, muffe indesiderate o batteri"", ""Effetto fertilizzante costante attraverso pellet a rilascio lento > 120 giorni"", ""Minimo dilavamento degli elementi minerali grazie all'alto contenuto organico di azoto legato"", ""Nessuna bruciatura delle foglie a causa del contenuto molto basso di ammoniaca"", ""Contiene nutrienti importanti e circa il 60% di sostanza organica"", ""Pellet ben solubili e privi di polvere con un eccellente modello di distribuzione"", ""Utilizzabile in tutte le stagioni, eccetto in caso di gelo del suolo"", ""Fertilizzante per piante e attivatore del suolo tuttofare perfetto""]"
gid://shopify/Product/15448928682308,"[""Migliora la struttura del suolo e la fertilità del suolo"", ""NPK 2-2-3, ricco di magnesio, calcio, acidi umici e acidi fulvici"", ""Minerali aggiuntivi e oligoelementi dalla farina di lava"", ""Realizzato con il 100% di puro letame di vacca"", ""Quasi inodore grazie all'igienizzazione e 100% libero da semi di erbacce"", ""Privi di patogeni; nessun patogeno, muffe indesiderate o batteri"", ""Effetto fertilizzante costante attraverso pellet a rilascio lento > 120 giorni"", ""Minimo dilavamento degli elementi minerali grazie all'alto contenuto organico di azoto legato"", ""Nessuna bruciatura delle foglie a causa del contenuto molto basso di ammoniaca"", ""Contiene nutrienti importanti e circa il 60% di sostanza organica"", ""Pellet ben solubili e privi di polvere con un eccellente modello di distribuzione"", ""Utilizzabile in tutte le stagioni, eccetto in caso di gelo del suolo"", ""Fertilizzante per piante e attivatore del suolo tuttofare perfetto""]"
gid://shopify/Product/15448937169220,"[""Migliora la struttura del suolo e la fertilità del suolo"", ""NPK 2-2-3, ricco di magnesio, calcio, acidi umici e acidi fulvici"", ""Minerali aggiuntivi e oligoelementi dalla farina di lava"", ""Realizzato con il 100% di puro letame di vacca"", ""Quasi inodore grazie all'igienizzazione e 100% libero da semi di erbacce"", ""Privi di patogeni; nessun patogeno, muffe indesiderate o batteri"", ""Effetto fertilizzante costante attraverso pellet a rilascio lento > 120 giorni"", ""Minimo dilavamento degli elementi minerali grazie all'alto contenuto organico di azoto legato"", ""Nessuna bruciatura delle foglie a causa del contenuto molto basso di ammoniaca"", ""Contiene nutrienti importanti e circa il 60% di sostanza organica"", ""Pellet ben solubili e privi di polvere con un eccellente modello di distribuzione"", ""Utilizzabile in tutte le stagioni, eccetto in caso di gelo del suolo"", ""Fertilizzante per piante e attivatore del suolo tuttofare perfetto""]"
gid://shopify/Product/15448937234756,"[""Migliora la struttura del suolo e la fertilità del suolo"", ""NPK 2-2-3, ricco di magnesio, calcio, acidi umici e acidi fulvici"", ""Minerali aggiuntivi e oligoelementi dalla farina di lava"", ""Realizzato con il 100% di puro letame di vacca"", ""Quasi inodore grazie all'igienizzazione e 100% libero da semi di erbacce"", ""Privi di patogeni; nessun patogeno, muffe indesiderate o batteri"", ""Effetto fertilizzante costante attraverso pellet a rilascio lento > 120 giorni"", ""Minimo dilavamento degli elementi minerali grazie all'alto contenuto organico di azoto legato"", ""Nessuna bruciatura delle foglie a causa del contenuto molto basso di ammoniaca"", ""Contiene nutrienti importanti e circa il 60% di sostanza organica"", ""Pellet ben solubili e privi di polvere con un eccellente modello di distribuzione"", ""Utilizzabile in tutte le stagioni, eccetto in caso di gelo del suolo"", ""Fertilizzante per piante e attivatore del suolo tuttofare perfetto""]"
gid://shopify/Product/15448937300292,"[""Fertilizzante organo-minerale composto NPK 9-2-7"", ""Fertilizzante adatto per pascoli di cavalli"", ""Altamente adatto anche per pascoli di pecore, capre e animali da hobby"", ""Risultato in erba/alimento di alta qualità e palatabile"", ""Promuove un raccolto sano e strutturato"", ""Migliora la struttura del suolo e funge da attivatore del suolo"", ""Crescita costante attraverso microgranuli a rilascio lento con una durata di oltre 120 giorni"", ""Rende l'erba più resistente alla siccità, malattie e stress"", ""Il fertilizzante penetra rapidamente nel suolo, prevenendo il consumo da parte degli animali"", ""Applicabile in qualsiasi stagione, eccetto durante il gelo del terreno"", ""Minerali aggiuntivi e oligoelementi aggiunti dalla cenere vulcanica"", ""Fertilizzante tutto-in-uno perfetto per pascoli""]"
gid://shopify/Product/15448937333060,"[""Fertilizzante organo-minerale composto NPK (Mg) 6-2-12 (+2)"", ""Erba forte in inverno, risultati belli visibili fino alla primavera"", ""Risultato in un prato forte, di un verde scuro intenso"", ""Migliora la resilienza contro siccità, gelo, malattie e parassiti"", ""Migliora la struttura del suolo e promuove una vita del suolo positiva"", ""Fornitura continua di nutrienti attraverso granuli a rilascio lento > 100 giorni"", ""Universalmente applicabile – non influisce sul pH del suolo"", ""Ottimo modello di distribuzione con microgranuli privi di polvere"", ""Sopprime la crescita indesiderata di muschio ed erbacce"", ""Il Fertilizzante Autunnale Tutto-In-Uno è arricchito con rinforzanti per piante""]"
gid://shopify/Product/15448938643780,"[""Migliora la struttura del suolo e la fertilità del suolo"", ""NPK 2-2-3, ricco di magnesio, calcio, acidi umici e acidi fulvici"", ""Minerali aggiuntivi e oligoelementi dalla farina di lava"", ""Realizzato con il 100% di puro letame di vacca"", ""Quasi inodore grazie all'igienizzazione e 100% libero da semi di erbacce"", ""Privi di patogeni; nessun patogeno, muffe indesiderate o batteri"", ""Effetto fertilizzante costante attraverso pellet a rilascio lento > 120 giorni"", ""Minimo dilavamento degli elementi minerali grazie all'alto contenuto organico di azoto legato"", ""Nessuna bruciatura delle foglie a causa del contenuto molto basso di ammoniaca"", ""Contiene nutrienti importanti e circa il 60% di sostanza organica"", ""Pellet ben solubili e privi di polvere con un eccellente modello di distribuzione"", ""Utilizzabile in tutte le stagioni, eccetto in caso di gelo del suolo"", ""Fertilizzante per piante e attivatore del suolo tuttofare perfetto""]"
gid://shopify/Product/15448939725124,"[""Migliora la struttura del suolo e la fertilità del suolo"", ""NPK 2-2-3, ricco di magnesio, calcio, acidi umici e acidi fulvici"", ""Minerali aggiuntivi e oligoelementi dalla farina di lava"", ""Realizzato con il 100% di puro letame di vacca"", ""Quasi inodore grazie all'igienizzazione e 100% libero da semi di erbacce"", ""Privi di patogeni; nessun patogeno, muffe indesiderate o batteri"", ""Effetto fertilizzante costante attraverso pellet a rilascio lento > 120 giorni"", ""Minimo dilavamento degli elementi minerali grazie all'alto contenuto organico di azoto legato"", ""Nessuna bruciatura delle foglie a causa del contenuto molto basso di ammoniaca"", ""Contiene nutrienti importanti e circa il 60% di sostanza organica"", ""Pellet ben solubili e privi di polvere con un eccellente modello di distribuzione"", ""Utilizzabile in tutte le stagioni, eccetto in caso di gelo del suolo"", ""Fertilizzante per piante e attivatore del suolo tuttofare perfetto""]"
