GID,short_description
gid://shopify/Product/15448928584004,"[""Gerina dirvožemio struktūrą ir derlingumą"", ""NPK 2-2-3, turtingos magniu, kalciu, huminėmis ir fulvo rūgštimis"", ""Papildomi mineralai ir mikroelementai iš lavos miltelių"", ""Pagamintos iš 100 % gryno karvių mėšlo"", ""Beveik bekvapės dėl higienizacijos ir 100 % be piktžolių sėklų"", ""Be patogenų; nėra nepageidaujamų grybų ar bakterijų"", ""Nuolatinis tręšimo efektas per lėtai atpalaiduojančias granules (>120 dienų)"", ""Minimalus mineralinių elementų išplovimas dėl didelio organinio azoto kiekio"", ""Nėra lapų nudegimo dėl labai mažo amoniako kiekio"", ""Sudėtyje yra svarbių maistinių medžiagų ir apie 60 % organinių medžiagų"", ""Gerai tirpstančios ir be dulkių granulės su puikiu paskirstymo modeliu"", ""Tinkamos naudoti visais metų laikais, išskyrus esant dirvožemio šalčiui"", ""Puikios universalios trąšos ir dirvožemio aktyvatoriai""]"
gid://shopify/Product/15448928616772,"[""Gerina dirvožemio struktūrą ir derlingumą"", ""NPK 2-2-3, turtingos magniu, kalciu, huminėmis ir fulvo rūgštimis"", ""Papildomi mineralai ir mikroelementai iš lavos miltelių"", ""Pagamintos iš 100 % gryno karvių mėšlo"", ""Beveik bekvapės dėl higienizacijos ir 100 % be piktžolių sėklų"", ""Be patogenų; nėra nepageidaujamų grybų ar bakterijų"", ""Nuolatinis tręšimo efektas per lėtai atpalaiduojančias granules (>120 dienų)"", ""Minimalus mineralinių elementų išplovimas dėl didelio organinio azoto kiekio"", ""Nėra lapų nudegimo dėl labai mažo amoniako kiekio"", ""Sudėtyje yra svarbių maistinių medžiagų ir apie 60 % organinių medžiagų"", ""Gerai tirpstančios ir be dulkių granulės su puikiu paskirstymo modeliu"", ""Tinkamos naudoti visais metų laikais, išskyrus esant dirvožemio šalčiui"", ""Puikios universalios trąšos ir dirvožemio aktyvatoriai""]"
gid://shopify/Product/15448928649540,"[""Gerina dirvožemio struktūrą ir derlingumą"", ""NPK 2-2-3, turtingos magniu, kalciu, huminėmis ir fulvo rūgštimis"", ""Papildomi mineralai ir mikroelementai iš lavos miltelių"", ""Pagamintos iš 100 % gryno karvių mėšlo"", ""Beveik bekvapės dėl higienizacijos ir 100 % be piktžolių sėklų"", ""Be patogenų; nėra nepageidaujamų grybų ar bakterijų"", ""Nuolatinis tręšimo efektas per lėtai atpalaiduojančias granules (>120 dienų)"", ""Minimalus mineralinių elementų išplovimas dėl didelio organinio azoto kiekio"", ""Nėra lapų nudegimo dėl labai mažo amoniako kiekio"", ""Sudėtyje yra svarbių maistinių medžiagų ir apie 60 % organinių medžiagų"", ""Gerai tirpstančios ir be dulkių granulės su puikiu paskirstymo modeliu"", ""Tinkamos naudoti visais metų laikais, išskyrus esant dirvožemio šalčiui"", ""Puikios universalios trąšos ir dirvožemio aktyvatoriai""]"
gid://shopify/Product/15448928682308,"[""Gerina dirvožemio struktūrą ir derlingumą"", ""NPK 2-2-3, turtingos magniu, kalciu, huminėmis ir fulvo rūgštimis"", ""Papildomi mineralai ir mikroelementai iš lavos miltelių"", ""Pagamintos iš 100 % gryno karvių mėšlo"", ""Beveik bekvapės dėl higienizacijos ir 100 % be piktžolių sėklų"", ""Be patogenų; nėra nepageidaujamų grybų ar bakterijų"", ""Nuolatinis tręšimo efektas per lėtai atpalaiduojančias granules (>120 dienų)"", ""Minimalus mineralinių elementų išplovimas dėl didelio organinio azoto kiekio"", ""Nėra lapų nudegimo dėl labai mažo amoniako kiekio"", ""Sudėtyje yra svarbių maistinių medžiagų ir apie 60 % organinių medžiagų"", ""Gerai tirpstančios ir be dulkių granulės su puikiu paskirstymo modeliu"", ""Tinkamos naudoti visais metų laikais, išskyrus esant dirvožemio šalčiui"", ""Puikios universalios trąšos ir dirvožemio aktyvatoriai""]"
gid://shopify/Product/15448937169220,"[""Gerina dirvožemio struktūrą ir derlingumą"", ""NPK 2-2-3, turtingos magniu, kalciu, huminėmis ir fulvo rūgštimis"", ""Papildomi mineralai ir mikroelementai iš lavos miltelių"", ""Pagamintos iš 100 % gryno karvių mėšlo"", ""Beveik bekvapės dėl higienizacijos ir 100 % be piktžolių sėklų"", ""Be patogenų; nėra nepageidaujamų grybų ar bakterijų"", ""Nuolatinis tręšimo efektas per lėtai atpalaiduojančias granules (>120 dienų)"", ""Minimalus mineralinių elementų išplovimas dėl didelio organinio azoto kiekio"", ""Nėra lapų nudegimo dėl labai mažo amoniako kiekio"", ""Sudėtyje yra svarbių maistinių medžiagų ir apie 60 % organinių medžiagų"", ""Gerai tirpstančios ir be dulkių granulės su puikiu paskirstymo modeliu"", ""Tinkamos naudoti visais metų laikais, išskyrus esant dirvožemio šalčiui"", ""Puikios universalios trąšos ir dirvožemio aktyvatoriai""]"
gid://shopify/Product/15448937234756,"[""Gerina dirvožemio struktūrą ir derlingumą"", ""NPK 2-2-3, turtingos magniu, kalciu, huminėmis ir fulvo rūgštimis"", ""Papildomi mineralai ir mikroelementai iš lavos miltelių"", ""Pagamintos iš 100 % gryno karvių mėšlo"", ""Beveik bekvapės dėl higienizacijos ir 100 % be piktžolių sėklų"", ""Be patogenų; nėra nepageidaujamų grybų ar bakterijų"", ""Nuolatinis tręšimo efektas per lėtai atpalaiduojančias granules (>120 dienų)"", ""Minimalus mineralinių elementų išplovimas dėl didelio organinio azoto kiekio"", ""Nėra lapų nudegimo dėl labai mažo amoniako kiekio"", ""Sudėtyje yra svarbių maistinių medžiagų ir apie 60 % organinių medžiagų"", ""Gerai tirpstančios ir be dulkių granulės su puikiu paskirstymo modeliu"", ""Tinkamos naudoti visais metų laikais, išskyrus esant dirvožemio šalčiui"", ""Puikios universalios trąšos ir dirvožemio aktyvatoriai""]"
gid://shopify/Product/15448937300292,"[""Sudėtinės organinės-mineralinės trąšos NPK 9-2-7"", ""Tinka arklių ganykloms"", ""Taip pat puikiai tinka avių, ožkų ir hobio gyvūnų ganykloms"", ""Užtikrina aukštos kokybės ir skanų pašarą/žolę"", ""Skatina sveiką ir struktūruotą derlių"", ""Gerina dirvožemio struktūrą ir veikia kaip dirvožemio aktyvatorius"", ""Tolygus augimas dėl lėtai tirpstančių mikrogranulių poveikio, trunkančio daugiau nei 120 dienų"", ""Didina žolės atsparumą sausrai, ligoms ir stresui"", ""Trąšos greitai įsigeria į dirvą, apsaugodamos nuo gyvūnų suvartojimo"", ""Tinka naudoti bet kuriuo metų laiku, išskyrus dirvožemio šalčio laikotarpius"", ""Papildomi mineralai ir mikroelementai iš vulkaninių pelenų"", ""Puikios universalios trąšos ganykloms""]"
gid://shopify/Product/15448937333060,"[""Sudėtinės organinės-mineralinės trąšos NPK (Mg) 6-2-12 (+2)"", ""Stipri veja žiemą, rezultatai matomi iki pavasario"", ""Sukuria stiprią, tamsiai žalią veją"", ""Padidina atsparumą sausrai, šalčiui, ligoms ir kenkėjams"", ""Gerina dirvožemio struktūrą ir skatina teigiamą dirvožemio gyvybingumą"", ""Nuolatinis maistinių medžiagų tiekimas per lėtai tirpstančias granules > 100 dienų"", ""Universalus naudojimas – neturi įtakos dirvožemio pH"", ""Puikus paskleidimo modelis su dulkių neturinčiomis mikrogranulėmis"", ""Slopina nepageidaujamų samanų ir piktžolių augimą"", ""Rudeninės trąšos All-In-One praturtintos augalų stiprinimo medžiagomis""]"
gid://shopify/Product/15448938643780,"[""Gerina dirvožemio struktūrą ir derlingumą"", ""NPK 2-2-3, turtingos magniu, kalciu, huminėmis ir fulvo rūgštimis"", ""Papildomi mineralai ir mikroelementai iš lavos miltelių"", ""Pagamintos iš 100 % gryno karvių mėšlo"", ""Beveik bekvapės dėl higienizacijos ir 100 % be piktžolių sėklų"", ""Be patogenų; nėra nepageidaujamų grybų ar bakterijų"", ""Nuolatinis tręšimo efektas per lėtai atpalaiduojančias granules (>120 dienų)"", ""Minimalus mineralinių elementų išplovimas dėl didelio organinio azoto kiekio"", ""Nėra lapų nudegimo dėl labai mažo amoniako kiekio"", ""Sudėtyje yra svarbių maistinių medžiagų ir apie 60 % organinių medžiagų"", ""Gerai tirpstančios ir be dulkių granulės su puikiu paskirstymo modeliu"", ""Tinkamos naudoti visais metų laikais, išskyrus esant dirvožemio šalčiui"", ""Puikios universalios trąšos ir dirvožemio aktyvatoriai""]"
gid://shopify/Product/15448939725124,"[""Gerina dirvožemio struktūrą ir derlingumą"", ""NPK 2-2-3, turtingos magniu, kalciu, huminėmis ir fulvo rūgštimis"", ""Papildomi mineralai ir mikroelementai iš lavos miltelių"", ""Pagamintos iš 100 % gryno karvių mėšlo"", ""Beveik bekvapės dėl higienizacijos ir 100 % be piktžolių sėklų"", ""Be patogenų; nėra nepageidaujamų grybų ar bakterijų"", ""Nuolatinis tręšimo efektas per lėtai atpalaiduojančias granules (>120 dienų)"", ""Minimalus mineralinių elementų išplovimas dėl didelio organinio azoto kiekio"", ""Nėra lapų nudegimo dėl labai mažo amoniako kiekio"", ""Sudėtyje yra svarbių maistinių medžiagų ir apie 60 % organinių medžiagų"", ""Gerai tirpstančios ir be dulkių granulės su puikiu paskirstymo modeliu"", ""Tinkamos naudoti visais metų laikais, išskyrus esant dirvožemio šalčiui"", ""Puikios universalios trąšos ir dirvožemio aktyvatoriai""]"
