GID,metatitle,metadescription
gid://shopify/Product/15448928584004,Tehéntrágya pellet 3in1 (Nagy táska 1000 kg - 10.000 m2-re),"A Tehéntrágya Pelletek 3in1 ideális műtrágyaként szolgál díszkert, virágágyások, gyep, hagymás és gumós növények, zöldségeskertek, rózsák."
gid://shopify/Product/15448928616772,Tehéntrágya pellet 3in1 (Nagy táska 250 kg - 2.500 m2-re),"A Tehéntrágya Pelletek 3in1 ideális műtrágyaként szolgál díszkert, virágágyások, gyep, hagymás és gumós növények, zöldségeskertek, rózsák."
gid://shopify/Product/15448928649540,Tehéntrágya pellet 3in1 (20 kg - 200 m2-re),"A Tehéntrágya Pelletek 3in1 ideális műtrágyaként szolgál díszkert, virágágyások, gyep, hagymás és gumós növények, zöldségeskertek, rózsák."
gid://shopify/Product/15448928682308,Tehéntrágya pellet 3in1 (10 kg - 100 m2-re),"A Tehéntrágya Pelletek 3in1 ideális műtrágyaként szolgál díszkert, virágágyások, gyep, hagymás és gumós növények, zöldségeskertek, rózsák."
gid://shopify/Product/15448937169220,Tehéntrágya pellet 3in1 (Nagy táska 500 kg - 5.000 m2-re),"A Tehéntrágya Pelletek 3in1 ideális műtrágyaként szolgál díszkert, virágágyások, gyep, hagymás és gumós növények, zöldségeskertek, rózsák."
gid://shopify/Product/15448937234756,Tehéntrágya pellet 3in1 (10x = 200 kg - 2.000 m2-re),"A Tehéntrágya Pelletek 3in1 ideális műtrágyaként szolgál díszkert, virágágyások, gyep, hagymás és gumós növények, zöldségeskertek, rózsák."
gid://shopify/Product/15448937300292,Legelő Trágyázó Minden-Egyben (5 kg - 100 m2-hez),A Pasture Fertiliser All-In-One legelőtrágya a legjobb választás a lólegelők trágyázásához. Szarvasmarha legelőkre és szabadidős állattartásra is alkalmas.
gid://shopify/Product/15448937333060,Őszi műtrágya All-In-One (5 kg - 100 m2 -re),"Ez a professzionális őszi trágyázó rendkívül gazdag káliumban, amely extra védelmet nyújt a gyep, fű és növények számára a hideg téli időszakban."
gid://shopify/Product/15448938643780,Tehéntrágya pellet 3in1 (20x = 400 kg - 4.000 m2-re),"A Tehéntrágya Pelletek 3in1 ideális műtrágyaként szolgál díszkert, virágágyások, gyep, hagymás és gumós növények, zöldségeskertek, rózsák."
gid://shopify/Product/15448939725124,Tehéntrágya pellet 3in1 (40x = 800 kg - 8.000 m2-re),"A Tehéntrágya Pelletek 3in1 ideális műtrágyaként szolgál díszkert, virágágyások, gyep, hagymás és gumós növények, zöldségeskertek, rózsák."
gid://shopify/Product/15448942346564,All-In-One gyeptrágya (5 kg - 100 m2-re),"A Fűtáp All-In-One célja egy mélyen zöld pázsit létrehozása és fenntartása, mentes a mohától és gyomoktól. Kiváló trágyázó, amely minden típusú pázsit."
