GID,metatitle,metadescription
gid://shopify/Product/15448928584004,Granule de Bălegar de Vacă 3in1 (1000 kg - pentru 10.000 m2),"Granulele de bălegar de vacă 3in1 sunt ideale ca fertilizator la înființarea grădinilor ornamentale, bordurilor, gazonului, pentru plante bulb și tuberculi."
gid://shopify/Product/15448928616772,Granule de Bălegar de Vacă 3in1 (250 kg - pentru 2.500 m2),"Granulele de bălegar de vacă 3in1 sunt ideale ca fertilizator la înființarea grădinilor ornamentale, bordurilor, gazonului, pentru plante bulb și tuberculi."
gid://shopify/Product/15448928649540,Granule de bălegar de vacă 3in1 (20 kg - pentru 200 m2),"Granulele de bălegar de vacă 3in1 sunt ideale ca fertilizator la înființarea grădinilor ornamentale, bordurilor, gazonului, pentru plante bulb și tuberculi."
gid://shopify/Product/15448928682308,Granule de bălegar de vacă 3in1 (10 kg - pentru 100 m2),"Granulele de bălegar de vacă 3in1 sunt ideale ca fertilizator la înființarea grădinilor ornamentale, bordurilor, gazonului, pentru plante bulb și tuberculi."
gid://shopify/Product/15448937169220,Granule de Bălegar de Vacă 3in1 (500 kg - pentru 5.000 m2),"Granulele de bălegar de vacă 3in1 sunt ideale ca fertilizator la înființarea grădinilor ornamentale, bordurilor, gazonului, pentru plante bulb și tuberculi."
gid://shopify/Product/15448937234756,Granule de bălegar de vacă 3in1 (10x = 200 kg - pentru 2.000 m2),"Granulele de bălegar de vacă 3in1 sunt ideale ca fertilizator la înființarea grădinilor ornamentale, bordurilor, gazonului, pentru plante bulb și tuberculi."
gid://shopify/Product/15448937300292,Îngrășământ pentru pajiște All-In-One (5 kg - pentru 100 m2),Îngrășământ complet pentru gazon all-in-one pe bază de îngrășământ dezinfectat pentru o creștere uniformă și o acoperire puternică a ierbii.
gid://shopify/Product/15448937333060,Fertilizator de Toamnă All-In-One (5 kg - pentru 100 m2),"Acest fertilizator profesional de toamnă este foarte bogat în potasiu și oferă gazonului, ierbii și plantelor protecție suplimentară împotriva iernii reci."
gid://shopify/Product/15448938643780,Granule de bălegar de vacă 3in1 (20x = 400 kg - pentru 4.000 m2),"Granulele de bălegar de vacă 3in1 sunt ideale ca fertilizator la înființarea grădinilor ornamentale, bordurilor, gazonului, pentru plante bulb și tuberculi."
gid://shopify/Product/15448939725124,Granule de bălegar de vacă 3in1 (40x = 800 kg - pentru 8.000 m2),"Granulele de bălegar de vacă 3in1 sunt ideale ca fertilizator la înființarea grădinilor ornamentale, bordurilor, gazonului, pentru plante bulb și tuberculi."
